,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
指定道路調査依頼件数,358,401,394,371,353
道路現地調査等件数,492,618,550,549,563
道路指定･取消,13,10,8,11,8
細街路拡幅整備事業立会,記録無,132,128,124,141
