区分,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
事前協議,建築物,18,21,26,20,17
事前協議,工作物,0,0,1,2,3
事前協議,開発行為,7,2,5,1,1
事前協議,計,25,23,32,23,21
届出,建築物,131,121,126,111,140
届出,工作物,0,0,0,0,3
届出,開発行為,6,4,0,0,1
届出,計,137,142,126,111,144
