事業名,,面積,建築規模,主要用途,施行者,備考
白鬚東地区防災再開発事業,,37.9ha,地下1～地上13階建,"住宅　2,056戸",,S47年9月都市計画決定
,市街地再開発事業,(27.6ha),延べ床面積30.1ha,保育園､小・中学校、集会所、店舗、,,S61年6月完成
,住宅地区改良事業,(0.7ha),,工場､作業所、駐車場、備蓄倉庫、,東京都,
,その他関連事業,(9.3ha),,防災センター(建設予定)､リハビリ病院、,,
,,,,コミュニティセンター、公園,,
立花一丁目団地建設事業,,5.06ha,"14階建5棟　93,501㎡","住宅　1,589戸",日本住宅公団,S52年2月完成
立花一丁目市街地再開発事業,,1.18ha,"9階建　24,000㎡",住宅　168戸､店舗、事業所,日本住宅公団,S50年7月都市計画決定　S60年3月完成
八広五丁目団地建設事業,,0.71ha,"8階建　11階建　9,821㎡",住宅　144戸,日本住宅公団,S53年10月完成
都営八広五丁目団地建設事業,,1.60ha,"14階建　21,500㎡",住宅　250戸､保育園、図書館、,東京都,S55年7月完成
,,,,集会室、公園、養護学校,,
押上二丁目住宅　　 第一期事業,,,"12階建　5,300㎡",住宅(改良60戸､公営30戸),,S46年12月改良事業認可
　　　　　　　　　　　　  第二期〃,,0.85ha,"7階建　3,100㎡",住宅(改良42戸)､店舗　13戸,東京都,S48年12月改良事業認可
地区改良事業        第三期〃,,,"(7階建　3,000㎡)",住宅(改良30戸)､作業所　9戸,,S60年3月完成
都営立花六丁目団地建設事業,,1.60ha,"14階建　34,300㎡",住宅　411戸、保育園、幼稚園、図書館、,東京都,S55年1月完成
,,,,集会室、公園,,
立花四丁目住宅地区改良事業,,0.23ha,"5階建　3,040㎡",住宅　49戸､集会室,東京都,S56年10月完成
都営立花三丁目団地建設事業,,0.36ha,"5階建　3,230㎡",住宅　48戸､集会室、公園,東京都,S55年7月完成
都営文花一丁目団地増築事業,,0.22ha,5階建,住宅　39戸､集会室、広場,東京都,S61年12月完成
都営文花二丁目団地建替事業,,0.40ha,5階建,住宅　66戸､集会所、遊び場,東京都,S62年5月完成
曳舟駅前プラザ建設事業,,0.92ha,,,住宅･都市整備公団,
,住宅建設事業,(0.45ha),14階建(住宅),住宅　303戸､文化センター(582席)、,,S62年3月完成
,文化センター建設事業,(0.4ha),3階建(センター),広場　528㎡、駐輪場,,
,その他整備事業,(0.07ha),,,墨田区,
吾妻橋一丁目地区開発事業,,2.27ha,,,,
,墨田区庁舎・リバーサイドホール,,地上18階、地下2階,庁舎、リバーサイドホール、駐車場　150台,墨田区,H2年11月完成
,リバーピア吾妻橋ライフタワー,,地上30階、地下2階,住宅　448戸、駐車場　133台,住宅･都市整備公団,H元年12月完成
,アサヒビール本社棟・ビアホール,,地上22階、地下2階,業務施設、ビヤホール、駐車場　116台,アサヒビール(株),H元年12月完成
緑四丁目住宅建設事業,,0.14ha,"12階建　5,490㎡",住宅　82戸,東京都住宅供給公社,H4年1月完成
東京都江戸東京博物館建設事業,,3.0ha,"7階建　46,656㎡",博物館,東京都,H4年12月完成
都営横川五丁目第２団地建替事業,,2.1ha,Ａ棟7階、Ｂ棟18階,住宅　564戸、シルバーピア　32戸、,東京都,H11年3月完成
,,,"Ｃ棟8階、Ｄ棟8階　　54,506㎡",保育園、コミュニティセンター,,
,,,Ｅ棟7階、Ｆ棟29階,"駐車場　171台、公園　1,200㎡",,
トミンハイム横川一丁目住宅建設事業,,0.695ha,東棟14階、南棟14階、,住宅　253戸、集会所・公園、,東京都住宅供給公社,H12年3月完成
,,,西棟14階,駐車場　102台、駐輪場　396台,,
墨田一丁目地区開発事業,,2.89ha,Ａ棟10階、Ｂ棟14階、,都民住宅　306戸、都営住宅　264戸、,東京都,H12年3月完成
,,,Ｃ棟14階、Ｅ棟７階、,駐車場　123台、79台､,東京都住宅供給公社,
,,,Ｆ棟14階,駐輪場　463台、400台､,,
,,,,"集会所、都市計画公園　5,000㎡､",,
,,,,"体育施設　2,000㎡、",,
,,,,"高齢者福祉施設　1,700㎡",,
曳舟駅前地区第一種市街地再開発事業,,       2.8ha,(１街区)S棟４１階、N棟２０階、,都市機構住宅４９０戸,独立行政法人,H２２年11月完成
,,,生活支援施設棟３階,権利者住宅等３４０戸,都市再生機構,
,,,戸割店舗棟２階,生活支援施設（保育園等）１，２００㎡,,
,,,(２街区)大規模商業施設棟７階、,大規模商業施設約５０，０００㎡,,
,,,戸割店舗棟１階,広場約４００㎡、駐車場７６０台,,
,,,,駐輪場２，１６０台,,
（仮称）都営文花一丁目団地建替事業,,6.85ha,A棟７階、B棟９階、C棟７階、,住宅　５１４戸,東京都,H３０年１２月完成予定
,,,D棟８階、E棟９階、Ｆ棟８階,集会所、高齢者支援施設,,
