工事種別,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
石綿が使用されている建築物の解体工事,17,19,15,11,14
石綿の除去等工事,10,6,3,3,8
建築物の解体工事,385,361,388,402,408
合計,412,386,406,416,430
