区分,,平成24年,平成25年,平成26年,平成27年,平成28年
木造,棟数[棟],26711,26844,26524,26392,26209
木造,床面積[㎡],2330244,2346814,2318154,2309763,2293320
非木造,棟数[棟],21252,21506,21559,21702,21798
非木造,床面積[㎡],10415917,10607546,10911031,11096348,11224953
計,棟数[棟],47963,48350,48083,48094,48007
計,床面積[㎡],12746161,12954360,13229185,13406111,13518273
耐火率,棟数[％],44.3,44.4,44.8,45.1,45.4
耐火率,床面積[％],81.7,81.8,82.4,82.7,83
