"届出番号","届出政党","候補者名","0:05確定[人]","23:30[人]"
"1","希望の党","松沢　かおる","15467","15000"
"2",,"原口　みき","2388.067","2000"
"3","自由民主党","山田　みき","32930.932","32500"
"4",,"マタヨシ　光雄","448","0"
"5","立憲民主党","海江田　万里","34684","34500"
"6",,"犬丸　光加","1044","1000"

"平成29年10月22日執行　衆議院小選挙区選出議員選挙第1区開票推移","Ver201710",,,
