"年度[西暦]","緑地数","面積[平方メートル]"
"2017","40","77896.74"
"2018","40","78007.21"
"2019","40","79327.80"
"2020","40","79359.05"
"2021","40","78873.05"

"令和3年度港区行政資料集　緑地数及び面積","Ver202104",
