"科目","金額[百万円]"
"年度[西暦]","2022"
"決算日","20230331"
"資産の部 固定資産","3568574"
"資産の部 固定資産 有形固定資産","3413032"
"資産の部 固定資産 有形固定資産 事業用資産","670769"
"資産の部 固定資産 有形固定資産 事業用資産 土地","428984"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","42"
"資産の部 固定資産 有形固定資産 事業用資産 建物","409059"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-177656"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","17393"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-10765"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","3711"
"資産の部 固定資産 有形固定資産 インフラ資産","2740494"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2633498"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1560"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-853"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","122993"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-16704"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","4511"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2742"
"資産の部 固定資産 無形固定資産","3657"
"資産の部 固定資産 無形固定資産 ソフトウェア","3643"
"資産の部 固定資産 無形固定資産 その他","14"
"資産の部 固定資産 投資その他の資産","151884"
"資産の部 固定資産 投資その他の資産 投資及び出資金","1008"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","945"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","63"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","-"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2469"
"資産の部 固定資産 投資その他の資産 長期貸付金","559"
"資産の部 固定資産 投資その他の資産 基金","148549"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","148549"
"資産の部 固定資産 投資その他の資産 その他","5"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-706"
"資産の部 流動資産","83994"
"資産の部 流動資産 現金預金","23080"
"資産の部 流動資産 未収金","3238"
"資産の部 流動資産 短期貸付金","487"
"資産の部 流動資産 基金","55844"
"資産の部 流動資産 基金 財政調整基金","55844"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","2"
"資産の部 流動資産 その他","1358"
"資産の部 流動資産 徴収不能引当金","-14"
"資産の部 繰延資産","-"
"資産の部 資産合計","3652568"
"負債の部 固定負債","17451"
"負債の部 固定負債 地方債等","2334"
"負債の部 固定負債 長期未払金","2072"
"負債の部 固定負債 退職手当引当金","12982"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","63"
"負債の部 流動負債","10591"
"負債の部 流動負債 1年内償還予定地方債等","168"
"負債の部 流動負債 未払金","1064"
"負債の部 流動負債 未払費用","0"
"負債の部 流動負債 前受金","0"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","1046"
"負債の部 流動負債 預り金","8262"
"負債の部 流動負債 その他","50"
"負債の部 負債合計","28042"
"純資産の部 固定資産等形成分","3624905"
"純資産の部 余剰分（不足分）","-430"
"純資産の部 他団体出資等分","51"
"純資産の部 純資産合計","3624526"
"負債及び純資産合計","3652568"

"連結会計財務書類（貸借対照表）(令和5年3月31日現在)","Ver202303"
