"年度","区分","18歳未満[人]","18歳以上[人]","合計[人]"
"2017","合計","255","565","820"
"2018","合計","273","578","851"
"2019","合計","284","587","871"
"2020","合計","297","612","909"
"2021","１度","7","34","41"
"2021","２度","84","211","295"
"2021","３度","78","155","233"
"2021","４度","150","229","379"
"2021","合計","319","629","948"

"令和4年度港区行政資料集　愛の手帳所持者数","Ver202203",,,
