"年度[西暦]","区・財団関係 件数[件]","区・財団関係 人数[人]","社会教育関係団体 件数[件]","社会教育関係団体 人数[人]","その他団体 件数[件]","その他団体 人数[人]","合計 件数[件]","合計 人数[人]"
"2018","950","20700","3608","40243","4613","40572","9171","101515"
"2019","1086","19077","3635","39086","4617","38436","9338","96599"
"2020","498","5210","2094","16576","2262","14835","4854","36621"
"2021","579","5198","1759","14126","2378","15427","4716","34751"
"2022","829","11563","2833","23538","4427","33366","8089","68467"

"令和5年度港区行政資料集　施設利用状況一覧 生涯学習センター","Ver202303",,,,,,,
