種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／負担法による者（公立）／事務職員／男（人）,職員数（本務者）／負担法による者（公立）／事務職員／女（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／男（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／女（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／男（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／女（人）,職員数（本務者）／その他の者／事務職員／男（人）,職員数（本務者）／その他の者／事務職員／女（人）,職員数（本務者）／その他の者／学校図書館事務員／男（人）,職員数（本務者）／その他の者／学校図書館事務員／女（人）,職員数（本務者）／その他の者／養護職員（看護師等）／男（人）,職員数（本務者）／その他の者／養護職員（看護師等）／女（人）,職員数（本務者）／その他の者／学校栄養職員／男（人）,職員数（本務者）／その他の者／学校栄養職員／女（人）,職員数（本務者）／その他の者／学校給食調理従事者／男（人）,職員数（本務者）／その他の者／学校給食調理従事者／女（人）,職員数（本務者）／その他の者／用務員／男（人）,職員数（本務者）／その他の者／用務員／女（人）,職員数（本務者）／その他の者／警備員・その他／男（人）,職員数（本務者）／その他の者／警備員・その他／女（人）
総数（国・公・私立）,0,総数,平成29,2017,2170,989,1181,281,286,7,202,－,－,251,372,2,23,－,11,1,37,58,33,319,187,70,30
総数（国・公・私立）,0,総数,平成30,2018,2104,947,1157,287,285,11,202,－,－,239,352,2,22,－,11,－,43,50,33,295,175,63,34
総数（国・公・私立）,0,総数,令和元,2019,2046,915,1131,283,288,10,207,－,－,249,353,3,22,－,8,－,42,39,22,273,148,58,41
総数（国・公・私立）,0,総数,令和2,2020,2031,904,1127,274,307,7,207,－,－,250,344,3,19,－,9,－,40,30,18,274,140,66,43
総数（国・公・私立）,0,総数,令和3,2021,1991,870,1121,273,306,6,209,－,－,241,345,2,24,－,9,－,43,21,17,270,122,57,46
総数（国・公・私立）,0,総数,令和4,2022,1943,855,1088,280,302,11,208,－,－,242,346,2,23,－,11,－,41,19,15,253,105,48,37
総数（国・公・私立）,1,区部,令和4,2022,1437,586,851,168,201,11,196,－,－,187,266,2,18,－,9,－,23,19,11,156,99,43,28
総数（国・公・私立）,2,千代田区,令和4,2022,41,15,26,1,1,－,1,－,－,10,21,－,1,－,2,－,－,－,－,2,－,2,－
総数（国・公・私立）,2,中央区,令和4,2022,15,8,7,3,1,－,－,－,－,2,4,－,－,－,－,－,－,－,－,3,1,－,1
総数（国・公・私立）,2,港区,令和4,2022,88,33,55,4,6,－,4,－,－,25,36,－,4,－,2,－,3,－,－,2,－,2,－
総数（国・公・私立）,2,新宿区,令和4,2022,58,24,34,1,9,－,6,－,－,12,12,－,2,－,－,－,－,－,－,10,3,1,2
総数（国・公・私立）,2,文京区,令和4,2022,82,36,46,1,9,－,6,－,－,21,22,－,1,－,－,－,2,－,－,10,1,4,5
総数（国・公・私立）,2,台東区,令和4,2022,21,5,16,4,4,－,4,－,－,1,8,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,墨田区,令和4,2022,48,15,33,8,14,－,11,－,－,1,2,－,－,－,－,－,1,－,－,5,5,1,－
総数（国・公・私立）,2,江東区,令和4,2022,59,19,40,2,11,－,13,－,－,2,4,－,－,－,－,－,－,－,－,9,11,6,1
総数（国・公・私立）,2,品川区,令和4,2022,33,16,17,6,3,－,4,－,－,5,7,－,2,－,－,－,－,－,－,4,－,1,1
総数（国・公・私立）,2,目黒区,令和4,2022,34,12,22,3,6,1,4,－,－,5,5,－,－,－,－,－,4,－,－,1,3,2,－
総数（国・公・私立）,2,大田区,令和4,2022,66,34,32,15,13,3,14,－,－,3,1,－,－,－,－,－,－,－,－,9,4,4,－
総数（国・公・私立）,2,世田谷区,令和4,2022,131,67,64,22,7,1,5,－,－,26,43,－,3,－,－,－,－,－,－,5,1,13,5
総数（国・公・私立）,2,渋谷区,令和4,2022,79,43,36,6,2,－,3,－,－,15,18,－,－,－,2,－,4,6,1,15,3,1,3
総数（国・公・私立）,2,中野区,令和4,2022,42,18,24,5,5,－,5,－,－,12,11,－,－,－,1,－,2,－,－,1,－,－,－
総数（国・公・私立）,2,杉並区,令和4,2022,85,38,47,10,11,－,10,－,－,11,16,－,－,－,－,－,－,4,2,12,6,1,2
総数（国・公・私立）,2,豊島区,令和4,2022,66,28,38,5,3,－,5,－,－,8,12,－,3,－,1,－,4,－,－,14,7,1,3
総数（国・公・私立）,2,北区,令和4,2022,53,17,36,3,9,－,9,－,－,5,12,1,－,－,－,－,－,－,－,5,3,3,3
総数（国・公・私立）,2,荒川区,令和4,2022,34,11,23,5,5,－,7,－,－,2,2,－,1,－,－,－,－,－,－,4,8,－,－
総数（国・公・私立）,2,板橋区,令和4,2022,98,34,64,9,13,1,19,－,－,12,22,－,－,－,－,－,1,6,4,5,5,1,－
総数（国・公・私立）,2,練馬区,令和4,2022,59,22,37,14,19,－,14,－,－,5,4,1,－,－,－,－,－,－,－,2,－,－,－
総数（国・公・私立）,2,足立区,令和4,2022,62,24,38,20,15,1,19,－,－,2,1,－,1,－,1,－,－,－,－,1,1,－,－
総数（国・公・私立）,2,葛飾区,令和4,2022,56,21,35,7,16,1,11,－,－,2,－,－,－,－,－,－,－,3,4,8,2,－,2
総数（国・公・私立）,2,江戸川区,令和4,2022,127,46,81,14,19,3,22,－,－,－,3,－,－,－,－,－,2,－,－,29,35,－,－
総数（国・公・私立）,1,市部,令和4,2022,484,254,230,97,97,－,11,－,－,55,78,－,5,－,2,－,18,－,4,97,6,5,9
総数（国・公・私立）,2,八王子市,令和4,2022,81,57,24,22,15,－,－,－,－,8,9,－,－,－,－,－,－,－,－,26,－,1,－
総数（国・公・私立）,2,立川市,令和4,2022,14,11,3,2,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,9,－,－,－
総数（国・公・私立）,2,武蔵野市,令和4,2022,33,14,19,6,1,－,1,－,－,6,11,－,－,－,－,－,－,－,－,1,1,1,5
総数（国・公・私立）,2,三鷹市,令和4,2022,33,12,21,2,5,－,－,－,－,4,8,－,－,－,－,－,7,－,－,6,1,－,－
総数（国・公・私立）,2,青梅市,令和4,2022,19,12,7,5,6,－,－,－,－,－,1,－,－,－,－,－,－,－,－,7,－,－,－
総数（国・公・私立）,2,府中市,令和4,2022,18,7,11,2,9,－,－,－,－,2,2,－,－,－,－,－,－,－,－,3,－,－,－
総数（国・公・私立）,2,昭島市,令和4,2022,16,7,9,3,3,－,－,－,－,1,3,－,－,－,－,－,3,－,－,3,－,－,－
総数（国・公・私立）,2,調布市,令和4,2022,37,19,18,2,6,－,－,－,－,8,12,－,－,－,－,－,－,－,－,9,－,－,－
総数（国・公・私立）,2,町田市,令和4,2022,52,27,25,11,10,－,－,－,－,11,15,－,－,－,－,－,－,－,－,5,－,－,－
総数（国・公・私立）,2,小金井市,令和4,2022,19,6,13,1,3,－,－,－,－,3,3,－,1,－,－,－,5,－,－,1,－,1,1
総数（国・公・私立）,2,小平市,令和4,2022,12,4,8,3,5,－,－,－,－,1,3,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,日野市,令和4,2022,23,12,11,5,3,－,6,－,－,－,－,－,－,－,－,－,2,－,－,7,－,－,－
総数（国・公・私立）,2,東村山市,令和4,2022,10,7,3,3,1,－,－,－,－,3,2,－,－,－,－,－,－,－,－,1,－,－,－
総数（国・公・私立）,2,国分寺市,令和4,2022,14,9,5,2,1,－,－,－,－,3,1,－,1,－,1,－,－,－,－,4,1,－,－
総数（国・公・私立）,2,国立市,令和4,2022,10,3,7,－,3,－,－,－,－,1,3,－,1,－,－,－,－,－,－,1,－,1,－
総数（国・公・私立）,2,福生市,令和4,2022,5,4,1,2,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－
総数（国・公・私立）,2,狛江市,令和4,2022,3,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－
総数（国・公・私立）,2,東大和市,令和4,2022,5,3,2,3,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,清瀬市,令和4,2022,12,4,8,4,4,－,3,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,東久留米市,令和4,2022,17,6,11,5,2,－,－,－,－,1,1,－,2,－,－,－,1,－,4,－,－,－,1
総数（国・公・私立）,2,武蔵村山市,令和4,2022,4,2,2,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,多摩市,令和4,2022,14,12,2,－,－,－,－,－,－,2,1,－,－,－,1,－,－,－,－,9,－,1,－
総数（国・公・私立）,2,稲城市,令和4,2022,8,4,4,4,2,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,羽村市,令和4,2022,3,3,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,あきる野市,令和4,2022,8,4,4,3,3,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,西東京市,令和4,2022,14,5,9,2,7,－,1,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,1
総数（国・公・私立）,1,郡部,令和4,2022,8,6,2,6,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,瑞穂町,令和4,2022,2,2,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
