種別,地域階層,地域,和暦（年度）,西暦（年度）,学校数（校）,学校数／うち分校（校）,学校数／５学級以下（校）,学校数／５学級以下／うち分校（校）,学校数／６～９学級（校）,学校数／１０～１１学級（校）,学校数／１２～１５学級（校）,学校数／１６～１８学級（校）,学校数／１９～２１学級（校）,学校数／２２～２４学級（校）,学校数／２５～３０学級（校）,学校数／３１～３６学級（校）,学校数／３７学級以上（校）
総数（国・公・私立）,0,総数,平成29,2017,1335,－,6,－,138,91,490,276,182,85,61,5,1
総数（国・公・私立）,0,総数,平成30,2018,1332,－,6,－,126,91,483,280,185,90,64,5,2
総数（国・公・私立）,0,総数,令和元,2019,1331,－,5,－,117,89,479,279,182,105,63,10,2
総数（国・公・私立）,0,総数,令和2,2020,1328,－,8,－,112,75,476,284,184,107,66,14,2
総数（国・公・私立）,0,総数,令和3,2021,1328,－,10,－,108,75,464,298,166,117,77,10,3
総数（国・公・私立）,0,総数,令和4,2022,1327,－,9,－,105,61,458,289,181,121,89,13,1
総数（国・公・私立）,1,区部,令和4,2022,854,－,1,－,56,46,305,190,111,74,63,7,1
総数（国・公・私立）,2,千代田区,令和4,2022,11,－,－,－,1,1,3,5,1,－,－,－,－
総数（国・公・私立）,2,中央区,令和4,2022,16,－,－,－,1,2,5,－,3,1,4,－,－
総数（国・公・私立）,2,港区,令和4,2022,21,－,－,－,－,2,9,4,1,3,1,－,1
総数（国・公・私立）,2,新宿区,令和4,2022,30,－,－,－,6,3,15,2,3,1,－,－,－
総数（国・公・私立）,2,文京区,令和4,2022,24,－,－,－,－,－,7,7,3,5,2,－,－
総数（国・公・私立）,2,台東区,令和4,2022,19,－,－,－,2,3,10,2,1,－,1,－,－
総数（国・公・私立）,2,墨田区,令和4,2022,25,－,－,－,1,1,12,6,5,－,－,－,－
総数（国・公・私立）,2,江東区,令和4,2022,45,－,－,－,1,4,14,8,3,5,10,－,－
総数（国・公・私立）,2,品川区,令和4,2022,32,－,－,－,3,3,13,4,7,1,1,－,－
総数（国・公・私立）,2,目黒区,令和4,2022,24,－,－,－,1,－,11,6,2,3,1,－,－
総数（国・公・私立）,2,大田区,令和4,2022,61,－,－,－,4,4,20,10,10,5,8,－,－
総数（国・公・私立）,2,世田谷区,令和4,2022,70,－,－,－,2,－,15,18,13,6,11,5,－
総数（国・公・私立）,2,渋谷区,令和4,2022,21,－,－,－,3,1,8,3,2,4,－,－,－
総数（国・公・私立）,2,中野区,令和4,2022,23,－,－,－,－,2,9,5,2,4,1,－,－
総数（国・公・私立）,2,杉並区,令和4,2022,42,－,－,－,1,－,10,12,6,6,7,－,－
総数（国・公・私立）,2,豊島区,令和4,2022,24,－,－,－,1,2,11,6,3,1,－,－,－
総数（国・公・私立）,2,北区,令和4,2022,36,－,－,－,5,－,18,5,6,－,2,－,－
総数（国・公・私立）,2,荒川区,令和4,2022,24,－,－,－,6,2,8,5,1,1,1,－,－
総数（国・公・私立）,2,板橋区,令和4,2022,52,－,－,－,3,2,19,17,6,4,1,－,－
総数（国・公・私立）,2,練馬区,令和4,2022,67,－,－,－,2,3,19,18,9,10,6,－,－
総数（国・公・私立）,2,足立区,令和4,2022,68,－,－,－,4,5,25,19,8,4,2,1,－
総数（国・公・私立）,2,葛飾区,令和4,2022,49,－,－,－,2,5,21,12,6,3,－,－,－
総数（国・公・私立）,2,江戸川区,令和4,2022,70,－,1,－,7,1,23,16,10,7,4,1,－
総数（国・公・私立）,1,市部,令和4,2022,447,－,4,－,34,14,148,98,70,47,26,6,－
総数（国・公・私立）,2,八王子市,令和4,2022,69,－,2,－,13,5,24,12,8,3,2,－,－
