地域階層,地域,和暦（年度）,西暦（年度）,学校数（校）,学校数／国立（校）,学校数／公立（校）,学校数／私立（校）,学校数／私立／学校法人立（校）,学校数／私立／準学校法人立（校）,学校数／私立／財団法人立（校）,学校数／私立／社団法人立（校）,学校数／私立／その他の法人立（校）,学校数／私立／個人立（校）,学校数／高等課程を置く学校（校）,学校数／高等課程を置く学校／国立（校）,学校数／高等課程を置く学校／公立（校）,学校数／高等課程を置く学校／私立（校）,学校数／専門課程を置く学校（校）,学校数／専門課程を置く学校／国立（校）,学校数／専門課程を置く学校／公立（校）,学校数／専門課程を置く学校／私立（校）
2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,
１１－１　専修学校　区市町村、設置者、課程別学校数,,,,,,,,,,,,,,,,,,,,,
注）「高等課程を置く学校」「専門課程を置く学校」は、延数である。,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,
