種別,区分,入学志願者数（人）,入学志願者数／高等学校（本科）（人）,入学志願者数／高等学校／全日制（本科）（人）,入学志願者数／高等学校／定時制（本科）（人）,入学志願者数／中等教育学校後期課程（本科）（人）,入学志願者数／中等教育学校後期課程／全日制（本科）（人）,入学志願者数／中等教育学校後期課程／定時制（本科）（人）,入学志願者数／高等専門学校（人）,入学志願者数／特別支援学校高等部（本科）
総数（公立）,総数,823,781,762,19,－,－,－,12,30
総数（公立）,男,391,365,356,9,－,－,－,8,18
総数（公立）,女,432,416,406,10,－,－,－,4,12
,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,
１４－４　卒業後の状況調査（義務教育学校）　高等学校等への入学志願者数,,,,,,,,,,
注１）国立・私立には義務教育学校はない。,,,,,,,,,,
注２）同一人が2校（又は2課程）以上志願した場合は実際に進学した学校（又は課程）に計上し、いずれにも入学しなかった場合には第一志望の学校（又は課程）に計上している。,,,,,,,,,,
