種別,区分,特別支援学級卒業者数（人）,特別支援学級卒業者数／高等学校等進学者（人）,特別支援学級卒業者数／高等学校等進学者／高等学校及び中等教育学校後期課程の本科及び別科、高等専門学校（人）,特別支援学級卒業者数／高等学校等進学者／特別支援学校本科及び別科（人）,特別支援学級卒業者数／専修学校（高等課程）進学者（人）,特別支援学級卒業者数／専修学校（一般課程）等入学者（人）,特別支援学級卒業者数／公共職業能力開発施設等入学者（人）,特別支援学級卒業者数／就職者等（人）,特別支援学級卒業者数／左記以外の者、不詳・死亡（人）
総数（公立）,総数,37,36,7,29,－,－,－,－,1
総数（公立）,男,22,22,4,18,－,－,－,－,－
総数（公立）,女,15,14,3,11,－,－,－,－,1
,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,
１４－６　卒業後の状況調査（義務教育学校）　特別支援学級の状況別卒業者数,,,,,,,,,,
注）国立・私立には義務教育学校はない。,,,,,,,,,,
