種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（本務者）／うち市町村費負担の者（人）,教員数（本務者）／うち市町村費負担の者／男（人）,教員数（本務者）／うち市町村費負担の者／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
私立,2,墨田区,令和4,2022,56,39,17,－,－,－,－,2,－,1,－,－,－,36,16,－,－,－,1,－,－,－,－,－,－,－,－,－,11,7
私立,2,江東区,令和4,2022,84,58,26,－,－,1,－,1,－,－,－,－,－,49,21,－,－,－,2,－,－,－,－,7,3,－,－,－,42,32
私立,2,品川区,令和4,2022,160,94,66,2,－,－,1,5,1,－,－,－,－,80,58,－,－,－,2,－,－,－,－,7,4,－,－,－,64,81
私立,2,目黒区,令和4,2022,99,50,49,－,－,－,－,4,－,－,－,－,－,46,47,－,－,－,1,－,－,－,－,－,1,－,－,－,54,49
私立,2,大田区,令和4,2022,45,28,17,1,－,－,－,2,－,2,1,－,－,16,7,－,－,－,1,－,－,－,－,7,8,－,－,－,27,17
私立,2,世田谷区,令和4,2022,515,282,233,1,1,3,－,6,4,2,2,－,3,261,199,－,－,－,9,－,－,－,－,9,15,－,－,－,279,316
私立,2,渋谷区,令和4,2022,171,85,86,1,－,－,－,1,2,1,－,－,－,82,78,－,－,－,6,－,－,－,－,－,－,－,－,－,38,77
私立,2,中野区,令和4,2022,137,84,53,－,－,1,－,1,1,－,1,3,－,79,47,－,－,－,4,－,－,－,－,－,－,－,－,－,60,33
私立,2,杉並区,令和4,2022,219,117,102,1,－,1,－,3,4,－,2,－,－,97,84,－,－,－,6,－,－,－,－,15,6,－,－,－,76,116
私立,2,豊島区,令和4,2022,251,157,94,－,1,－,－,4,1,3,－,6,2,132,61,－,－,－,8,－,－,－,－,12,21,－,－,－,151,103
私立,2,北区,令和4,2022,174,95,79,－,－,1,－,5,－,1,2,－,－,85,68,－,－,－,4,－,－,－,－,3,5,－,－,－,107,101
私立,2,荒川区,令和4,2022,44,37,7,－,1,－,－,－,1,－,－,－,－,37,5,－,－,－,－,－,－,－,－,－,－,－,－,－,32,11
私立,2,板橋区,令和4,2022,117,82,35,－,1,－,－,2,1,1,－,－,－,79,30,－,－,－,2,－,－,－,1,－,－,－,－,－,58,58
私立,2,練馬区,令和4,2022,89,59,30,－,－,－,－,3,1,－,－,－,－,56,26,－,－,－,2,－,－,－,－,－,1,－,－,－,91,59
私立,2,足立区,令和4,2022,34,30,4,－,－,1,－,－,－,－,－,－,－,18,3,－,－,－,－,－,－,－,－,11,1,－,－,－,6,－
私立,2,葛飾区,令和4,2022,42,27,15,1,1,－,－,3,－,－,－,－,－,22,11,－,－,－,2,－,－,－,－,1,1,－,－,－,18,22
私立,2,江戸川区,令和4,2022,32,14,18,－,－,1,－,－,－,－,－,2,1,11,16,－,－,－,1,－,－,－,－,－,－,－,－,－,25,27
私立,1,市部,令和4,2022,1015,613,402,9,2,6,2,23,4,2,1,3,－,542,344,－,－,－,30,－,－,－,－,28,19,－,－,－,568,511
私立,2,八王子市,令和4,2022,150,96,54,1,－,－,－,3,1,－,－,－,－,87,48,－,－,－,4,－,－,－,－,5,1,－,－,－,126,95
私立,2,立川市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,武蔵野市,令和4,2022,107,61,46,－,－,－,－,1,－,－,－,－,－,60,43,－,－,－,3,－,－,－,－,－,－,－,－,－,37,49
私立,2,三鷹市,令和4,2022,50,29,21,－,－,2,－,－,－,－,－,－,－,27,19,－,－,－,2,－,－,－,－,－,－,－,－,－,22,19
私立,2,青梅市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,府中市,令和4,2022,29,19,10,－,－,－,－,1,－,－,－,－,－,13,8,－,－,－,1,－,－,－,－,5,1,－,－,－,2,2
私立,2,昭島市,令和4,2022,15,10,5,－,－,－,－,1,－,－,－,－,－,8,4,－,－,－,1,－,－,－,－,1,－,－,－,－,20,19
私立,2,調布市,令和4,2022,134,70,64,1,1,1,－,1,－,1,－,－,－,65,60,－,－,－,3,－,－,－,－,1,－,－,－,－,54,76
私立,2,町田市,令和4,2022,129,83,46,－,－,－,1,2,1,－,－,－,－,81,37,－,－,－,5,－,－,－,－,－,2,－,－,－,103,73
私立,2,小金井市,令和4,2022,77,48,29,－,1,－,－,4,－,－,－,－,－,44,26,－,－,－,2,－,－,－,－,－,－,－,－,－,59,39
私立,2,小平市,令和4,2022,60,40,20,3,－,2,－,2,－,－,1,－,－,32,15,－,－,－,3,－,－,－,－,1,1,－,－,－,7,21
私立,2,日野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,東村山市,令和4,2022,44,27,17,－,－,－,－,2,－,－,－,－,－,23,14,－,－,－,－,－,－,－,－,2,3,－,－,－,12,11
私立,2,国分寺市,令和4,2022,28,21,7,－,－,1,－,1,－,－,－,－,－,19,7,－,－,－,－,－,－,－,－,－,－,－,－,－,16,9
私立,2,国立市,令和4,2022,57,41,16,－,－,－,1,1,－,－,－,－,－,32,11,－,－,－,2,－,－,－,－,8,2,－,－,－,40,22
私立,2,福生市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,狛江市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,東大和市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,清瀬市,令和4,2022,13,7,6,－,－,－,－,－,－,－,－,－,－,7,5,－,－,－,－,－,－,－,－,－,1,－,－,－,7,6
私立,2,東久留米市,令和4,2022,25,11,14,2,－,－,－,1,－,－,－,－,－,7,11,－,－,－,1,－,－,－,－,1,2,－,－,－,1,5
私立,2,武蔵村山市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,多摩市,令和4,2022,44,22,22,－,－,－,－,1,1,－,－,3,－,18,18,－,－,－,－,－,－,－,－,－,3,－,－,－,21,29
私立,2,稲城市,令和4,2022,9,3,6,－,－,－,－,1,－,－,－,－,－,2,5,－,－,－,1,－,－,－,－,－,－,－,－,－,5,5
私立,2,羽村市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,あきる野市,令和4,2022,21,14,7,1,－,－,－,1,－,－,－,－,－,8,3,－,－,－,1,－,－,－,－,4,3,－,－,－,4,4
私立,2,西東京市,令和4,2022,23,11,12,1,－,－,－,－,1,1,－,－,－,9,10,－,－,－,1,－,－,－,－,－,－,－,－,－,32,27
私立,1,郡部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５－６　中学校　区市町村、職名別教員数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
