区分,入学定員（人）,入学定員／全日制（人）,入学定員／定時制（人）
総数,113147,108316,4831
国立,1095,1095,－
公立,45211,40826,4385
私立,66841,66395,446
,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,
７－９　高等学校（全日制・定時制）　設置者、課程別入学定員,,,
