種別,地域階層,地域,和暦（年度）,西暦（年度）,学科数／昼間（学科）,学科数／その他（学科）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／高等課程（人）,生徒数／専門課程（人）,生徒数／一般課程（人）,入学者数（春期）（人）,入学者数（春期）／男（人）,入学者数（春期）／女（人）
総数（国・公・私立）,0,総数,平成29,2017,1353,209,145719,67922,77797,2743,133250,9726,74999,35909,39090
総数（国・公・私立）,0,総数,平成30,2018,1399,235,146364,68136,78228,2819,134473,9072,75527,36127,39400
総数（国・公・私立）,0,総数,令和元,2019,1389,218,148394,68880,79514,2728,137190,8476,77888,37096,40792
総数（国・公・私立）,0,総数,令和2,2020,1376,192,149579,69597,79982,2701,139616,7262,76838,36674,40164
総数（国・公・私立）,0,総数,令和3,2021,1363,177,146015,67817,78198,2771,135986,7258,70014,32873,37141
総数（国・公・私立）,0,総数,令和4,2022,1387,169,134036,61203,72833,2835,123974,7227,62757,28559,34198
総数（国・公・私立）,1,区部,令和4,2022,1168,159,113768,50272,63496,1536,106190,6042,53595,23719,29876
総数（国・公・私立）,2,千代田区,令和4,2022,94,7,9703,5095,4608,61,6932,2710,5888,3391,2497
総数（国・公・私立）,2,中央区,令和4,2022,15,1,672,351,321,－,623,49,292,155,137
総数（国・公・私立）,2,港区,令和4,2022,16,3,1058,158,900,－,1058,－,456,87,369
総数（国・公・私立）,2,新宿区,令和4,2022,220,53,23377,12582,10795,250,22363,764,10306,5344,4962
総数（国・公・私立）,2,文京区,令和4,2022,59,4,5687,2041,3646,－,5390,297,2884,1072,1812
総数（国・公・私立）,2,台東区,令和4,2022,25,2,2168,984,1184,77,2091,－,950,430,520
総数（国・公・私立）,2,墨田区,令和4,2022,30,3,2270,1179,1091,－,2270,－,1115,595,520
総数（国・公・私立）,2,江東区,令和4,2022,10,8,765,454,311,48,708,9,299,164,135
総数（国・公・私立）,2,品川区,令和4,2022,16,2,1025,255,770,－,1025,－,424,99,325
総数（国・公・私立）,2,目黒区,令和4,2022,8,1,736,442,294,－,540,196,366,225,141
総数（国・公・私立）,2,大田区,令和4,2022,46,5,8611,4498,4113,35,8576,－,3516,1689,1827
