種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／負担法による者（公立）／事務職員／男（人）,職員数（本務者）／負担法による者（公立）／事務職員／女（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／男（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／女（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／男（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／女（人）,職員数（本務者）／その他の者／事務職員／男（人）,職員数（本務者）／その他の者／事務職員／女（人）,職員数（本務者）／その他の者／学校図書館事務員／男（人）,職員数（本務者）／その他の者／学校図書館事務員／女（人）,職員数（本務者）／その他の者／養護職員（看護師等）／男（人）,職員数（本務者）／その他の者／養護職員（看護師等）／女（人）,職員数（本務者）／その他の者／学校栄養職員／男（人）,職員数（本務者）／その他の者／学校栄養職員／女（人）,職員数（本務者）／その他の者／学校給食調理従事者／男（人）,職員数（本務者）／その他の者／学校給食調理従事者／女（人）,職員数（本務者）／その他の者／用務員／男（人）,職員数（本務者）／その他の者／用務員／女（人）,職員数（本務者）／その他の者／警備員・その他／男（人）,職員数（本務者）／その他の者／警備員・その他／女（人）
総数（国・公・私立）,0,総数,平成29,2017,4123,1701,2422,517,632,14,458,－,－,110,217,－,10,－,7,5,218,306,353,712,497,37,30
総数（国・公・私立）,0,総数,平成30,2018,4008,1668,2340,537,644,18,469,－,－,110,196,－,12,－,8,5,233,278,305,693,448,27,25
総数（国・公・私立）,0,総数,令和元,2019,3881,1586,2295,528,660,18,459,－,－,113,190,－,11,－,9,5,232,238,281,663,427,21,26
総数（国・公・私立）,0,総数,令和2,2020,3757,1551,2206,521,665,16,450,－,－,116,180,－,10,－,10,5,225,216,217,649,428,28,21
総数（国・公・私立）,0,総数,令和3,2021,3711,1517,2194,526,671,18,454,－,－,118,196,－,11,－,9,5,246,188,199,639,386,23,22
総数（国・公・私立）,0,総数,令和4,2022,3554,1429,2125,516,673,10,456,－,－,116,204,－,9,－,9,6,259,183,169,581,325,17,21
総数（国・公・私立）,1,区部,令和4,2022,2391,964,1427,353,436,6,390,－,－,84,129,－,5,－,8,1,81,72,49,435,313,13,16
総数（国・公・私立）,2,千代田区,令和4,2022,28,11,17,4,4,－,3,－,－,2,7,－,－,－,－,－,1,－,1,5,1,－,－
総数（国・公・私立）,2,中央区,令和4,2022,64,20,44,4,12,－,－,－,－,1,－,－,－,－,－,－,7,－,－,15,15,－,10
総数（国・公・私立）,2,港区,令和4,2022,113,55,58,10,10,－,8,－,－,2,9,－,1,－,1,－,2,－,－,43,27,－,－
総数（国・公・私立）,2,新宿区,令和4,2022,82,39,43,13,16,1,13,－,－,2,2,－,－,－,1,－,2,－,4,22,5,1,－
総数（国・公・私立）,2,文京区,令和4,2022,61,24,37,6,14,1,9,－,－,4,6,－,－,－,－,1,5,2,－,10,3,－,－
総数（国・公・私立）,2,台東区,令和4,2022,28,5,23,5,14,－,8,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,墨田区,令和4,2022,37,6,31,3,2,－,8,－,－,－,－,－,－,－,－,－,18,－,－,3,3,－,－
総数（国・公・私立）,2,江東区,令和4,2022,88,23,65,14,31,1,21,－,－,－,－,－,－,－,－,－,2,－,－,5,11,3,－
総数（国・公・私立）,2,品川区,令和4,2022,61,18,43,11,20,－,17,－,－,1,1,－,－,－,－,－,－,－,－,6,5,－,－
総数（国・公・私立）,2,目黒区,令和4,2022,74,25,49,8,14,－,12,－,－,3,5,－,－,－,－,－,11,－,－,14,6,－,1
総数（国・公・私立）,2,大田区,令和4,2022,144,70,74,25,33,1,28,－,－,4,4,－,－,－,－,－,－,－,－,34,9,6,－
総数（国・公・私立）,2,世田谷区,令和4,2022,290,142,148,31,30,1,32,－,－,35,33,－,1,－,1,－,－,1,4,72,43,2,4
総数（国・公・私立）,2,渋谷区,令和4,2022,138,70,68,11,7,－,11,－,－,11,14,－,3,－,2,－,7,18,13,30,10,－,1
総数（国・公・私立）,2,中野区,令和4,2022,68,24,44,10,11,－,11,－,－,8,17,－,－,－,1,－,2,－,－,6,2,－,－
総数（国・公・私立）,2,杉並区,令和4,2022,111,47,64,16,23,1,19,－,－,2,5,－,－,－,－,－,2,12,5,16,10,－,－
総数（国・公・私立）,2,豊島区,令和4,2022,62,19,43,12,10,－,9,－,－,6,10,－,－,－,1,－,11,－,－,1,2,－,－
総数（国・公・私立）,2,北区,令和4,2022,96,30,66,10,24,－,15,－,－,1,8,－,－,－,－,－,－,－,－,18,19,1,－
総数（国・公・私立）,2,荒川区,令和4,2022,62,28,34,15,9,－,12,－,－,－,－,－,－,－,－,－,－,－,－,13,13,－,－
総数（国・公・私立）,2,板橋区,令和4,2022,128,62,66,27,23,－,20,－,－,－,4,－,－,－,－,－,－,8,5,27,14,－,－
総数（国・公・私立）,2,練馬区,令和4,2022,190,91,99,30,35,－,33,－,－,2,2,－,－,－,1,－,－,29,15,30,13,－,－
総数（国・公・私立）,2,足立区,令和4,2022,104,33,71,33,33,－,38,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,葛飾区,令和4,2022,98,34,64,23,24,－,29,－,－,－,－,－,－,－,－,－,－,2,2,9,9,－,－
総数（国・公・私立）,2,江戸川区,令和4,2022,264,88,176,32,37,－,34,－,－,－,1,－,－,－,－,－,11,－,－,56,93,－,－
総数（国・公・私立）,1,市部,令和4,2022,1120,444,676,145,229,3,59,－,－,32,72,－,4,－,1,5,178,110,116,145,12,4,5
総数（国・公・私立）,2,八王子市,令和4,2022,183,73,110,25,42,－,－,－,－,－,－,－,－,－,－,－,52,14,16,34,－,－,－
総数（国・公・私立）,2,立川市,令和4,2022,59,37,22,2,8,－,－,－,－,－,－,－,－,－,－,－,8,25,4,10,2,－,－
総数（国・公・私立）,2,武蔵野市,令和4,2022,48,15,33,6,6,－,－,－,－,6,20,－,1,－,－,1,2,－,－,－,－,2,4
総数（国・公・私立）,2,三鷹市,令和4,2022,52,18,34,6,9,－,－,－,－,－,2,－,1,－,－,－,16,3,1,9,5,－,－
総数（国・公・私立）,2,青梅市,令和4,2022,30,18,12,7,8,－,1,－,－,－,3,－,－,－,－,－,－,－,－,11,－,－,－
総数（国・公・私立）,2,府中市,令和4,2022,28,11,17,7,14,－,－,－,－,2,3,－,－,－,－,－,－,－,－,2,－,－,－
総数（国・公・私立）,2,昭島市,令和4,2022,37,23,14,5,8,－,－,－,－,3,3,－,－,－,－,－,3,9,－,6,－,－,－
総数（国・公・私立）,2,調布市,令和4,2022,89,42,47,9,11,－,6,－,－,－,4,－,－,－,－,2,14,14,12,16,－,1,－
総数（国・公・私立）,2,町田市,令和4,2022,146,52,94,20,22,2,19,－,－,11,14,－,－,－,－,－,21,15,15,4,3,－,－
総数（国・公・私立）,2,小金井市,令和4,2022,35,15,20,1,3,－,2,－,－,－,3,－,－,－,－,－,5,6,7,8,－,－,－
総数（国・公・私立）,2,小平市,令和4,2022,72,13,59,9,10,－,7,－,－,3,1,－,－,－,－,－,9,1,32,－,－,－,－
総数（国・公・私立）,2,日野市,令和4,2022,70,45,25,11,6,－,6,－,－,－,－,－,－,－,－,2,8,15,5,17,－,－,－
総数（国・公・私立）,2,東村山市,令和4,2022,24,2,22,2,7,－,－,－,－,－,－,－,－,－,－,－,15,－,－,－,－,－,－
総数（国・公・私立）,2,国分寺市,令和4,2022,42,15,27,3,3,－,－,－,－,1,6,－,1,－,1,－,9,1,6,9,1,1,－
総数（国・公・私立）,2,国立市,令和4,2022,15,5,10,2,6,－,－,－,－,3,4,－,－,－,－,－,－,－,－,－,－,－,－
