地域階層,地域,和暦（年度）,西暦（年度）,児童数（人）,児童数／単式学級（人）,児童数／複式学級（人）,児童数／特別支援学級（人）,児童数／国立（人）,児童数／国立／単式学級（人）,児童数／国立／複式学級（人）,児童数／国立／特別支援学級（人）,児童数／公立（人）,児童数／公立／単式学級（人）,児童数／公立／複式学級（人）,児童数／公立／特別支援学級（人）,児童数／私立（人）,児童数／私立／単式学級（人）,児童数／私立／複式学級（人）,児童数／私立／特別支援学級（人）,帰国児童数（再掲）（人）,帰国児童数（再掲）／国立（人）,帰国児童数（再掲）／公立（人）,帰国児童数（再掲）／私立（人）,外国人児童数（再掲）（人）,外国人児童数（再掲）／国立（人）,外国人児童数（再掲）／公立（人）,外国人児童数（再掲）／私立（人）
0,総数,平成29,2017,601414,594836,29,6549,3683,3683,－,－,572625,566222,29,6374,25106,24931,－,175,1833,26,1703,104,8740,5,8692,43
0,総数,平成30,2018,609512,602461,34,7017,3634,3634,－,－,580786,573913,34,6839,25092,24914,－,178,1911,30,1765,116,9873,10,9793,70
0,総数,令和元,2019,614873,607442,31,7400,3610,3610,－,－,586114,578856,31,7227,25149,24976,－,173,2080,30,1922,128,11242,3,11169,70
0,総数,令和2,2020,619291,611457,37,7797,3617,3617,－,－,590289,582629,37,7623,25385,25211,－,174,2162,31,2031,100,12368,2,12260,106
0,総数,令和3,2021,622820,614571,47,8202,3615,3615,－,－,593598,585526,47,8025,25607,25430,－,177,1834,27,1726,81,13132,3,12966,163
0,総数,令和4,2022,624426,615687,42,8697,3600,3600,－,－,595096,586536,42,8518,25730,25551,－,179,1604,24,1489,91,13602,11,13421,170
1,区部,令和4,2022,410792,406362,－,4430,2981,2981,－,－,390594,386164,－,4430,17217,17217,－,－,1220,23,1150,47,11159,11,11034,114
2,千代田区,令和4,2022,5145,5114,－,31,－,－,－,－,3245,3214,－,31,1900,1900,－,－,35,－,20,15,80,－,68,12
2,中央区,令和4,2022,8519,8445,－,74,－,－,－,－,8519,8445,－,74,－,－,－,－,50,－,50,－,227,－,227,－
2,港区,令和4,2022,11546,11450,－,96,－,－,－,－,10443,10347,－,96,1103,1103,－,－,92,－,83,9,357,－,357,－
2,新宿区,令和4,2022,10753,10623,－,130,－,－,－,－,9962,9832,－,130,791,791,－,－,42,－,38,4,450,－,450,－
2,文京区,令和4,2022,13017,12834,－,183,1795,1795,－,－,10541,10358,－,183,681,681,－,－,110,8,102,－,323,4,319,－
2,台東区,令和4,2022,7174,7119,－,55,－,－,－,－,7174,7119,－,55,－,－,－,－,9,－,9,－,227,－,227,－
2,墨田区,令和4,2022,10330,10181,－,149,－,－,－,－,10330,10181,－,149,－,－,－,－,20,－,20,－,285,－,285,－
2,江東区,令和4,2022,24511,24239,－,272,－,－,－,－,24511,24239,－,272,－,－,－,－,52,－,52,－,1097,－,1097,－
2,品川区,令和4,2022,14298,14199,－,99,－,－,－,－,14017,13918,－,99,281,281,－,－,44,－,44,－,215,－,181,34
