区分,全日制のうち／併設先（人）,全日制のうち／連携先（人）,定時制のうち／併設先（人）,定時制のうち／連携先（人）
総数,18429,47,－,－
男,8466,30,－,－
女,9963,17,－,－
,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,
１３－３　卒業後の状況調査（中学校）　中高一貫校の併設先、連携先への進学者数,,,,
