種別,地域階層,地域,和暦（年度）,西暦（年度）,児童数（人）,児童数／男（人）,児童数／女（人）,児童数／１学年（人）,児童数／１学年／男（人）,児童数／１学年／女（人）,児童数／２学年（人）,児童数／２学年／男（人）,児童数／２学年／女（人）,児童数／３学年（人）,児童数／３学年／男（人）,児童数／３学年／女（人）,児童数／４学年（人）,児童数／４学年／男（人）,児童数／４学年／女（人）,児童数／５学年（人）,児童数／５学年／男（人）,児童数／５学年／女（人）,児童数／６学年（人）,児童数／６学年／男（人）,児童数／６学年／女（人）
総数（国・公・私立）,0,総数,平成29,2017,601414,307952,293462,102849,52788,50061,102381,52403,49978,101360,51790,49570,100881,51689,49192,98900,50717,48183,95043,48565,46478
総数（国・公・私立）,0,総数,平成30,2018,609512,312216,297296,102192,52349,49843,102799,52778,50021,102403,52354,50049,101689,52011,49678,101118,51819,49299,99311,50905,48406
総数（国・公・私立）,0,総数,令和元,2019,614873,314845,300028,103431,52817,50614,102149,52332,49817,103043,52895,50148,102651,52537,50114,102049,52219,49830,101550,52045,49505
総数（国・公・私立）,0,総数,令和2,2020,619291,316864,302427,104852,53450,51402,103425,52786,50639,102305,52447,49858,103283,53039,50244,102993,52715,50278,102433,52427,50006
総数（国・公・私立）,0,総数,令和3,2021,622820,318449,304371,106390,54150,52240,104506,53280,51226,103186,52624,50562,102299,52493,49806,103326,53079,50247,103113,52823,50290
総数（国・公・私立）,0,総数,令和4,2022,624426,319035,305391,105788,53829,51959,106023,53946,52077,104172,53186,50986,102931,52513,50418,102137,52446,49691,103375,53115,50260
総数（国・公・私立）,1,区部,令和4,2022,410792,209451,201341,70327,35694,34633,70482,35842,34640,68848,34999,33849,67555,34317,33238,66527,34088,32439,67053,34511,32542
総数（国・公・私立）,2,千代田区,令和4,2022,5145,2455,2690,857,404,453,921,448,473,867,431,436,880,401,479,791,370,421,829,401,428
総数（国・公・私立）,2,中央区,令和4,2022,8519,4367,4152,1618,847,771,1605,834,771,1436,741,695,1357,662,695,1284,661,623,1219,622,597
総数（国・公・私立）,2,港区,令和4,2022,11546,5528,6018,2069,1045,1024,2039,951,1088,1895,914,981,1904,882,1022,1825,880,945,1814,856,958
総数（国・公・私立）,2,新宿区,令和4,2022,10753,5580,5173,1889,976,913,1869,991,878,1788,928,860,1812,931,881,1673,822,851,1722,932,790
総数（国・公・私立）,2,文京区,令和4,2022,13017,6399,6618,2312,1129,1183,2337,1194,1143,2209,1088,1121,2124,1005,1119,2027,1006,1021,2008,977,1031
総数（国・公・私立）,2,台東区,令和4,2022,7174,3655,3519,1206,584,622,1221,625,596,1192,601,591,1214,621,593,1141,573,568,1200,651,549
総数（国・公・私立）,2,墨田区,令和4,2022,10330,5282,5048,1838,917,921,1734,883,851,1729,861,868,1723,889,834,1642,863,779,1664,869,795
総数（国・公・私立）,2,江東区,令和4,2022,24511,12593,11918,4170,2128,2042,4210,2106,2104,4097,2102,1995,4022,2072,1950,4023,2094,1929,3989,2091,1898
総数（国・公・私立）,2,品川区,令和4,2022,14298,7405,6893,2641,1341,1300,2516,1312,1204,2488,1326,1162,2323,1195,1128,2175,1130,1045,2155,1101,1054
総数（国・公・私立）,2,目黒区,令和4,2022,11166,5948,5218,1863,1010,853,1984,1029,955,1854,959,895,1818,964,854,1777,973,804,1870,1013,857
総数（国・公・私立）,2,大田区,令和4,2022,30510,15655,14855,5161,2600,2561,5272,2712,2560,5099,2557,2542,4925,2532,2393,5018,2601,2417,5035,2653,2382
総数（国・公・私立）,2,世田谷区,令和4,2022,43208,21777,21431,7339,3680,3659,7403,3750,3653,7229,3621,3608,7026,3529,3497,7074,3618,3456,7137,3579,3558
総数（国・公・私立）,2,渋谷区,令和4,2022,9436,4789,4647,1734,873,861,1653,842,811,1644,852,792,1493,738,755,1485,759,726,1427,725,702
総数（国・公・私立）,2,中野区,令和4,2022,11424,5898,5526,2053,1055,998,2015,1024,991,1882,994,888,1916,998,918,1801,926,875,1757,901,856
総数（国・公・私立）,2,杉並区,令和4,2022,22981,11435,11546,4064,1990,2074,3981,1995,1986,3814,1921,1893,3725,1861,1864,3732,1843,1889,3665,1825,1840
総数（国・公・私立）,2,豊島区,令和4,2022,10360,5463,4897,1831,948,883,1780,950,830,1745,917,828,1692,880,812,1657,872,785,1655,896,759
総数（国・公・私立）,2,北区,令和4,2022,14671,7506,7165,2641,1376,1265,2572,1265,1307,2478,1240,1238,2384,1223,1161,2297,1188,1109,2299,1214,1085
総数（国・公・私立）,2,荒川区,令和4,2022,9107,4616,4491,1574,796,778,1544,805,739,1560,778,782,1401,699,702,1528,773,755,1500,765,735
総数（国・公・私立）,2,板橋区,令和4,2022,24320,12632,11688,4104,2108,1996,4085,2132,1953,4141,2090,2051,4071,2119,1952,3969,2082,1887,3950,2101,1849
総数（国・公・私立）,2,練馬区,令和4,2022,34382,17624,16758,5693,2917,2776,5887,2979,2908,5747,2914,2833,5660,2941,2719,5524,2862,2662,5871,3011,2860
総数（国・公・私立）,2,足立区,令和4,2022,30276,15410,14866,4883,2497,2386,4983,2521,2462,4955,2569,2386,5107,2580,2527,5187,2631,2556,5161,2612,2549
総数（国・公・私立）,2,葛飾区,令和4,2022,20459,10449,10010,3423,1746,1677,3419,1725,1694,3442,1770,1672,3367,1743,1624,3376,1734,1642,3432,1731,1701
総数（国・公・私立）,2,江戸川区,令和4,2022,33199,16985,16214,5364,2727,2637,5452,2769,2683,5557,2825,2732,5611,2852,2759,5521,2827,2694,5694,2985,2709
総数（国・公・私立）,1,市部,令和4,2022,209742,107590,102152,34824,17793,17031,34904,17785,17119,34664,17847,16817,34724,17873,16851,34953,18003,16950,35673,18289,17384
総数（国・公・私立）,2,八王子市,令和4,2022,24970,12833,12137,3945,2005,1940,3977,2048,1929,4011,2044,1967,4276,2202,2074,4296,2242,2054,4465,2292,2173
総数（国・公・私立）,2,立川市,令和4,2022,8690,4484,4206,1495,771,724,1449,758,691,1435,716,719,1426,761,665,1431,731,700,1454,747,707
総数（国・公・私立）,2,武蔵野市,令和4,2022,8079,4264,3815,1402,727,675,1406,746,660,1362,701,661,1318,714,604,1322,695,627,1269,681,588
