地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／国立（人）,教員数（本務者）／国立／男（人）,教員数（本務者）／国立／女（人）,教員数（本務者）／公立（人）,教員数（本務者）／公立／男（人）,教員数（本務者）／公立／女（人）,教員数（本務者）／私立（人）,教員数（本務者）／私立／男（人）,教員数（本務者）／私立／女（人）,教員数（兼務者）（人）,教員数（兼務者）／国立（人）,教員数（兼務者）／公立（人）,教員数（兼務者）／私立（人）
0,総数,平成29,2017,7446,4186,3260,7,－,7,167,8,159,7272,4178,3094,16576,66,784,15726
0,総数,平成30,2018,7418,4097,3321,7,1,6,172,8,164,7239,4088,3151,16778,66,830,15882
0,総数,令和元,2019,7423,4090,3333,7,1,6,166,7,159,7250,4082,3168,17028,66,862,16100
0,総数,令和2,2020,7332,4044,3288,7,1,6,153,8,145,7172,4035,3137,17224,68,850,16306
0,総数,令和3,2021,7341,4027,3314,7,1,6,161,10,151,7173,4016,3157,16658,77,857,15724
0,総数,令和4,2022,7218,3936,3282,8,2,6,162,9,153,7048,3925,3123,17039,77,889,16073
1,区部,令和4,2022,6129,3357,2772,－,－,－,60,4,56,6069,3353,2716,14148,－,336,13812
2,千代田区,令和4,2022,635,439,196,－,－,－,－,－,－,635,439,196,1113,－,－,1113
2,中央区,令和4,2022,59,45,14,－,－,－,－,－,－,59,45,14,112,－,－,112
2,港区,令和4,2022,83,17,66,－,－,－,－,－,－,83,17,66,292,－,－,292
2,新宿区,令和4,2022,1142,670,472,－,－,－,－,－,－,1142,670,472,2237,－,－,2237
2,文京区,令和4,2022,279,139,140,－,－,－,－,－,－,279,139,140,769,－,－,769
2,台東区,令和4,2022,129,68,61,－,－,－,－,－,－,129,68,61,201,－,－,201
2,墨田区,令和4,2022,158,94,64,－,－,－,－,－,－,158,94,64,288,－,－,288
2,江東区,令和4,2022,45,26,19,－,－,－,－,－,－,45,26,19,102,－,－,102
2,品川区,令和4,2022,90,32,58,－,－,－,－,－,－,90,32,58,261,－,－,261
2,目黒区,令和4,2022,41,30,11,－,－,－,－,－,－,41,30,11,128,－,－,128
2,大田区,令和4,2022,305,184,121,－,－,－,19,2,17,286,182,104,1016,－,109,907
2,世田谷区,令和4,2022,185,86,99,－,－,－,－,－,－,185,86,99,299,－,－,299
