種別,地域階層,地域,和暦（年度）,西暦（年度）,土地面積（㎡）,土地面積／設置者所有（㎡）,土地面積／設置者所有／屋外運動場（㎡）,土地面積／設置者所有／実験実習地（㎡）,土地面積／設置者所有／建物敷地・その他（㎡）,土地面積／借用（㎡）,土地面積／借用／屋外運動場（㎡）,土地面積／借用／実験実習地（㎡）,土地面積／借用／建物敷地・その他（㎡）
私立幼稚園,0,総数,平成29,2017,1870154,1493734,644494,37795,811445,376420,175567,7680,193173
私立幼稚園,0,総数,平成30,2018,1868186,1493182,634022,39273,819887,375004,173873,7680,193451
私立幼稚園,0,総数,令和元,2019,1866279,1482807,629034,35716,818057,383472,177522,7680,198270
私立幼稚園,0,総数,令和2,2020,1895680,1516290,629897,35635,850758,379390,173883,7680,197827
私立幼稚園,0,総数,令和3,2021,1891783,1514949,624759,35120,855070,376834,172268,6780,197786
私立幼稚園,0,総数,令和4,2022,1911483,1543723,653965,33923,855835,367760,168865,6780,192115
私立幼稚園,1,区部,令和4,2022,1045826,867355,392824,18618,455913,178471,87172,5037,86262
私立幼稚園,2,千代田区,令和4,2022,5198,3941,2095,－,1846,1257,482,－,775
私立幼稚園,2,中央区,令和4,2022,－,－,－,－,－,－,－,－,－
私立幼稚園,2,港区,令和4,2022,26782,22520,9499,1746,11275,4262,2723,139,1400
私立幼稚園,2,新宿区,令和4,2022,10968,9400,3597,－,5803,1568,1121,－,447
私立幼稚園,2,文京区,令和4,2022,24107,19253,6196,－,13057,4854,2403,－,2451
私立幼稚園,2,台東区,令和4,2022,14008,13245,5313,－,7932,763,428,－,335
私立幼稚園,2,墨田区,令和4,2022,9411,6338,2476,－,3862,3073,1699,－,1374
私立幼稚園,2,江東区,令和4,2022,21040,14342,7880,－,6462,6698,2662,－,4036
私立幼稚園,2,品川区,令和4,2022,20893,17257,6951,－,10306,3636,1778,－,1858
私立幼稚園,2,目黒区,令和4,2022,35715,35318,16773,－,18545,397,385,－,12
私立幼稚園,2,大田区,令和4,2022,69275,48345,21996,604,25745,20930,9869,－,11061
私立幼稚園,2,世田谷区,令和4,2022,128577,108890,33776,373,74741,19687,8527,－,11160
私立幼稚園,2,渋谷区,令和4,2022,23488,20507,9905,3093,7509,2981,1345,－,1636
私立幼稚園,2,中野区,令和4,2022,30505,22806,10444,1932,10430,7699,4390,－,3309
私立幼稚園,2,杉並区,令和4,2022,90712,81663,28765,2775,50123,9049,3852,2281,2916
私立幼稚園,2,豊島区,令和4,2022,23122,22182,8533,－,13649,940,744,－,196
私立幼稚園,2,北区,令和4,2022,33938,23253,11041,－,12212,10685,4955,1914,3816
私立幼稚園,2,荒川区,令和4,2022,5157,3029,1917,－,1112,2128,1119,－,1009
私立幼稚園,2,板橋区,令和4,2022,62317,50118,20095,1160,28863,12199,5560,－,6639
私立幼稚園,2,練馬区,令和4,2022,178409,165292,101883,3365,60044,13117,7420,－,5697
私立幼稚園,2,足立区,令和4,2022,101348,86634,37646,3468,45520,14714,8353,95,6266
私立幼稚園,2,葛飾区,令和4,2022,49564,32372,16621,－,15751,17192,7763,608,8821
私立幼稚園,2,江戸川区,令和4,2022,81292,60650,29422,102,31126,20642,9594,－,11048
私立幼稚園,1,市部,令和4,2022,851099,662814,259330,15305,388179,188285,81185,1743,105357
私立幼稚園,2,八王子市,令和4,2022,104662,90679,29659,696,60324,13983,5323,－,8660
私立幼稚園,2,立川市,令和4,2022,32246,24024,11763,－,12261,8222,3743,－,4479
私立幼稚園,2,武蔵野市,令和4,2022,21314,19371,7409,－,11962,1943,943,－,1000
私立幼稚園,2,三鷹市,令和4,2022,36175,27696,11772,2206,13718,8479,5460,－,3019
私立幼稚園,2,青梅市,令和4,2022,19502,11668,7157,－,4511,7834,2704,－,5130
私立幼稚園,2,府中市,令和4,2022,46507,39303,18029,1239,20035,7204,3744,1525,1935
私立幼稚園,2,昭島市,令和4,2022,16959,14771,5911,－,8860,2188,1444,－,744
私立幼稚園,2,調布市,令和4,2022,34441,23767,9360,795,13612,10674,5807,－,4867
私立幼稚園,2,町田市,令和4,2022,117132,88259,25581,132,62546,28873,12623,218,16032
私立幼稚園,2,小金井市,令和4,2022,10597,9092,3463,－,5629,1505,521,－,984
私立幼稚園,2,小平市,令和4,2022,57503,45538,17954,－,27584,11965,5518,－,6447
私立幼稚園,2,日野市,令和4,2022,26279,11204,3487,－,7717,15075,8033,－,7042
私立幼稚園,2,東村山市,令和4,2022,47006,31920,12319,－,19601,15086,4529,－,10557
私立幼稚園,2,国分寺市,令和4,2022,10309,8299,4396,－,3903,2010,152,－,1858
私立幼稚園,2,国立市,令和4,2022,19283,16018,8106,－,7912,3265,479,－,2786
私立幼稚園,2,福生市,令和4,2022,10505,7426,3251,－,4175,3079,1099,－,1980
私立幼稚園,2,狛江市,令和4,2022,15271,14420,6859,1358,6203,851,－,－,851
