種別,地域階層,地域,和暦（年度）,西暦（年度）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／本科（人）,生徒数／本科／男（人）,生徒数／本科／女（人）,生徒数／本科／全日制（人）,生徒数／本科／全日制／男（人）,生徒数／本科／全日制／女（人）,生徒数／本科／全日制／１学年／男（人）,生徒数／本科／全日制／１学年／女（人）,生徒数／本科／全日制／２学年／男（人）,生徒数／本科／全日制／２学年／女（人）,生徒数／本科／全日制／３学年／男（人）,生徒数／本科／全日制／３学年／女（人）,生徒数／本科／定時制（人）,生徒数／本科／定時制／男（人）,生徒数／本科／定時制／女（人）,生徒数／本科／定時制／１学年／男（人）,生徒数／本科／定時制／１学年／女（人）,生徒数／本科／定時制／２学年／男（人）,生徒数／本科／定時制／２学年／女（人）,生徒数／本科／定時制／３学年／男（人）,生徒数／本科／定時制／３学年／女（人）,生徒数／本科／定時制／４学年／男（人）,生徒数／本科／定時制／４学年／女（人）,生徒数／専攻科／男（人）,生徒数／専攻科／女（人）,生徒数／別科／男（人）,生徒数／別科／女（人）,本科の帰国生徒数（再掲）（人）
公立,2,北区,令和4,2022,2320,802,1518,2320,802,1518,1634,494,1140,182,427,169,399,143,314,686,308,378,82,91,77,103,85,119,64,65,－,－,－,－,－
公立,2,荒川区,令和4,2022,943,621,322,943,621,322,903,583,320,214,128,188,93,181,99,40,38,2,11,1,11,1,6,－,10,－,－,－,－,－,－
公立,2,板橋区,令和4,2022,4209,2317,1892,4209,2317,1892,4100,2246,1854,753,629,748,616,745,609,109,71,38,10,5,20,9,25,18,16,6,－,－,－,－,－
公立,2,練馬区,令和4,2022,5422,2705,2717,5422,2705,2717,5422,2705,2717,897,906,884,891,924,920,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,足立区,令和4,2022,5424,3059,2365,5424,3059,2365,5083,2868,2215,1028,749,922,703,918,763,341,191,150,129,113,16,7,22,19,24,11,－,－,－,－,－
公立,2,葛飾区,令和4,2022,3352,1717,1635,3352,1717,1635,3099,1544,1555,571,492,468,495,505,568,253,173,80,33,13,44,12,50,24,46,31,－,－,－,－,－
公立,2,江戸川区,令和4,2022,5798,3203,2595,5798,3203,2595,5622,3094,2528,1056,861,1024,837,1014,830,176,109,67,19,17,26,9,33,19,31,22,－,－,－,－,－
公立,1,市部,令和4,2022,46656,24161,22495,46656,24161,22495,44414,22877,21537,7943,7376,7424,6907,7510,7254,2242,1284,958,359,296,365,264,374,299,186,99,－,－,－,－,7
公立,2,八王子市,令和4,2022,6515,3225,3290,6515,3225,3290,5543,2674,2869,934,993,877,912,863,964,972,551,421,176,146,160,114,165,124,50,37,－,－,－,－,－
公立,2,立川市,令和4,2022,1565,819,746,1565,819,746,956,510,446,179,144,167,151,164,151,609,309,300,86,91,91,97,103,90,29,22,－,－,－,－,－
公立,2,武蔵野市,令和4,2022,1123,572,551,1123,572,551,1123,572,551,179,180,180,160,213,211,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
公立,2,三鷹市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,青梅市,令和4,2022,1376,642,734,1376,642,734,1212,545,667,188,223,185,204,172,240,164,97,67,23,13,26,20,33,29,15,5,－,－,－,－,1
公立,2,府中市,令和4,2022,3748,2069,1679,3748,2069,1679,3676,2026,1650,703,565,662,531,661,554,72,43,29,9,5,11,7,7,11,16,6,－,－,－,－,－
公立,2,昭島市,令和4,2022,1675,852,823,1675,852,823,1675,852,823,293,291,287,264,272,268,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,調布市,令和4,2022,2287,1139,1148,2287,1139,1148,2254,1119,1135,373,383,378,377,368,375,33,20,13,4,1,2,1,7,6,7,5,－,－,－,－,－
公立,2,町田市,令和4,2022,4859,2581,2278,4859,2581,2278,4751,2518,2233,867,786,811,729,840,718,108,63,45,8,13,19,10,14,9,22,13,－,－,－,－,－
公立,2,小金井市,令和4,2022,1417,899,518,1417,899,518,1358,841,517,275,175,287,171,279,171,59,58,1,19,1,11,－,12,－,16,－,－,－,－,－,－
公立,2,小平市,令和4,2022,2491,1181,1310,2491,1181,1310,2491,1181,1310,388,453,398,431,395,426,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
公立,2,日野市,令和4,2022,2808,1481,1327,2808,1481,1327,2808,1481,1327,511,445,485,427,485,455,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
公立,2,東村山市,令和4,2022,1182,619,563,1182,619,563,1182,619,563,230,183,184,187,205,193,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,国分寺市,令和4,2022,951,459,492,951,459,492,951,459,492,155,163,150,166,154,163,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,国立市,令和4,2022,1603,722,881,1603,722,881,1575,702,873,242,286,229,295,231,292,28,20,8,6,2,11,2,2,1,1,3,－,－,－,－,－
公立,2,福生市,令和4,2022,1358,903,455,1358,903,455,1299,858,441,297,161,280,125,281,155,59,45,14,8,4,10,5,13,4,14,1,－,－,－,－,1
公立,2,狛江市,令和4,2022,956,496,460,956,496,460,956,496,460,167,151,164,155,165,154,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,東大和市,令和4,2022,1667,864,803,1667,864,803,1667,864,803,290,270,287,267,287,266,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,清瀬市,令和4,2022,783,373,410,783,373,410,783,373,410,132,146,111,125,130,139,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,東久留米市,令和4,2022,1388,717,671,1388,717,671,1272,654,618,254,222,196,179,204,217,116,63,53,17,20,20,6,14,21,12,6,－,－,－,－,1
公立,2,武蔵村山市,令和4,2022,1406,626,780,1406,626,780,1406,626,780,232,282,190,232,204,266,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,多摩市,令和4,2022,836,402,434,836,402,434,836,402,434,160,159,124,133,118,142,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,稲城市,令和4,2022,675,204,471,675,204,471,675,204,471,83,152,53,162,68,157,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,羽村市,令和4,2022,661,339,322,661,339,322,661,339,322,130,109,109,102,100,111,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,あきる野市,令和4,2022,988,574,414,988,574,414,966,559,407,218,121,178,130,163,156,22,15,7,3,－,4,2,4,4,4,1,－,－,－,－,－
公立,2,西東京市,令和4,2022,2338,1403,935,2338,1403,935,2338,1403,935,463,333,452,292,488,310,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,郡部,令和4,2022,538,167,371,538,167,371,483,125,358,42,107,42,128,41,123,55,42,13,6,4,6,1,13,3,17,5,－,－,－,－,－
公立,2,瑞穂町,令和4,2022,538,167,371,538,167,371,483,125,358,42,107,42,128,41,123,55,42,13,6,4,6,1,13,3,17,5,－,－,－,－,－
公立,2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,島部,令和4,2022,642,401,241,642,401,241,611,380,231,146,65,113,75,121,91,31,21,10,2,3,5,2,8,4,6,1,－,－,－,－,－
公立,2,大島町,令和4,2022,320,225,95,320,225,95,311,217,94,80,27,65,30,72,37,9,8,1,2,－,2,－,4,1,－,－,－,－,－,－,－
公立,2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,新島村,令和4,2022,34,20,14,34,20,14,34,20,14,9,5,6,3,5,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,神津島村,令和4,2022,55,30,25,55,30,25,55,30,25,10,5,8,10,12,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,三宅村,令和4,2022,23,17,6,23,17,6,23,17,6,9,－,4,4,4,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,八丈町,令和4,2022,162,80,82,162,80,82,140,67,73,28,21,20,23,19,29,22,13,9,－,3,3,2,4,3,6,1,－,－,－,－,－
