種別,地域階層,地域,和暦（年度）,西暦（年度）,在園者数（人）,在園者数／男（人）,在園者数／女（人）,在園者数／３歳児（人）,在園者数／３歳児／男（人）,在園者数／３歳児／女（人）,在園者数／３歳児／本年度入園／平成31年4月2日～令和元年5月1日生まれ（人）,在園者数／３歳児／本年度入園／平成30年4月2日～平成31年4月1日生まれ（人）,在園者数／３歳児／前年度間入園（人）,在園者数／４歳児（人）,在園者数／４歳児／男（人）,在園者数／４歳児／女（人）,在園者数／４歳児／３歳児入園（人）,在園者数／４歳児／４歳児入園（本年度入園）（人）,在園者数／５歳児（人）,在園者数／５歳児／男（人）,在園者数／５歳児／女（人）,在園者数／５歳児／３歳児入園（人）,在園者数／５歳児／４歳児入園（人）,在園者数／５歳児／５歳児入園（本年度入園）（人）,本年度入園者総数(再掲)（人）,修了者数(令和4年3月)（人）,修了者数(令和4年3月)／男（人）,修了者数(令和4年3月)／女（人）
総数（国・公・私立）,0,総数,平成29,2017,157418,79534,77884,48855,24657,24198,370,46322,2163,53630,27103,26527,47481,6149,54933,27774,27159,46549,7172,1212,54053,56937,28988,27949
総数（国・公・私立）,0,総数,平成30,2018,154423,77918,76505,48299,24275,24024,342,45519,2438,52362,26448,25914,46938,5424,53762,27195,26567,45801,6848,1113,52398,55038,27834,27204
総数（国・公・私立）,0,総数,令和元,2019,150270,75775,74495,46296,23304,22992,373,43408,2515,51576,25997,25579,46496,5080,52398,26474,25924,45271,6118,1009,49870,53702,27152,26550
総数（国・公・私立）,0,総数,令和2,2020,144095,72434,71661,43463,21821,21642,416,39773,3274,49080,24658,24422,44674,4406,51552,25955,25597,44690,5966,896,45491,52402,26430,25972
総数（国・公・私立）,0,総数,令和3,2021,134456,67624,66832,39906,20107,19799,539,35889,3478,45406,22834,22572,41543,3863,49144,24683,24461,42697,5356,1091,41382,51539,25962,25577
総数（国・公・私立）,0,総数,令和4,2022,122669,61675,60994,36127,18027,18100,602,31564,3961,41175,20768,20407,37742,3433,45367,22880,22487,39651,4784,932,36531,49088,24736,24352
総数（国・公・私立）,1,区部,令和4,2022,79050,39422,39628,22882,11278,11604,351,20457,2074,26671,13401,13270,24036,2635,29497,14743,14754,25299,3623,575,24018,32031,16095,15936
総数（国・公・私立）,2,千代田区,令和4,2022,1105,482,623,268,113,155,－,264,4,399,177,222,256,143,438,192,246,283,149,6,413,438,201,237
総数（国・公・私立）,2,中央区,令和4,2022,1289,643,646,357,172,185,－,357,－,400,205,195,370,30,532,266,266,473,49,10,397,575,307,268
総数（国・公・私立）,2,港区,令和4,2022,2701,1301,1400,791,390,401,－,791,－,897,436,461,816,81,1013,475,538,868,116,29,901,1046,523,523
