地域階層,地域,和暦（年度）,西暦（年度）,総数／教員数（本務者）（人）,総数／教員数（本務者）／男（人）,総数／教員数（本務者）／女（人）,総数／教員数（兼務者）（人）,総数／国立／教員数（本務者）（人）,総数／国立／教員数（本務者）／男（人）,総数／国立／教員数（本務者）／女（人）,総数／国立／教員数（兼務者）（人）,総数／公立／教員数（本務者）（人）,総数／公立／教員数（本務者）／男（人）,総数／公立／教員数（本務者）／女（人）,総数／公立／教員数（兼務者）（人）,総数／私立／教員数（本務者）（人）,総数／私立／教員数（本務者）／男（人）,総数／私立／教員数（本務者）／女（人）,総数／私立／教員数（兼務者）（人）
2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
1,都外,令和4,2022,28,15,13,3,－,－,－,－,28,15,13,3,－,－,－,－
,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,
１０－６　特別支援学校　区市町村、設置者別教員数,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部・都外　2:区市町村）,,,,,,,,,,,,,,,,,,,
