区分,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数,6250,2430,3820,50,18,69,41,4,2,291,174,11,17,2000,3416,－,－,2,145,－,－,－,5,3,2,258,547
国立,228,102,126,－,1,2,2,－,－,2,1,－,－,98,111,－,－,－,6,－,－,－,5,－,－,26,31
公立,5937,2286,3651,48,15,67,39,－,－,286,169,10,17,1873,3275,－,－,2,136,－,－,－,－,－,－,228,492
私立,85,42,43,2,2,－,－,4,2,3,4,1,－,29,30,－,－,－,3,－,－,－,－,3,2,4,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,
１０－９　特別支援学校　設置者、職名別教員数,,,,,,,,,,,,,,,,,,,,,,,,,,,
