種別,区分,在園者数（人）,在園者数／男（人）,在園者数／女（人）,在園者数／０歳児（人）,在園者数／１歳児（人）,在園者数／２歳児（人）,在園者数／３歳児（人）,在園者数／４歳児（人）,在園者数／５歳児（人）,本年度入園者数（人）,本年度入園者数／男（人）,本年度入園者数／女（人）,本年度入園者数／３歳児（人）,本年度入園者数／４歳児（人）,本年度入園者数／５歳児（人）
総数（国・公・私立）,総数,7367,3703,3664,270,668,807,1801,1865,1956,1283,628,655,1002,188,93
国立,総数,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数,1026,517,509,36,98,124,194,273,301,164,93,71,71,84,9
私立,総数,6341,3186,3155,234,570,683,1607,1592,1655,1119,535,584,931,104,84
私立,学校法人立,4408,2151,2257,105,290,350,1199,1220,1244,897,418,479,820,52,25
私立,社会福祉法人立,1933,1035,898,129,280,333,408,372,411,222,117,105,111,52,59
,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,
３－３  幼保連携型認定こども園　設置者、年齢別在園者数及び本年度入園者数,,,,,,,,,,,,,,,,
