種別,和暦（年度）,西暦（年度）,学校数（校）,学校数／本校／全日制（校）,学校数／本校／定時制（校）,学校数／本校／併置（校）,学校数／分校（校）,学校数／分校／うち併置校（全日制、定時制の併置）（校）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（兼務者）（人）
総数（国・公・私立）,昭和23,1948,382,208,20,135,19,－,134668,87341,47327,7054,5754,1300,3840
総数（国・公・私立）,昭和24,1949,393,201,22,148,22,－,174116,115784,58332,7192,5790,1402,3795
総数（国・公・私立）,昭和25,1950,396,191,22,156,27,－,194506,121034,73472,7444,5986,1458,3752
総数（国・公・私立）,昭和26,1951,395,183,25,165,22,－,227758,139557,88201,8485,6867,1618,3588
総数（国・公・私立）,昭和27,1952,392,181,22,167,22,－,248712,149374,99338,9485,7692,1793,5048
総数（国・公・私立）,昭和28,1953,400,185,22,169,24,－,285133,172469,112664,9724,7933,1791,4519
総数（国・公・私立）,昭和29,1954,401,187,21,169,24,－,275519,161085,114434,10419,8429,1990,4072
総数（国・公・私立）,昭和30,1955,400,189,20,166,25,－,285619,164921,120698,10719,8609,2110,3941
総数（国・公・私立）,昭和31,1956,401,185,20,171,25,1,306113,…,…,10962,8736,2226,4540
総数（国・公・私立）,昭和32,1957,403,192,22,165,24,1,344925,193446,151479,12024,9559,2465,4455
総数（国・公・私立）,昭和33,1958,403,196,22,165,20,－,374989,208405,166584,13051,10360,2691,4395
総数（国・公・私立）,昭和34,1959,404,196,29,165,14,－,406306,223491,182815,13942,11051,2891,4667
総数（国・公・私立）,昭和35,1960,402,200,28,161,13,－,406790,221997,184793,14119,11239,2880,4755
総数（国・公・私立）,昭和36,1961,401,203,27,159,12,－,392137,213898,178239,14098,11219,2879,4904
総数（国・公・私立）,昭和37,1962,404,210,25,155,14,2,402050,218811,183239,14347,11413,2934,4973
総数（国・公・私立）,昭和38,1963,417,226,20,159,12,2,476641,255937,220704,15377,12084,3293,6622
