"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]","他団体出資等分[百万円]"
"年度","2021",,,
"期間（自）","20210401",,,
"期間（至）","20220331",,,
"前年度末純資産残高","3595169","3593214","1952","3"
"本年度純資産変動額 本年度差額 純行政コスト","-203219",,"-203226","7"
"本年度純資産変動額 本年度差額 財源","218287",,"218287","-"
"本年度純資産変動額 本年度差額 財源 税収等","144298",,"144298","-"
"本年度純資産変動額 本年度差額 財源 国都等補助金","73989",,"73989","-"
"本年度純資産変動額 本年度差額","15068",,"15061","7"
"本年度純資産変動額 固定資産等の変動（内部変動）",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,,,
"本年度純資産変動額 資産評価差額","-","-",,
"本年度純資産変動額 無償所管換等","-3276","-3276",,
"本年度純資産変動額 他団体出資等分の増加","52",,,"52"
"本年度純資産変動額 他団体出資等分の減少","-",,,"-"
"本年度純資産変動額 比例連結割合変更に伴う差額","1436","1599","-162","0"
"本年度純資産変動額 その他","-548","4","-552",
"本年度純資産変動額","12733","13962","-1289","60"
"本年度末純資産残高","3607902","3607176","663","63"

"連結会計財務書類（純資産変動計算書）(令和3年4月1日から令和4年3月31日)","Ver202203",,,
