"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202404","株式会社電通国際情報サービス　マッサージルーム","東京都港区港南二丁目17番1号","12階健康管理室内","2024/3/31","35.624577","139.739503"
"202404","ＴＭＥＳボディケアルーム","東京都港区芝浦四丁目13番23号","MS芝浦ビル8階","2024/3/25","35.640240","139.748062"
"202404","桜華鍼灸院","東京都港区高輪二丁目15番8号","1階","2023/3/31","35.637544","139.738802"
"202404","株式会社メディカルジャパン　青山鍼灸院","東京都港区南青山二丁目18番5号","アエリア南青山802","2024/4/3","35.669253","139.720399"
"202405","Ｈａｌｉａｎ","東京都港区麻布十番二丁目20番14号","麻布十番ハウス602","2024/4/1","35.655075","139.736503"
"202405","元氣計画治療院","東京都港区新橋三丁目13番5号","新橋カシマビル3階","2024/5/8","35.665665","139.756313"
"202405","女性のための鍼灸サロンＨＡＬＩＤＡ","東京都港区高輪三丁目6番11号","K高輪ビル601 oh the shore内","2024/5/10","35.633482","139.732421"
"202406","シンプレクス株式会社リラクゼーションルーム","東京都港区愛宕二丁目5番1号","愛宕グリーンヒルズMORIタワー21階","2024/5/2","35.662142","139.748881"
"202406","おおした鍼灸院","東京都港区南青山二丁目9番27号","2A","2024/6/15","35.670692","139.721220"
"202406","ＨＡＵＯＬＡ～パーソナルＭＩＮＤ＆ＢＯＤＹ鍼灸～","東京都港区六本木三丁目6番12号","六本木ヒルズ102","2021/10/1","35.663206","139.736097"
"202406","グリー　マッサージルーム","東京都港区六本木六丁目11番16号","中銀六本木マンシオン303","2024/6/26","35.658150","139.732052"
"202407","ハリアップ麻布台ヒルズ院","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー4階","2024/7/12","35.660882","139.740657"
"202407","ＯＷＬ鍼灸院","東京都港区東麻布一丁目18番7号","REVER HAYASHI 301","2024/6/30","35.655733","139.742722"

"施術所（あはき）廃止一覧(令和6年7月31日現在)","Ver202407",,,,,
