施設種別,地区名,保育園名,空き状況0歳[人],空き状況1歳[人],空き状況2歳[人],空き状況3歳[人],空き状況4歳[人],空き状況5歳[人],定員0歳[人],定員1歳[人],定員2歳[人],定員3歳[人],定員4歳[人],定員5歳[人],備考
認可保育園,芝地区,芝保育園,0,0,2,9,2,8,18,24,28,30,30,30,
認可保育園,芝地区,神明保育園,1,0,0,15,8,6,21,25,25,30,30,30,
認可保育園,芝地区,芝公園保育園,0,4,0,10,4,3,14,22,24,30,30,30,
認可保育園,芝地区,アスク芝公園保育園,0,0,0,2,2,5,6,10,11,11,11,11,
認可保育園,芝地区,太陽の子三田保育園,2,5,2,7,3,6,9,12,12,12,12,12,
認可保育園,芝地区,グローバルキッズ虎ノ門保育園,0,1,0,5,5,5,6,10,10,10,10,10,
認可保育園,芝地区,こころ新橋保育園,0,0,0,3,3,2,5,5,5,11,11,11,
認可保育園,芝地区,アイグラン保育園赤羽橋,3,11,7,5,7,5,6,12,12,10,10,10,
認可保育園,芝地区,小鳩ナーサリースクール浜離宮,1,3,2,3,6,2,6,7,7,6,6,6,
認可保育園,芝地区,ニチイキッズ芝公園保育園,1,2,0,4,4,6,6,7,8,8,8,8,
認可保育園,芝地区,にじいろ保育園竹芝,0,0,3,1,6,6,3,5,6,6,6,6,
認可保育園,芝地区,にじいろ保育園竹芝　分園,0,5,6,0,0,0,3,7,7,ー,ー,ー,
認可保育園,芝地区,にじいろ保育園新橋,0,7,3,11,12,0,3,10,11,12,12,ー,
認可保育園,芝地区,汐留サーノ保育園,0,5,1,12,6,10,6,14,15,15,15,15,
認可保育園,芝地区,にじいろ保育園三田,0,0,5,0,0,0,6,8,9,ー,ー,ー,
認可保育園,麻布地区,南麻布保育園,4,2,4,1,5,1,12,16,16,18,18,18,
認可保育園,麻布地区,本村保育園,0,0,0,0,0,3,12,14,20,20,20,20,
認可保育園,麻布地区,西麻布保育園,2,0,7,4,0,0,13,16,22,24,24,24,
認可保育園,麻布地区,麻布保育園,3,0,0,10,6,4,15,20,25,27,27,27,
認可保育園,麻布地区,飯倉保育園,0,5,3,5,8,7,12,18,21,24,28,28,
認可保育園,麻布地区,東麻布保育園,3,5,2,13,11,9,17,25,28,30,30,30,
認可保育園,麻布地区,元麻布保育園,0,0,1,9,5,10,22,25,26,31,31,31,※元麻布保育園（医療的ケア児・障害児クラス）の空き状況については、ページ最下部をご確認ください。
認可保育園,麻布地区,まなびの森保育園麻布,0,0,0,0,0,0,6,10,11,11,11,11,
認可保育園,麻布地区,アイグラン保育園南麻布,1,5,3,7,3,3,9,15,18,18,18,20,
認可保育園,麻布地区,太陽の子南麻布保育園,5,2,4,6,5,6,9,12,12,12,12,12,
認可保育園,麻布地区,アイグラン保育園元麻布,2,1,5,5,4,7,6,12,12,10,10,10,
認可保育園,麻布地区,まちの保育園　六本木,0,0,0,ー,ー,ー,11,13,14,ー,ー,ー,
認可保育園,麻布地区,まちの保育園　六本木分園,ー,ー,ー,1,0,1,ー,ー,ー,14,9,9,
認可保育園,麻布地区,コスモス西麻布保育園,2,2,4,8,9,6,3,8,9,10,10,10,
認可保育園,麻布地区,AIAI NURSERY麻布十番,1,0,0,1,0,2,6,8,9,9,9,9,
認可保育園,麻布地区,ふたばクラブ東麻布保育園,0,0,0,0,3,2,9,10,10,10,10,10,
認可保育園,麻布地区,まなびの森保育園麻布十番,0,0,0,0,0,0,6,11,11,11,11,11,
認可保育園,麻布地区,麻布十番ちとせ保育園,0,0,3,4,3,3,6,10,11,11,11,11,
認可保育園,麻布地区,sakura保育園六本木,0,1,2,4,8,9,6,10,12,12,12,12,
認可保育園,麻布地区,リトルパルズ保育園六本木,0,0,0,7,2,7,9,12,12,12,8,7,
認可保育園,赤坂地区,赤坂保育園,0,0,0,3,0,2,9,15,15,20,20,20,
認可保育園,赤坂地区,南青山保育園,6,1,0,0,7,13,18,20,20,26,26,26,
認可保育園,赤坂地区,青山保育園,6,7,1,5,11,8,14,20,22,24,24,24,
認可保育園,赤坂地区,赤坂ちとせ保育園,0,0,1,0,3,5,6,8,9,9,9,9,
認可保育園,赤坂地区,太陽の子赤坂保育園,0,1,1,0,5,5,6,10,10,10,12,12,
認可保育園,赤坂地区,アイグラン保育園青山一丁目,2,6,0,6,6,3,6,12,12,10,10,10,
認可保育園,赤坂地区,太陽の子南青山保育園,1,2,0,1,2,2,6,8,9,9,9,9,
認可保育園,赤坂地区,小学館アカデミー南青山保育園,5,2,0,6,3,6,6,6,6,6,6,9,
認可保育園,赤坂地区,赤坂山王保育園,0,0,0,4,9,10,15,20,20,22,22,22,
認可保育園,赤坂地区,赤坂クレア保育園,1,0,2,7,6,2,6,6,8,10,8,2,
認可保育園,赤坂地区,おはよう保育園ののあおやま,0,1,0,0,1,1,3,4,4,4,3,2,
認可保育園,赤坂地区,まちの保育園　南青山,0,0,5,ー,ー,ー,6,11,11,ー,ー,ー,
認可保育園,高輪地区,伊皿子坂保育園,0,0,0,3,9,1,15,22,22,30,30,30,
認可保育園,高輪地区,高輪保育園,2,1,0,2,8,4,14,22,24,25,28,28,
認可保育園,高輪地区,白金保育園,0,0,0,0,0,4,9,15,15,20,20,20,
認可保育園,高輪地区,神応保育園,0,0,0,8,2,5,9,15,18,24,24,24,
認可保育園,高輪地区,太陽の子三田五丁目保育園,1,0,0,2,3,3,8,8,10,10,12,12,
認可保育園,高輪地区,みなと保育園,1,0,3,2,4,2,6,9,12,12,12,12,
認可保育園,高輪地区,愛星保育園,0,0,1,0,1,0,5,10,15,15,11,9,
認可保育園,高輪地区,ミアヘルサ保育園ゆらりん高輪,4,0,1,6,4,2,9,15,18,19,20,20,
認可保育園,高輪地区,高輪夢保育園,0,0,0,4,6,4,6,8,9,9,9,9,
認可保育園,高輪地区,ミアヘルサ保育園ゆらりん白金,0,0,0,1,1,3,6,8,9,9,9,9,
認可保育園,高輪地区,みつばち保育園,0,0,1,ー,ー,ー,6,11,13,ー,ー,ー,
認可保育園,高輪地区,ニチイキッズ白金台保育園,4,4,0,5,3,5,10,12,12,12,12,12,
認可保育園,高輪地区,高輪さつき保育園,0,0,0,3,1,1,6,10,11,11,11,11,
認可保育園,高輪地区,えほんのもり白金台保育園,1,0,0,1,3,7,3,5,6,7,7,7,
認可保育園,高輪地区,さくらさくみらい高輪,1,4,0,5,2,2,6,12,12,14,10,6,
認可保育園,高輪地区,ミアヘルサ保育園ひびき白金高輪,ー,2,2,4,5,6,ー,5,5,8,5,8,
認可保育園,高輪地区,うれしい保育園白金高輪,0,0,0,0,5,5,6,10,11,11,11,11,
認可保育園,高輪地区,ほっぺるランド高輪二丁目,3,3,0,6,4,6,6,10,11,11,11,11,
認可保育園,高輪地区,アイグラン保育園白金台,0,0,1,5,2,4,8,12,12,13,10,5,
認可保育園,高輪地区,スターチャイルド白金高輪ナーサリー,0,0,0,3,ー,ー,6,8,9,9,ー,ー,
認可保育園,芝浦港南地区,しばうら保育園,0,0,0,0,0,3,25,30,33,36,46,46,
認可保育園,芝浦港南地区,しばうら保育園分園,0,0,0,0,ー,ー,6,10,10,10,ー,ー,
認可保育園,芝浦港南地区,こうなん保育園,2,0,1,2,2,0,14,23,26,27,27,27,
認可保育園,芝浦港南地区,台場保育園,0,0,0,0,2,0,14,22,23,24,24,24,
認可保育園,芝浦港南地区,たかはま保育園,0,0,0,0,1,1,16,21,23,30,30,30,
認可保育園,芝浦港南地区,太陽の子シーバンス保育園,1,0,0,6,7,0,9,20,20,20,16,15,
認可保育園,芝浦港南地区,太陽の子芝浦一丁目保育園,3,2,4,6,6,8,6,12,12,12,12,12,
認可保育園,芝浦港南地区,アンジェリカ田町保育園,0,0,0,0,3,2,6,10,11,11,11,11,
認可保育園,芝浦港南地区,にじのいるか保育園芝浦,0,0,0,4,9,3,6,12,12,11,10,9,
認可保育園,芝浦港南地区,太陽の子芝浦三丁目保育園,3,0,2,2,4,5,6,8,9,9,9,9,
認可保育園,芝浦港南地区,アスク芝浦４丁目保育園,0,0,0,1,2,5,9,10,10,10,10,11,
認可保育園,芝浦港南地区,ミアヘルサ保育園ゆらりん港南,6,4,2,5,*,*,9,12,12,12,*,*,空き状況：4歳、5歳で計0人 定員：4歳、5歳で計15人
認可保育園,芝浦港南地区,グローバルキッズ港南保育園,7,5,6,6,4,0,9,18,18,18,18,18,
認可保育園,芝浦港南地区,ベネッセ港南保育園,5,0,0,0,1,2,6,12,12,10,10,10,
認可保育園,芝浦港南地区,ふたばクラブ港南保育園,0,1,0,0,2,3,4,5,5,5,5,5,
認可保育園,芝浦港南地区,ミアヘルサ保育園ゆらりんはぁと,2,4,2,4,1,3,5,7,8,10,10,10,
認可保育園,芝浦港南地区,ミアヘルサ保育園ゆらりん港南緑水,1,0,4,3,3,3,9,15,18,19,20,20,
認可保育園,芝浦港南地区,デイジー保育園芝浦,1,0,0,4,2,3,6,9,9,10,10,10,
認可保育園,芝浦港南地区,にじいろ保育園海岸三丁目,0,0,4,9,9,11,9,20,24,24,24,24,
認可保育園,芝浦港南地区,太陽の子芝浦二丁目保育園,0,0,0,3,1,1,6,8,9,9,9,9,
認可保育園,芝浦港南地区,ポピンズナーサリースクール芝浦ベイ,0,0,0,ー,ー,ー,6,8,9,ー,ー,ー,
認定こども園,芝浦港南地区,芝浦アイランドこども園,0,0,0,2,6,1,15,18,22,32,42,42,
小規模保育施設,芝地区,こころナーサリー新橋,0,4,0,ー,ー,ー,6,6,6,ー,ー,ー,
小規模保育施設,芝地区,ふらわぁきっず保育園新橋,0,1,1,ー,ー,ー,3,4,5,ー,ー,ー,
小規模保育施設,麻布地区,デイジー保育園麻布十番,1,0,0,ー,ー,ー,6,6,6,ー,ー,ー,
小規模保育施設,麻布地区,デイジー保育園麻布十番フォレスト,0,1,2,ー,ー,ー,6,6,6,ー,ー,ー,
小規模保育施設,麻布地区,ここいく保育園西麻布,0,4,4,ー,ー,ー,3,6,8,ー,ー,ー,
小規模保育施設,赤坂地区,sakura保育園,0,0,1,ー,ー,ー,3,5,5,ー,ー,ー,
小規模保育施設,高輪地区,ふらわぁきっず保育園三田,0,0,1,ー,ー,ー,3,4,5,ー,ー,ー,
小規模保育施設,高輪地区,ちゃいるど・はっぴっぴ!!白金保育園,0,0,0,ー,ー,ー,2,4,4,ー,ー,ー,
小規模保育施設,芝浦港南地区,港南あおぞら保育園,4,0,3,ー,ー,ー,6,6,7,ー,ー,ー,
小規模保育施設,芝浦港南地区,にじのそら保育園芝浦,1,4,2,ー,ー,ー,3,8,8,ー,ー,ー,
港区保育室,芝地区,芝公園二丁目保育室,ー,8,6,6,6,2,ー,10,12,10,15,10,
港区保育室,赤坂地区,青南保育室,0,0,3,0,1,5,3,10,12,13,15,20,
港区保育室,赤坂地区,第二青南保育室,0,4,5,0,1,0,3,10,12,12,10,15,
港区保育室,高輪地区,桂坂保育室,4,10,3,5,6,5,9,20,24,25,25,25,
港区保育室,高輪地区,志田町保育室,0,0,0,8,1,4,6,15,18,25,25,25,
港区保育室,高輪地区,白金三丁目保育室,0,0,2,6,1,4,3,5,6,10,5,10,
港区保育室,芝浦港南地区,たまち保育室,5,9,6,8,9,9,12,20,24,25,25,25,
港区保育室,芝浦港南地区,芝浦橋保育室,0,2,6,13,10,0,9,30,30,36,30,20,
港区保育室,芝浦港南地区,五色橋保育室,3,4,4,3,3,3,3,10,12,10,10,5,
元麻布保育園（医療的ケア児・障害児クラス）,,元麻布保育園,*,*,*,*,*,*,*,*,*,*,*,*,空き状況：合計で9人 定員：合計で20人

区立・私立保育園空き状況（令和6年8月16日現在）,Ver202408
