"町名","丁目","番地","号","投票所","投票所名"
"赤坂","1丁目",,,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","2丁目",,,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","3丁目",,,"第30投票所","赤坂地区総合支所"
"赤坂","4丁目",,,"第30投票所","赤坂地区総合支所"
"赤坂","5丁目","1番",,"第30投票所","赤坂地区総合支所"
"赤坂","5丁目","2番",,"第30投票所","赤坂地区総合支所"
"赤坂","5丁目","3番",,"第30投票所","赤坂地区総合支所"
"赤坂","5丁目","4番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","5丁目","5番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","1番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","2番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","3番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","4番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","5番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","6番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","7番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","8番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","9番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","10番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","11番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","12番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","13番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","14番",,"第32投票所","赤坂小学校"
"赤坂","6丁目","15番",,"第32投票所","赤坂小学校"
"赤坂","6丁目","16番",,"第32投票所","赤坂小学校"
"赤坂","6丁目","17番",,"第32投票所","赤坂小学校"
"赤坂","6丁目","18番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","6丁目","19番",,"第31投票所","赤坂子ども中高生プラザ"
"赤坂","7丁目",,,"第32投票所","赤坂小学校"
"赤坂","8丁目","1番",,"第33投票所","赤坂図書館"
"赤坂","8丁目","2番",,"第33投票所","赤坂図書館"
"赤坂","8丁目","3番",,"第33投票所","赤坂図書館"
"赤坂","8丁目","4番",,"第33投票所","赤坂図書館"
