 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,829","14,399,404","19,455","149,828,714",662,"12,169,112","6,984","127,874,320"
外航計,420,"10,640,918","4,346","111,663,184",388,"10,177,216","4,098","106,997,945"
外航定期計,393,"10,221,954","4,112","107,124,090",388,"10,177,216","4,098","106,997,945"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),30,"2,136,154",379,"26,072,847",30,"2,136,154",379,"26,072,847"
北米東岸(カリビア海含む),13,"847,683",105,"7,185,596",13,"847,683",104,"7,178,594"
北欧・地中海,10,"985,656",77,"7,572,449",10,"985,656",77,"7,572,449"
南米西岸,2,"253,208",39,"5,096,527",2,"253,208",39,"5,096,527"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,5,"221,465",47,"2,048,810",5,"221,465",47,"2,048,810"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,143,"3,658,450","1,482","37,168,136",139,"3,621,244","1,470","37,056,525"
台湾,-,-,-,-,-,-,-,-
韓国,42,"416,448",437,"3,862,231",41,"408,916",436,"3,854,699"
中国(香港含む),148,"1,702,890","1,546","18,117,494",148,"1,702,890","1,546","18,117,494"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,27,"418,964",234,"4,539,094",-,-,-,-
内航計,"1,409","3,758,486","15,109","38,165,530",274,"1,991,896","2,886","20,876,375"
内航定期計,518,"2,677,366","5,670","27,758,083",274,"1,991,896","2,847","20,781,596"
北海道,103,"1,083,812","1,012","10,830,864",103,"1,083,812","1,012","10,830,864"
東北,46,"39,595",569,"466,540",46,"39,595",550,"452,309"
関東,84,"23,384",909,"281,348",-,-,2,998
伊豆諸島,131,"295,642","1,609","3,030,257",-,-,1,155
中部,38,"28,462",329,"406,507",38,"28,462",329,"406,507"
近畿,10,"7,490",121,"241,012",10,"7,490",121,"241,012"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,83,"955,638",885,"10,009,910",54,"589,194",596,"6,358,106"
沖縄,23,"243,343",236,"2,491,645",23,"243,343",236,"2,491,645"
内航不定期,891,"1,081,120","9,439","10,407,447",-,-,39,"94,779"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
