 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
30,非鉄金属,"23,395","256,858","7,773","81,051","7,773","80,981","12,352","136,348","12,347","133,253",120,"9,104","3,150","30,355"
31,金属製品,"148,438","1,542,361","26,171","251,288","26,171","251,280","117,672","1,225,046","115,480","1,215,307","2,953","35,853","1,642","30,174"
32,鉄道車両,131,"2,465",33,556,33,556,98,"1,909",98,"1,909",-,-,-,-
33,完成自動車,"1,167,961","11,679,029","11,124","98,357","11,124","97,908","1,238","20,595","1,138","18,973","649,369","6,562,963","506,230","4,997,114"
34,その他輸送用車両,"10,651","92,306",374,"2,312",374,"2,312","9,463","79,091","6,678","70,074",804,"8,750",10,"2,153"
35,二輪自動車,"7,572","60,561","3,193","16,272","3,193","16,270","4,364","43,987","4,364","43,987",6,135,9,167
36,自動車部品,"187,001","2,040,552","119,673","1,301,929","119,673","1,301,929","63,834","688,229","63,829","688,105","1,410","19,902","2,084","30,492"
37,その他輸送機械,"47,518","536,058","5,758","54,792","5,758","54,792","21,840","284,432","21,840","284,432","5,580","73,202","14,340","123,632"
38,産業機械,"267,997","2,916,846","141,219","1,502,472","141,154","1,494,671","113,401","1,257,773","113,339","1,256,673","11,042","118,208","2,335","38,393"
39,電気機械,"316,228","3,320,740","62,239","577,940","62,220","577,802","249,961","2,696,232","249,702","2,695,214","3,705","36,859",323,"9,709"
40,測量・光学・医療用機械,"49,755","525,970","17,705","192,545","17,705","187,395","28,377","297,534","28,377","283,848","2,078","26,003","1,595","9,888"
41,事務用機器,"18,882","195,220","2,033","23,413","2,033","23,413","12,895","138,642","12,895","138,642","3,889","32,303",65,862
42,その他機械,"4,389","53,692","1,034","9,988","1,034","9,988","2,112","20,555","2,110","20,553",545,"13,394",698,"9,755"
化学工業品,,"1,105,719","11,448,242","200,005","1,952,309","200,005","1,952,244","275,853","2,952,785","275,850","2,943,162","38,651","410,789","591,210","6,132,359"
43,陶磁器,"13,064","129,885",401,"8,962",401,"8,959","12,663","120,824","12,663","120,824",-,79,-,20
44,セメント,"215,616","2,060,073",45,631,45,631,"1,328","13,662","1,328","13,662","2,976","26,237","211,267","2,019,543"
45,ガラス類,"22,713","238,144","6,829","72,114","6,829","72,112","15,139","155,321","15,139","155,321",729,"10,327",16,382
46,窯業品,"34,002","339,795","11,295","97,269","11,295","97,216","14,463","172,285","14,463","172,274","2,525","30,844","5,719","39,397"
47,重油,"37,618","399,784",-,-,-,-,-,-,-,-,"18,004","192,150","19,614","207,634"
48,揮発油,105,"2,959",-,-,-,-,15,291,15,291,90,793,-,"1,875"
49,その他の石油,"344,120","3,727,240","2,577","23,890","2,577","23,890","1,541","16,214","1,541","16,214","1,558","16,758","338,444","3,670,378"
50,LNG/液化天然ガス,-,95,-,-,-,-,-,90,-,90,-,-,-,5
51,LPG/液化石油ガス,452,"6,857",-,-,-,-,15,"1,455",15,"1,455",437,"5,377",-,25
52,その他石油製品,"6,393","76,552",596,"5,660",596,"5,660",537,"11,835",537,"11,835","1,418","5,330","3,842","53,727"
53,コークス,660,"53,904",-,-,-,-,660,"16,330",660,"6,809",-,"14,113",-,"23,461"
54,石炭製品,810,"5,648",735,"4,685",735,"4,685",75,943,75,943,-,-,-,20
55,化学薬品,"82,875","827,723","23,629","245,335","23,629","245,335","49,339","497,153","49,339","497,153","3,662","35,648","6,245","49,587"
56,化学肥料,"5,732","53,610",708,"2,678",708,"2,678","4,704","44,857","4,704","44,857",220,"3,000",100,"3,075"
57,その他化学工業品,"341,559","3,525,973","153,190","1,491,085","153,190","1,491,078","175,374","1,901,525","175,371","1,901,434","7,032","70,133","5,963","63,230"
軽工業品,,"624,224","6,607,085","52,052","502,730","52,035","502,547","378,409","3,978,928","378,360","3,977,607","64,391","672,783","129,372","1,452,644"
58,紙・パルプ,"171,814","2,068,672","18,780","175,800","18,780","175,740","55,842","652,977","55,842","652,134","11,760","184,954","85,432","1,054,941"
59,糸及び紡績半製品,"4,466","46,748",482,"4,983",482,"4,983","3,984","41,526","3,984","41,526",-,179,-,60
60,その他繊維工業品,"29,266","293,841","5,208","45,589","5,191","45,466","24,028","246,445","24,028","246,445",20,"1,588",10,219
61,砂糖,"10,685","108,020",221,787,221,787,"3,785","37,823","3,785","37,823",955,"10,874","5,724","58,536"
62,製造食品,"263,823","2,569,001","22,449","223,113","22,449","223,113","216,762","2,095,650","216,713","2,095,297","15,301","156,761","9,311","93,477"
63,飲料,"88,409","917,390","4,186","45,581","4,186","45,581","46,815","543,157","46,815","543,032","23,758","222,898","13,650","105,754"
64,水,"18,609","231,432",535,"6,001",535,"6,001","10,662","166,317","10,662","166,317","5,307","42,449","2,105","16,665"
65,たばこ,"8,653","95,532",5,174,5,174,"7,298","82,533","7,298","82,533",640,"6,980",710,"5,845"
66,その他食料工業品,"28,499","276,449",186,702,186,702,"9,233","112,500","9,233","112,500","6,650","46,100","12,430","117,147"
雑工業品,,"1,105,622","10,031,542","98,833","1,009,227","98,833","1,009,224","964,288","8,624,479","964,262","8,624,155","32,434","313,231","10,067","84,605"
67,がん具,"74,100","530,681","3,088","24,830","3,088","24,830","70,962","505,630","70,962","505,629",15,70,35,151
68,衣服・身廻品・はきもの,"495,748","4,074,200","14,241","133,886","14,241","133,886","480,709","3,926,390","480,709","3,926,381",604,"11,264",194,"2,660"
69,文房具・運動娯楽用品・楽器,"68,337","656,378","10,961","102,942","10,961","102,942","56,834","547,964","56,816","547,803",490,"4,388",52,"1,084"
70,家具装備品,"174,876","1,784,873","7,844","76,659","7,844","76,659","164,626","1,683,018","164,625","1,683,014","1,841","18,130",565,"7,066"
71,その他日用品,"65,924","671,651","8,665","105,004","8,665","105,004","33,378","349,605","33,376","349,602","20,900","191,937","2,981","25,105"
72,ゴム製品,"63,504","703,806","26,237","313,630","26,237","313,630","34,476","366,988","34,476","366,988","1,241","11,281","1,550","11,907"
73,木製品,"103,266","1,035,402","1,110","9,505","1,110","9,502","100,508","1,003,135","100,508","1,003,038","1,588","21,960",60,802
74,その他製造工業品,"59,867","574,551","26,687","242,771","26,687","242,771","22,795","241,749","22,790","241,700","5,755","54,201","4,630","35,830"
特殊品,,"1,051,399","10,149,707","279,664","2,367,445","196,605","1,929,638","164,346","1,786,023","151,873","1,735,488","411,809","3,866,658","195,580","2,129,581"
75,金属くず,"95,869","598,184","87,938","519,615","5,063","87,290","4,671","51,294","4,671","51,294","1,687","13,977","1,573","13,298"
76,再利用資材,"178,058","1,759,174","160,212","1,514,989","160,212","1,514,989","2,929","34,158","2,929","34,158","13,054","189,641","1,863","20,386"
77,動植物性製造飼肥料,"76,586","890,643","1,689","15,558","1,689","15,508","68,169","818,143","68,169","818,143","6,293","52,197",435,"4,745"
78,廃棄物,"1,058","10,520",-,-,-,-,-,-,-,-,315,"2,830",743,"7,690"
79,廃土砂,"133,574","979,518",-,-,-,-,-,-,-,-,"133,568","967,672",6,"11,846"
80,輸送用容器,"119,296","1,232,758","17,245","172,407","17,068","166,982","83,446","808,626","70,973","758,333","5,893","68,664","12,712","183,061"
81,取合せ品,"446,958","4,678,910","12,580","144,876","12,573","144,869","5,131","73,802","5,131","73,560","250,999","2,571,677","178,248","1,888,555"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
