 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"300,180","111,715","2,973,810","1,164,120","89,052","109,698","875,790","1,139,172","211,128","2,017","2,098,020","24,948"
,94.0%,91.5%,97.2%,101.6%,93.2%,91.7%,94.0%,101.9%,94.3%,77.9%,98.6%,88.8%
外航計,"276,922","91,129","2,744,307","986,092","77,898","90,566","767,431","979,231","199,024",563,"1,976,876","6,861"
,93.6%,92.2%,97.2%,106.5%,92.7%,92.5%,95.2%,106.9%,93.9%,61.6%,97.9%,68.4%
外航定期計,"276,922","91,129","2,744,307","986,092","77,898","90,566","767,431","979,231","199,024",563,"1,976,876","6,861"
,93.6%,92.2%,97.2%,106.5%,92.7%,92.5%,95.2%,106.9%,93.9%,61.6%,97.9%,68.4%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"23,575","10,755","338,622","136,732","7,018","10,660","103,302","134,609","16,557",95,"235,320","2,123"
,52.8%,70.1%,84.3%,95.5%,42.8%,71.6%,70.4%,95.7%,58.6%,21.0%,92.3%,84.3%
北米東岸(カリビア海含む),"9,891","2,898","95,757","24,225","4,529","2,887","44,643","24,063","5,362",11,"51,114",162
,111.7%,202.5%,89.8%,121.2%,88.6%,204.0%,96.4%,122.0%,143.4%,68.8%,84.8%,60.0%
北欧・地中海,"27,728","2,459","242,796","24,291","14,018","2,410","132,368","23,898","13,710",49,"110,428",393
,137.2%,121.0%,130.7%,125.8%,150.5%,119.8%,159.2%,126.2%,125.9%,233.3%,107.5%,104.8%
南米西岸,"1,319",598,"27,432","18,730",194,594,"3,676","18,406","1,125",4,"23,756",324
,61.8%,36.6%,83.1%,178.4%,60.6%,36.4%,252.6%,198.1%,61.9%,-,75.3%,26.8%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
