 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,199,497","2,331,858","4,867,639","73,127,106","22,991,949","50,135,157","4,784,090","1,554,191","3,229,899","49,549,233","16,121,746","33,427,487"
外航計,"3,987,988","1,071,106","2,916,882","40,228,925","10,425,142","29,803,783","3,820,294","983,634","2,836,660","39,074,849","9,967,673","29,107,176"
外航定期計,"3,856,276","985,295","2,870,981","39,176,532","9,971,091","29,205,441","3,820,294","983,634","2,836,660","39,074,849","9,967,673","29,107,176"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"314,374","90,620","223,754","4,819,759","1,325,793","3,493,966","314,374","90,620","223,754","4,819,759","1,325,793","3,493,966"
北米東岸(カリビア海含む),"127,909","54,350","73,559","1,320,073","572,959","747,114","127,909","54,350","73,559","1,320,068","572,954","747,114"
北欧・地中海,"382,059","185,748","196,311","3,339,652","1,752,094","1,587,558","382,059","185,748","196,311","3,339,652","1,752,094","1,587,558"
南米西岸,"18,849","2,223","16,626","386,219","48,230","337,989","18,849","2,223","16,626","386,219","48,230","337,989"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"25,070","4,364","20,706","236,727","29,686","207,041","25,070","4,364","20,706","236,727","29,686","207,041"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,734,281","450,342","1,283,939","17,034,604","4,208,754","12,825,850","1,702,774","449,656","1,253,118","16,937,401","4,206,316","12,731,085"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"142,268","32,335","109,933","1,482,829","390,036","1,092,793","137,793","31,360","106,433","1,478,354","389,061","1,089,293"
中国(香港含む),"1,111,466","165,313","946,153","10,556,669","1,643,539","8,913,130","1,111,466","165,313","946,153","10,556,669","1,643,539","8,913,130"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"131,712","85,811","45,901","1,052,393","454,051","598,342",-,-,-,-,-,-
内航計,"3,211,509","1,260,752","1,950,757","32,898,181","12,566,807","20,331,374","963,796","570,557","393,239","10,474,384","6,154,073","4,320,311"
内航定期計,"1,923,382","1,065,298","858,084","19,842,382","10,959,536","8,882,846","953,039","559,800","393,239","10,320,112","6,021,242","4,298,870"
北海道,"310,634","177,632","133,002","3,665,778","2,068,540","1,597,238","310,634","177,632","133,002","3,665,778","2,068,540","1,597,238"
東北,"27,676","14,669","13,007","330,644","176,718","153,926","27,676","14,669","13,007","323,828","172,630","151,198"
関東,"47,819","24,398","23,421","499,841","236,388","263,453",-,-,-,442,-,442
伊豆諸島,"6,689","4,830","1,859","73,524","50,141","23,383",-,-,-,"4,344","3,173","1,171"
中部,"26,147","6,801","19,346","225,676","49,064","176,612","26,147","6,801","19,346","225,676","49,064","176,612"
近畿,"5,223",974,"4,249","87,867","11,067","76,800","5,223",974,"4,249","87,867","11,067","76,800"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,371,361","745,441","625,920","13,804,722","7,506,055","6,298,667","455,526","269,171","186,355","4,857,847","2,855,205","2,002,642"
沖縄,"127,833","90,553","37,280","1,154,330","861,563","292,767","127,833","90,553","37,280","1,154,330","861,563","292,767"
内航不定期,"1,288,127","195,454","1,092,673","13,055,799","1,607,271","11,448,528","10,757","10,757",-,"154,272","132,831","21,441"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
