,(1)入港船舶,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,（単位　：　隻、総トン）,,,
,,令和元年(2019年),,,,平成30年(2018年),,,,,
,,当月,,１月以降累計,,当月,,１月以降累計,,,
,,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,,
,総数 ,"1,829","14,399,404","19,455","149,828,714","2,135","15,718,971","20,155","151,144,218",,
,,85.7%,91.6%,96.5%,99.1%,,,,,,
,外航船,420,"10,640,918","4,346","111,663,184",456,"11,688,322","4,564","113,384,818",,
,,92.1%,91.0%,95.2%,98.5%,,,,,,
,（外航ｺﾝﾃﾅ船）,388,"10,177,216","4,098","106,997,945",417,"10,961,067","4,237","107,607,209",,
,,93.0%,92.8%,96.7%,99.4%,,,,,,
,内航船,"1,409","3,758,486","15,109","38,165,530","1,679","4,030,649","15,591","37,759,400",,
,,83.9%,93.2%,96.9%,101.1%,,,,,,
,(注）％表示は対前年同月比,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
