（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,916,882",91.2%,"29,803,783",98.6%,100.0%
1,中国,"1,309,933",97.0%,"12,483,616",98.4%,41.9%
,(香港),"118,321",72.4%,"1,331,021",83.1%,4.5%
2,アメリカ,"280,583",74.7%,"3,311,084",91.4%,11.1%
3,タイ,"190,733",92.6%,"1,910,211",95.9%,6.4%
4,ベトナム,"182,968",94.4%,"1,810,207",109.4%,6.1%
5,台湾,"145,965",114.7%,"1,352,428",112.3%,4.5%
6,韓国,"113,262",97.3%,"1,149,885",98.5%,3.9%
7,カナダ,"89,794",75.1%,"1,147,785",91.0%,3.9%
8,シンガポール,"93,724",87.4%,"990,195",107.7%,3.3%
9,フィリピン,"93,190",91.2%,"927,060",95.1%,3.1%
10,マレーシア,"87,430",95.5%,"851,760",108.5%,2.9%
11,インドネシア,"75,013",89.7%,"746,098",101.6%,2.5%
12,ドイツ,"37,500",77.2%,"453,989",97.0%,1.5%
13,オランダ,"31,824",84.5%,"391,495",92.8%,1.3%
14,フランス,"21,688",83.4%,"269,740",101.2%,0.9%
15,ニュージーランド,"23,150",101.6%,"266,131",99.2%,0.9%
16,チリ,"19,272",98.3%,"242,554",79.6%,0.8%
17,イタリア,"11,814",87.1%,"148,098",104.9%,0.5%
18,イギリス,"8,080",63.9%,"133,821",98.6%,0.4%
19,メキシコ,"8,129",111.3%,"112,082",72.2%,0.4%
20,ブラジル,"8,725",79.8%,"110,167",133.8%,0.4%
,その他,"84,105",66.3%,"995,377",102.8%,3.3%
