 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,29,289,29,289,
,総トン数,,"366,444","3,651,804","366,444","3,651,804",
取扱貨物,計,計,"915,835","8,946,875","915,835","8,946,875",
,,出荷,"476,270","4,650,850","476,270","4,650,850",
,,入荷,"439,565","4,296,025","439,565","4,296,025",
取　扱　台　数,バ　ス,計,17,107,17,107,
,,出荷,10,47,10,47,
,,入荷,7,60,7,60,
,トラック,計,"8,352","81,161","8,352","81,161",
,,出荷,"4,366","42,599","4,366","42,599",
,,入荷,"3,986","38,562","3,986","38,562",
,乗用車,計,"4,732","51,814","4,732","51,814",
,,出荷,"2,699","30,943","2,699","30,943",
,,入荷,"2,033","20,871","2,033","20,871",
乗降人員,計,,"3,753","35,324","3,753","35,324",
,乗船,,"2,093","18,852","2,093","18,852",
,降船,,"1,660","16,472","1,660","16,472",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
