"施設種別","地区","保育園名","0歳","1歳","2歳","3歳","4歳","5歳"
"認可保育園","芝","芝保育園","31","35","28","-","-","非公開"
"認可保育園","芝","神明保育園","37","40","-","-","-","-"
"認可保育園","芝","芝公園保育園","40","40","-","非公開","非公開","-"
"認可保育園","芝","アスク芝公園保育園","40","40","-","22以下","-","-"
"認可保育園","芝","太陽の子三田保育園","40","40","-","-","-","-"
"認可保育園","芝","アイグラン保育園赤羽橋","非公開","22以下","-","-","非公開","-"
"認可保育園","芝","こころ新橋保育園","40","-","-","-","-","-"
"認可保育園","芝","グローバルキッズ虎ノ門保育園","40","40","-","-","-","-"
"認可保育園","芝","小鳩ナーサリースクール浜離宮","38","非公開","-","-","-","-"
"認可保育園","芝","ニチイキッズ芝公園保育園","-","25","-","-","-","-"
"認可保育園","芝","にじいろ保育園竹芝","-","40","-","-","-","-"
"認可保育園","芝","にじいろ保育園新橋","非公開","31","-","-",,
"認可保育園","芝","汐留サーノ保育園","29","40","41","非公開","-","非公開"
"認可保育園","麻布","南麻布保育園","22以下","28","22以下","-","-","-"
"認可保育園","麻布","本村保育園","40","40","40","-","-","-"
"認可保育園","麻布","西麻布保育園","38","40","非公開","40","-","40"
"認可保育園","麻布","麻布保育園","35","40","-","40","非公開","-"
"認可保育園","麻布","飯倉保育園","29","40","非公開","非公開","-","-"
"認可保育園","麻布","東麻布保育園","36","23","-","非公開","-","非公開"
"認可保育園","麻布","元麻布保育園","34","40","非公開","-","40","-"
"認可保育園","麻布","まなびの森保育園麻布","34","40","非公開","-","-","-"
"認可保育園","麻布","アイグラン保育園南麻布","38","40","28","-","40","-"
"認可保育園","麻布","太陽の子南麻布保育園","22以下","40","非公開","-","-","-"
"認可保育園","麻布","アイグラン保育園元麻布","非公開","37","-","-","-","-"
"認可保育園","麻布","まちの保育園六本木","34","40","40",,,
"認可保育園","麻布","まちの保育園六本木分園",,,,"-","-","-"
"認可保育園","麻布","コスモス西麻布保育園","非公開","非公開","-","非公開","-","-"
"認可保育園","麻布","AIAI NURSERY麻布十番","-","40","-","-","-","-"
"認可保育園","麻布","ふたばクラブ東麻布保育園","31","非公開","-","-","-","-"
"認可保育園","麻布","まなびの森保育園麻布十番","40","40","-","-","非公開","-"
"認可保育園","麻布","麻布十番ちとせ保育園","41","40","非公開","-","-","-"
"認可保育園","麻布","sakura保育園六本木","31","31","22以下","-","-",
"認可保育園","麻布","リトルパルズ保育園六本木","非公開","31","-","-","-",
"認可保育園","赤坂","赤坂保育園","40","38","非公開","34","-","-"
"認可保育園","赤坂","南青山保育園","40","22以下","-","-","-","-"
