都道府県コード又は市区町村コード,地域コード,地方公共団体名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
132098,0,町田市,2018/1/1,,428742,210268,218474,8046,7606,9719,9134,10528,9879,11210,10644,11192,10711,9855,9425,11277,10813,13316,12905,17129,16782,19235,18441,15797,14713,12350,12345,11121,11675,13774,15557,12105,14738,10853,13456,7673,9793,5087,9857,194121,
132098,1000,町田市,2018/1/1,相原町,15198,7453,7745,242,228,288,290,345,310,348,344,440,352,367,342,382,388,461,442,578,519,584,600,505,456,435,479,471,479,578,634,515,587,457,517,270,375,187,403,6923,
132098,2001,町田市,2018/1/1,旭町１丁目,1782,914,868,39,34,33,28,36,27,31,35,53,60,69,75,81,59,69,60,76,63,66,69,78,54,64,56,49,40,57,60,49,43,30,43,18,29,16,33,951,
132098,2002,町田市,2018/1/1,旭町２丁目,1045,543,502,25,23,18,19,18,7,18,18,22,17,25,31,46,34,54,30,40,38,45,33,40,33,30,30,20,23,41,39,36,30,25,37,23,28,17,32,519,
132098,2003,町田市,2018/1/1,旭町３丁目,2133,1084,1049,35,38,40,33,47,36,40,58,98,49,86,52,70,51,59,63,88,79,82,79,90,80,51,60,60,55,61,74,44,67,64,77,37,52,32,46,1032,
132098,3000,町田市,2018/1/1,大蔵町,9048,4532,4516,199,167,250,215,232,246,239,267,282,307,255,249,274,253,325,325,422,363,441,394,341,298,248,253,228,210,241,253,215,261,154,188,116,120,70,147,3992,
132098,4001,町田市,2018/1/1,小川１丁目,2636,1285,1351,60,50,63,57,77,69,82,87,59,51,31,39,53,58,67,77,113,122,133,149,123,112,71,72,65,59,81,100,71,79,71,75,40,49,25,46,1071,
132098,4002,町田市,2018/1/1,小川２丁目,2592,1259,1333,55,57,64,61,55,48,68,52,70,62,60,64,71,76,86,102,115,93,114,107,91,104,75,71,54,46,70,100,72,108,80,77,39,51,20,54,1113,
132098,4003,町田市,2018/1/1,小川３丁目,1218,611,607,24,15,15,18,24,21,30,26,40,38,30,22,33,28,39,34,40,42,51,41,44,47,38,39,33,32,38,56,50,58,41,44,29,20,12,26,544,
132098,4004,町田市,2018/1/1,小川４丁目,1307,647,660,13,17,26,22,24,25,35,35,37,29,33,19,27,35,35,32,42,46,53,50,45,40,39,44,34,31,43,71,55,58,56,55,27,30,23,21,586,
132098,4005,町田市,2018/1/1,小川５丁目,2015,980,1035,24,33,26,42,68,71,105,106,76,71,45,26,28,35,38,43,66,94,131,135,106,99,70,62,49,39,33,41,39,44,38,49,29,23,9,22,766,
132098,4006,町田市,2018/1/1,小川６丁目,2845,1433,1412,149,148,77,67,68,65,92,90,67,60,83,79,139,163,147,123,120,123,145,127,102,105,78,58,46,51,40,53,36,40,24,28,12,17,8,15,1083,
132098,4007,町田市,2018/1/1,小川７丁目,962,491,471,38,25,57,56,49,39,26,27,11,8,19,17,15,26,62,57,69,70,49,62,36,27,18,8,10,11,7,9,13,9,9,8,2,5,1,7,347,
132098,5000,町田市,2018/1/1,小野路町,3926,2023,1903,38,44,49,61,70,79,119,78,165,76,97,72,102,65,129,101,142,107,158,119,155,122,125,97,128,109,154,144,113,114,95,145,80,134,104,236,2058,
132098,6000,町田市,2018/1/1,小山町,18298,9266,9032,468,410,603,578,645,604,536,501,426,452,476,431,512,484,650,641,903,881,946,848,616,503,449,407,438,451,495,535,443,481,363,365,184,253,113,207,7364,
132098,7000,町田市,2018/1/1,金井町,8193,4047,4146,156,133,184,196,200,177,207,191,218,189,165,177,232,203,263,243,319,318,326,327,305,287,234,239,214,247,288,338,278,277,230,279,151,167,77,158,3641,
132098,8001,町田市,2018/1/1,金森１丁目,2783,1354,1429,27,30,37,38,47,51,65,65,90,87,85,63,73,51,81,67,98,91,107,120,106,103,97,79,82,101,100,97,71,104,78,88,53,94,57,100,1396,
132098,8002,町田市,2018/1/1,金森２丁目,3189,1552,1637,69,52,67,54,81,79,115,86,74,85,80,72,69,83,94,83,119,129,139,158,119,119,94,86,77,85,85,102,87,89,76,102,65,91,42,82,1376,
132098,8003,町田市,2018/1/1,金森３丁目,1721,845,876,26,45,44,41,45,43,46,42,46,46,32,28,35,35,47,44,92,73,77,73,44,55,43,38,42,42,51,56,65,74,46,60,40,49,24,32,739,
132098,8004,町田市,2018/1/1,金森４丁目,2213,1064,1149,37,31,49,51,56,58,60,51,50,47,52,35,50,50,46,58,78,80,86,82,69,75,64,58,54,49,63,85,80,74,62,109,65,94,43,62,1054,
132098,8005,町田市,2018/1/1,金森５丁目,602,298,304,10,11,9,10,14,11,13,21,16,12,21,15,22,14,19,15,18,18,22,26,26,20,16,14,18,31,31,29,17,24,16,6,6,8,4,19,270,
132098,8006,町田市,2018/1/1,金森６丁目,2063,1013,1050,47,67,72,73,61,56,51,68,50,47,37,34,59,62,72,75,77,84,95,77,86,67,53,61,59,45,60,68,39,55,34,44,36,33,25,34,762,
132098,8007,町田市,2018/1/1,金森７丁目,2062,925,1137,29,28,40,25,49,43,64,59,54,67,44,40,54,56,44,48,69,63,68,85,60,82,52,72,42,53,54,84,61,95,64,89,52,87,25,61,1003,
