都道府県コード又は市区町村コード,地域コード,地方公共団体名,調査年月日,地域名,地域コード,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
132098,0,町田市,2022/1/1,全域,0,430385,210497,219888,7238,6791,8976,8442,10038,9680,10992,10431,11998,11506,10114,9724,10336,9666,12137,11761,14299,14084,18104,17752,19135,18232,14587,13869,11618,11884,11069,11941,13674,16250,10375,13537,8769,11661,7038,12677,202985,
132098,1000,町田市,2022/1/1,相原町,1000,14823,7199,7624,233,208,277,269,295,313,336,338,405,389,326,289,342,345,415,410,472,462,569,512,591,595,478,428,403,445,459,518,569,642,438,550,365,435,226,476,7023,
132098,2001,町田市,2022/1/1,旭町１丁目,2001,1792,891,901,24,31,40,33,26,33,43,27,57,61,62,53,64,60,77,69,63,64,68,69,70,70,63,54,55,46,49,41,50,63,41,38,21,41,18,48,996,
132098,2002,町田市,2022/1/1,旭町２丁目,2002,1011,525,486,16,16,14,26,24,14,26,13,18,21,43,21,27,24,49,30,46,31,45,36,44,39,25,38,28,25,22,23,30,37,24,30,23,28,21,34,510,
132098,2003,町田市,2022/1/1,旭町３丁目,2003,2097,1074,1023,35,27,45,30,43,37,48,48,85,66,72,41,61,46,67,51,68,66,83,74,74,89,92,77,51,57,55,53,57,73,52,57,41,70,45,61,1037,
132098,3000,町田市,2022/1/1,大蔵町,3000,9270,4629,4641,181,156,199,177,251,246,233,277,275,322,286,262,285,249,282,282,336,337,418,383,454,383,297,270,255,247,217,208,240,285,186,228,123,169,111,160,4253,
132098,4001,町田市,2022/1/1,小川１丁目,4001,2758,1347,1411,45,51,56,52,65,63,81,70,79,91,67,56,53,60,76,77,73,88,130,137,126,151,122,93,71,64,58,65,78,102,65,78,60,60,42,53,1186,
132098,4002,町田市,2022/1/1,小川２丁目,4002,2675,1312,1363,43,49,57,47,52,52,71,62,70,70,84,79,86,79,82,70,90,107,124,103,113,114,82,100,70,55,60,51,75,114,61,83,62,75,30,53,1228,
132098,4003,町田市,2022/1/1,小川３丁目,4003,1210,595,615,27,20,29,16,22,24,20,23,32,29,30,35,18,25,40,28,38,39,52,51,47,38,36,40,38,37,24,37,48,52,44,57,32,37,18,27,547,
132098,4004,町田市,2022/1/1,小川４丁目,4004,1302,629,673,22,19,18,22,24,20,26,28,45,35,32,39,28,18,18,36,36,34,46,51,53,55,40,36,38,39,36,32,44,72,48,53,44,44,31,40,613,
