"年度[西暦]","緑地数","面積[平方メートル]"
"2015","37","74851.88"
"2016","38","75074.74"
"2017","40","77896.74"
"2018","40","78007.21"
"2019","40","79327.80"

"令和元年度港区行政資料集　緑地数及び面積","Ver201904",
