年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成27,2015,,,31268972,31231517,6326645,6310755,117053,354054,401774,156771,175294,33087,18648,18948,15176
平成28,2016,,,32453768,32481295,7535889,7506839,132011,350090,380687,194460,225555,33281,18394,19470,15993
平成29,2017,,,34187100,34218189,8382572,8347678,164762,349079,394463,249751,291388,32641,19918,20817,20297
平成30,2018,,,33430912,33493850,8895477,8890255,183248,324058,359554,281121,306410,32300,18227,22167,21147
平成31･令和元,2019,,,34193428,34189383,9169929,9169388,198165,307426,338006,259987,300257,32908,16815,18507,20610
平成31,2019,1,Jan.,2484632,2758997,719329,737155,25957,21879,25458,19533,23390,2635,1401,1518,1827
平成31,2019,2,Feb.,2565968,2521604,713233,671739,16383,21835,25382,18374,19067,2431,1328,1400,1456
平成31,2019,3,Mar.,2965171,2988192,795564,853332,10889,27616,31040,21850,25868,2972,1516,1595,1748
平成31,2019,4,Apr.,2691960,2535676,806978,729527,9944,24832,28048,20597,23607,2683,1398,1497,1563
令和元,2019,5,May,2776375,2940744,711356,788353,19390,22601,25928,19129,25623,2661,1356,1467,1701
令和元,2019,6,June,2710198,2686315,757652,754663,25757,23787,25991,20271,24008,2827,1391,1467,1563
令和元,2019,7,July,2933338,2867535,791539,783321,22657,26707,30704,23285,24936,2599,1325,1598,1297
令和元,2019,8,Aug.,3263568,3306769,828822,803349,14964,26005,27641,22329,25335,2541,1241,1375,1498
令和元,2019,9,Sept.,2957970,3023428,718511,764755,11743,26936,27653,23304,26691,2491,1247,1480,1686
令和元,2019,10,Oct.,2902153,2894994,764999,761453,10803,26718,27524,23262,26683,2927,1402,1511,1804
令和元,2019,11,Nov.,2999561,3006626,776751,766487,10657,27186,28099,24366,29234,2878,1453,1654,2252
令和元,2019,12,Dec.,2942534,2658503,785195,755254,19021,31324,34538,23687,25815,3262,1759,1945,2217
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (1)　東京国際空港 (羽田) (平成27～平成31･令和元年) 4-23 TRANSPORTATION BY ＡIR (1) TOKYO INTERNATIONAL AIRPORT ( HANEDA ) ( 2015-2019 ),,,,,,,,,,,,,,,,
資料：国土交通省「空港管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
