年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,自動車税環境性能割交付金 d),地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成29,2017,13100,,区部,All ku,3804572,1055051,14477,3983,32983,236248,38,7738,…,4682,976299,926,39556,89434,16436,659211,267741,32392,3968,140840,106906,70392,45271
平成30,2018,13100,,区部,All ku,3884864,1086373,14579,4276,25922,201544,38,8121,…,5379,1068163,868,43717,89554,16768,642270,278972,14990,3639,147959,122864,68032,40839
令和元,2019,13100,,区部,All ku,4071061,1125176,14801,3250,26197,192900,34,4084,1443,23665,1099226,864,41171,90158,16761,699868,312275,23358,4831,148970,122908,75573,43548
令和元,2019,13101,1,千代田区,Chiyoda-ku,59296,21649,302,51,412,9222,-,90,32,241,6413,19,833,5811,572,3780,3686,752,133,1992,1759,1546,-
令和元,2019,13102,2,中央区,Chuo-ku,101114,31883,384,82,663,8104,-,115,41,613,16500,24,883,6808,862,10806,6339,1217,116,5151,3352,4287,2884
令和元,2019,13103,3,港区,Minato-ku,158893,86173,447,236,1910,11513,-,133,47,721,4403,36,1108,8805,767,14413,9435,529,110,5569,4646,7889,-
令和元,2019,13104,4,新宿区,Shinjuku-ku,149717,49902,489,137,1111,10174,-,143,51,725,29467,32,1829,4161,921,28962,11672,1364,71,66,4580,3041,819
令和元,2019,13105,5,文京区,Bunkyo-ku,116968,34898,275,105,850,4853,-,80,28,610,22316,15,1363,2034,466,17294,10291,732,239,12401,6050,1859,209
令和元,2019,13106,6,台東区,Taito-ku,108168,23099,334,60,484,4720,-,99,35,447,30969,24,777,2543,679,21503,7984,525,82,4654,3895,3271,1986
令和元,2019,13107,7,墨田区,Sumida-ku,125719,25607,365,71,577,4979,-,107,38,754,44252,22,1467,2472,513,24046,9704,337,508,2707,3303,1376,2513
令和元,2019,13108,8,江東区,Koto-ku,202814,54350,692,155,1253,9905,22,205,72,1609,64399,41,3374,2881,826,33963,15653,235,236,4956,5163,2277,547
令和元,2019,13109,9,品川区,Shinagawa-ku,183780,51273,545,146,1175,8659,-,160,56,1106,43911,29,2204,4625,664,26566,15018,996,2358,14899,5188,4201,-
令和元,2019,13110,10,目黒区,Meguro-ku,108540,47086,373,140,1129,4969,-,109,39,615,18292,24,1451,2257,475,13931,10397,472,92,449,4033,958,1250
令和元,2019,13111,11,大田区,Ota-ku,280208,77474,1933,230,1841,12921,-,302,107,1520,76357,62,3295,6852,1088,50049,21800,741,53,14841,3725,4584,433
令和元,2019,13112,12,世田谷区,Setagaya-ku,329630,126420,1292,386,3109,14799,-,379,134,1995,56526,83,2945,5793,1377,53026,26440,4330,153,309,11282,9333,9517
令和元,2019,13113,13,渋谷区,Shibuya-ku,109179,55062,407,155,1256,7147,-,120,42,470,6562,24,902,3952,757,11751,6980,1170,63,-,10542,1816,-
令和元,2019,13114,14,中野区,Nakano-ku,149801,34734,427,105,848,5564,-,124,44,588,38469,23,1018,1650,566,26881,12541,238,19,20046,4979,935,-
令和元,2019,13115,15,杉並区,Suginami-ku,205368,66761,757,205,1653,9189,-,221,78,1287,48469,47,1928,4022,822,30909,16867,778,70,5727,8139,2121,5317
令和元,2019,13116,16,豊島区,Toshima-ku,146263,34079,434,95,763,6268,-,127,45,609,33734,25,1459,2675,631,22808,11040,4432,151,16437,1038,3905,5508
令和元,2019,13117,17,北区,Kita-ku,155363,30219,464,88,715,5854,7,136,48,1033,55508,23,1749,2648,564,28436,10865,1061,11,6479,2377,4042,3037
令和元,2019,13118,18,荒川区,Arakawa-ku,100850,18010,279,51,414,3616,-,82,29,703,40693,18,1258,1528,356,18505,7597,257,20,652,2832,2358,1591
令和元,2019,13119,19,板橋区,Itabashi-ku,225646,47919,796,139,1123,9478,3,234,83,1352,75825,49,3058,3734,846,48272,16410,245,22,7680,4607,2392,1379
令和元,2019,13120,20,練馬区,Nerima-ku,270678,67494,1031,208,1668,11544,-,302,107,1928,92906,64,1670,4177,921,50742,23084,1361,102,859,3210,2926,4373
令和元,2019,13121,21,足立区,Adachi-ku,294722,50555,1033,142,1141,11157,2,305,108,1705,112851,70,2433,4393,775,66634,23006,559,29,10004,5192,2406,223
令和元,2019,13122,22,葛飾区,Katsushika-ku,209900,35118,687,100,805,7268,-,202,72,1366,80057,41,1689,2512,527,40735,15922,411,52,6136,10147,4273,1782
令和元,2019,13123,23,江戸川区,Edogawa-ku,278444,55410,1052,161,1295,10995,-,310,109,1667,100345,69,2477,3827,788,55857,19542,615,142,6956,12868,3778,180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成29～令和元年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,
