1,"東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　6  電気・上下水道 6  ELECTRICITY, WATERWORKS, AND SEWERAGE",,,,,,,,,,,,,,,,,,,,
2,,,,,6-5  工業用水道の業種・用途別基本水量（平成29～令和元年度末） 6-5  BASIC INDUSTRIAL WATER SUPPLY BY TYPE OF INDUSTRY AND WATER USE ( End of Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,,
3,,,,,注 1) 集合住宅は含まない。,,,,,,,,,,,,,,,,
4,,,,,Note: 1) Excluding collective housing.,,,,,,,,,,,,,,,,
5,,,,,"資料：都水道局総務部企画調整課 Source: Bureau of Waterworks, TMG ",,,,,,,,,,,,,,,,
6,,,,,（単位　立方メ－トル／日）(In cubic meters per day),,,,,,,,,,,,,,,,
7,年度末,End of fiscal year,業種,Type of industry,工業用水 Industrial use／給水件数 № of customers,工業用水 Industrial use／基本水量 Basic water supply,工業用水 Industrial use／用途別 Use of water／冷却For cooling,工業用水 Industrial use／用途別 Use of water／洗浄 For washing,工業用水 Industrial use／用途別 Use of water／製品処理 For product treatment,工業用水 Industrial use／用途別 Use of water／原料 For materials,工業用水 Industrial use／用途別 Use of water／温調 For heat adjustment,工業用水 Industrial use／用途別 Use of water／ボイラー For boilers,工業用水 Industrial use／用途別 Use of water／その他 Others,一般雑用水 General miscellaneous use 1)／給水件数 № of customers,一般雑用水 General miscellaneous use 1)／基本水量 Basic water supply,一般雑用水 General miscellaneous use 1)／用途別 Use of water／冷却 For cooling,一般雑用水 General miscellaneous use 1)／用途別 Use of water／洗浄 For washing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／洗車 For car washing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／散水 For watering,一般雑用水 General miscellaneous use 1)／用途別 Use of water／水洗トイレ For toilet flushing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／その他 Others
8,平成29,2017,総数,Total,181,18756,6146,6303,1397,2148,273,1175,1314,298,12610,1168,790,902,862,6445,2443
9,平成30,2018,総数,Total,181,18790,6100,6413,1367,2092,318,1175,1325,294,12412,1168,792,899,847,6332,2374
10,令和元,2019,総数,Total,125,16748,5596,5714,1157,1939,261,1025,1056,220,10866,1081,604,550,775,5482,2374
11,令和元,2019,化学,Chemicals,18,2390,541,359,43,520,110,395,422,,,,,,,,
12,令和元,2019,鉄鋼,Iron and steel,5,3313,2940,240,-,-,-,78,55,,,,,,,,
13,令和元,2019,金属,Metalworking,6,195,80,89,9,-,8,3,6,,,,,,,,
14,令和元,2019,鍍金,Plating,11,225,35,152,35,-,-,-,3,,,,,,,,
15,令和元,2019,食品,Food,14,5422,1073,3352,378,129,114,116,260,,,,,,,,
16,令和元,2019,ゴム,Rubber,3,75,70,-,-,-,-,-,5,,,,,,,,
17,令和元,2019,皮革,Leather,30,1050,29,783,135,42,6,55,-,,,,,,,,
18,令和元,2019,製紙,Paper manufacturing ,1,60,12,12,-,-,8,23,5,,,,,,,,
19,令和元,2019,繊維,Textiles,1,20,10,5,5,-,-,-,-,,,,,,,,
20,令和元,2019,染色,Dyeing,6,512,-,179,304,1,-,28,-,,,,,,,,
21,令和元,2019,窯業,Ceramics,12,1038,257,64,8,709,-,-,-,,,,,,,,
22,令和元,2019,印刷,Printing,7,1432,420,160,232,35,5,280,300,,,,,,,,
23,令和元,2019,ガス,Gas,-,-,-,-,-,-,-,-,-,,,,,,,,
24,令和元,2019,その他,Others,11,1016,129,319,8,503,10,47,-,,,,,,,,
