項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,173582,52373,41978,19547,15123,12441,9519,7810,4329,3075,7035,352,71108,63031,6464,1093,520
,区部,All ku,,,,147673,43075,33463,17090,13472,11177,8823,7130,3830,2841,6430,342,60773,53406,5843,1025,499
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,197,15,13,6,4,10,21,15,11,4,72,26,246,67,56,38,85
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,2034,202,315,306,255,264,255,176,54,47,148,12,1305,944,270,56,35
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4825,507,882,737,629,667,614,361,100,125,198,5,2321,1974,296,41,10
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3616,275,477,426,443,514,538,410,146,164,218,5,2197,1659,428,70,40
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3789,310,552,511,496,488,491,405,179,155,197,5,1832,1518,220,64,30
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,653,112,96,59,56,106,38,42,17,33,64,30,209,159,35,7,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,3955,458,621,470,443,490,525,321,152,126,303,46,2090,1680,294,76,40
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2509,580,508,316,283,246,189,112,72,57,138,8,1789,1524,216,32,17
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1988,416,379,255,202,206,190,136,60,36,95,13,1662,1352,235,58,17
