年次,Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
平成27,2015,総数,Total,,,655,1238,428,3,3,1,652,1235,427,
平成28,2016,総数,Total,,,668,1212,394,1,4,-,667,1208,394,
平成29,2017,総数,Total,,,659,1182,398,2,4,-,657,1178,398,
平成30,2018,総数,Total,,,645,1219,369,1,3,1,644,1216,368,
平成31･令和元,2019,総数,Total,,,576,1149,372,1,-,-,575,1149,372,
平成31･令和元,2019,歩行者の場合,Pedestrians,,,163,421,57,-,-,-,163,421,57,
平成31･令和元,2019,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,1,15,1,-,-,-,1,15,1,
平成31･令和元,2019,歩行者の場合,Pedestrians,通行区分違反,Lane violation ,-,1,-,-,-,-,-,1,-,
平成31･令和元,2019,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,3,7,3,-,-,-,3,7,3,
平成31･令和元,2019,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,1,6,2,-,-,-,1,6,2,
平成31･令和元,2019,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,2,7,-,-,-,-,2,7,-,
平成31･令和元,2019,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,1,3,1,-,-,-,1,3,1,
平成31･令和元,2019,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places,-,5,1,-,-,-,-,5,1,
平成31･令和元,2019,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,12,-,-,-,-,-,12,-,-,
平成31･令和元,2019,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings,-,-,-,-,-,-,-,-,-,
平成31･令和元,2019,歩行者の場合,Pedestrians,路上遊戯,Playing on road,2,2,-,-,-,-,2,2,-,
平成31･令和元,2019,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,22,65,5,-,-,-,22,65,5,
平成31･令和元,2019,歩行者の場合,Pedestrians,その他の違反,Other violations,-,2,-,-,-,-,-,2,-,
平成31･令和元,2019,歩行者の場合,Pedestrians,調査不能,Cause undetermined,3,5,1,-,-,-,3,5,1,
平成31･令和元,2019,歩行者の場合,Pedestrians,違反なし,No violation,103,292,38,-,-,-,103,292,38,
平成31･令和元,2019,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,13,11,5,-,-,-,13,11,5,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,,,270,549,246,1,-,-,269,549,246,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals,1,6,4,-,-,-,1,6,4,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation ,-,1,1,-,-,-,-,1,1,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns,-,-,-,-,-,-,-,-,-,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation,-,-,-,-,-,-,-,-,-,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,-,34,33,-,-,-,-,34,33,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation,-,-,-,-,-,-,-,-,-,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,2,58,25,-,-,-,2,58,25,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,12,133,66,-,-,-,12,133,66,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations,-,2,1,-,-,-,-,2,1,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined,-,2,4,-,-,-,-,2,4,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,違反なし,No violation,12,261,110,-,-,-,12,261,110,
平成31･令和元,2019,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,243,52,2,1,-,-,242,52,2,
平成31･令和元,2019,その他,Others,,,143,179,69,-,-,-,143,179,69,
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,　
20-15  子供の交通事故死傷者数 （平成27～平成31･令和元年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2015-2019 ),,,,,,,,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,
