年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成27,2015,0,13000,総数,Tokyo-to,11,58,33,26915097,2453386,24461711,132833,391026,15962,11073
平成28,2016,0,13000,総数,Tokyo-to,11,58,33,27038163,2476659,24561504,132993,396081,16034,11197
平成29,2017,0,13000,総数,Tokyo-to,11,58,33,27124951,2494219,24630733,133052,396584,16120,11326
平成30,2018,0,13000,総数,Tokyo-to,11,59,33,27195414,2504278,24691136,133157,399750,16107,11331
令和元,2019,0,13000,総数,Tokyo-to,11,59,33,27264618,2516384,24748234,133308,403706,16172,11441
令和元,2019,1,13100,区部,All ku,5,24,21,16683929,1695007,14988923,90713,260698,9427,7598
令和元,2019,2,13101,千代田区,Chiyoda-ku,-,-,1,289979,46686,243293,1559,4285,318,216
令和元,2019,2,13102,中央区,Chuo-ku,-,1,-,317022,39546,277476,1850,6033,346,386
令和元,2019,2,13103,港区,Minato-ku,-,1,1,433345,67022,366323,2597,6647,386,335
令和元,2019,2,13104,新宿区,Shinjuku-ku,-,1,1,555586,66622,488965,3679,8173,335,274
令和元,2019,2,13105,文京区,Bunkyo-ku,-,1,1,321351,41698,279653,1930,5020,264,208
令和元,2019,2,13106,台東区,Taito-ku,-,-,-,413523,34003,379521,2415,7511,234,211
令和元,2019,2,13107,墨田区,Sumida-ku,-,-,1,507880,56149,451731,2877,8691,373,318
令和元,2019,2,13108,江東区,Koto-ku,-,4,1,758447,107232,651215,3809,10770,691,582
令和元,2019,2,13109,品川区,Shinagawa-ku,-,-,1,592114,58489,533625,2868,8896,333,352
令和元,2019,2,13110,目黒区,Meguro-ku,-,1,1,453405,38159,415247,2435,7631,186,211
令和元,2019,2,13111,大田区,Ota-ku,-,2,1,1187821,117107,1070714,6257,19948,686,691
令和元,2019,2,13112,世田谷区,Setagaya-ku,2,3,1,1646795,167780,1479016,9080,24317,820,705
令和元,2019,2,13113,渋谷区,Shibuya-ku,-,-,1,399915,39536,360379,2283,6714,209,144
令和元,2019,2,13114,中野区,Nakano-ku,-,-,1,556895,48905,507990,2792,8579,300,181
令和元,2019,2,13115,杉並区,Suginami-ku,1,1,1,1095087,112143,982944,5500,15379,578,364
令和元,2019,2,13116,豊島区,Toshima-ku,-,-,1,476605,45560,431045,2504,7846,244,239
令和元,2019,2,13117,北区,Kita-ku,-,-,1,564076,51506,512569,3011,8643,303,235
令和元,2019,2,13118,荒川区,Arakawa-ku,-,1,1,328881,28813,300068,2083,6028,195,97
令和元,2019,2,13119,板橋区,Itabashi-ku,1,2,1,858817,97148,761669,4986,13004,466,328
令和元,2019,2,13120,練馬区,Nerima-ku,-,1,1,1312929,108295,1204634,7327,19262,478,338
令和元,2019,2,13121,足立区,Adachi-ku,-,2,1,1429422,124708,1304715,7356,21813,599,427
令和元,2019,2,13122,葛飾区,Katsushika-ku,1,1,1,939323,101875,837448,4808,14603,537,334
令和元,2019,2,13123,江戸川区,Edogawa-ku,-,2,1,1244712,96027,1148685,6707,20905,546,422
令和元,2019,1,,市郡部,shi and gun,3,35,12,10569867,810673,9759194,42594,142991,6716,3823
令和元,2019,2,13201,八王子市,Hachioji-shi,-,14,1,1647415,110293,1537122,6134,22315,1063,484
令和元,2019,2,13202,立川市,Tachikawa-shi,-,-,1,413935,36389,377546,2053,5648,188,115
令和元,2019,2,13204,三鷹市,Mitaka-shi,-,-,-,360606,22000,338606,1655,5438,97,71
令和元,2019,2,13205,青梅市,Ome-shi,-,3,1,598878,30822,568056,3563,7384,560,186
令和元,2019,2,13206,府中市,Fuchu-shi,-,-,1,598525,54598,543927,3035,8684,221,218
令和元,2019,2,13208,調布市,Chofu-shi,-,1,1,426005,20205,405800,1878,7053,137,74
令和元,2019,2,13209,町田市,Machida-shi,-,1,1,1305457,145862,1159596,3919,16135,911,524
令和元,2019,2,13210,小金井市,Koganei-shi,-,-,-,239486,16425,223061,1146,3259,98,109
令和元,2019,2,13211,小平市,Kodaira-shi,-,-,1,420457,29496,390961,1515,5066,175,90
