年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area
平成28,2016,0,13000,,総数,Tokyo-to,24522639,187047726,18361686,169218870,323193,12964269,1019528,28472686,6251788,68580038,10767177,59201877,6160953,17828856,58382,594590,424812,2083669,5677759,15150597
平成29,2017,0,13000,,総数,Tokyo-to,24557683,187626292,18434055,169867818,321386,12916029,1023368,28597839,6281109,68897682,10808192,59456268,6123628,17758474,58175,592916,425025,2086447,5640428,15079111
平成30,2018,0,13000,,総数,Tokyo-to,24622612,188402007,18566095,170827557,319358,12838281,1026316,28725240,6281403,68816380,10939018,60447656,6056517,17574450,58032,586681,446645,2162641,5551840,14825128
平成31,2019,0,13000,,総数,Tokyo-to,24647916,188847170,18615840,171333075,319819,12873358,1026887,28726196,6295371,69037111,10973763,60696410,6032076,17514095,57988,586589,445672,2160330,5528416,14767176
令和2,2020,0,13000,,総数,Tokyo-to,24711739,189590795,18715869,172256375,318372,12845681,1031989,28868746,6318318,69347598,11047190,61194350,5995870,17334420,57006,577841,439127,2106418,5499737,14650161
令和2,2020,1,13100,,区部,All ku,11985125,103845450,10350058,97801118,292419,11704572,768905,19939182,3904508,38304913,5384226,27852451,1635067,6044332,24953,303134,220370,995269,1389744,4745929
令和2,2020,2,13101,1,千代田区,Chiyoda-ku,175573,2788217,175573,2788217,19575,798552,34144,898315,69071,801497,52783,289853,-,-,-,-,-,-,-,-
令和2,2020,2,13102,2,中央区,Chuo-ku,193346,2971096,185365,2930006,14519,582336,31564,933077,99647,1177016,39635,237577,7981,41090,999,13636,481,6641,6501,20813
令和2,2020,2,13103,3,港区,Minato-ku,303319,4428381,284578,4366926,28385,1187001,53851,1423922,87027,1106265,115315,649738,18741,61455,110,815,50,208,18581,60432
令和2,2020,2,13104,4,新宿区,Shinjuku-ku,356805,3407360,356805,3407360,11711,404645,35843,987528,79960,954577,229291,1060610,-,-,-,-,-,-,-,-
令和2,2020,2,13105,5,文京区,Bunkyo-ku,207455,1954563,114383,1555439,6147,239455,18617,466322,41595,552338,48024,297324,93072,399124,-,-,15640,90230,77432,308894
令和2,2020,2,13106,6,台東区,Taito-ku,258517,2626006,217505,2476707,7937,308547,25646,655268,84883,913637,99039,599255,41012,149299,-,-,-,-,41012,149299
令和2,2020,2,13107,7,墨田区,Sumida-ku,296988,2959572,296882,2959354,3257,119318,35817,878850,109583,1241701,148225,719485,106,218,-,-,-,-,106,218
令和2,2020,2,13108,8,江東区,Koto-ku,395914,5743840,394837,5739246,38847,1589056,69198,1772845,175153,1663771,111639,713574,1077,4594,-,-,809,3684,268,910
令和2,2020,2,13109,9,品川区,Shinagawa-ku,390299,3889602,225017,3214385,18108,773348,44184,1073988,138583,1199382,24142,167667,165282,675217,26,338,128621,566541,36635,108338
令和2,2020,2,13110,10,目黒区,Meguro-ku,359250,2306930,294252,2117105,2824,104863,15942,464677,135612,997937,139874,549628,64998,189825,140,3459,2809,13821,62049,172545
令和2,2020,2,13111,11,大田区,Ota-ku,854088,7588548,803978,7440838,32615,1130237,47997,1257993,264582,2456688,458784,2595920,50110,147710,-,-,232,1318,49878,146392
令和2,2020,2,13112,12,世田谷区,Setagaya-ku,1186637,8258741,949143,7448674,16040,611637,28181,671471,222224,2362697,682698,3802869,237494,810067,70,578,2363,11995,235061,797494
