年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成29,2017,13200,,市部,All shi,1528908,10220,187372,754717,118117,6226,3297,9627,133165,52651,169780,282,83363,90
平成30,2018,13200,,市部,All shi,1540707,10063,170891,762963,126192,6308,3267,9139,135807,51339,178738,971,84943,86
令和元,2019,13200,,市部,All shi,1582383,10148,176382,786578,127907,6404,3437,12362,135018,52905,187870,2018,81266,88
令和元,2019,13201,1,八王子市,Hachioji-shi,205650,717,18470,101113,18519,466,417,2107,19766,6780,24422,870,12003,-
令和元,2019,13202,2,立川市,Tachikawa-shi,75637,459,8590,38480,5340,587,197,373,5180,2101,10632,16,3682,-
令和元,2019,13203,3,武蔵野市,Musashino-shi,68465,459,9186,30011,7047,254,74,517,7432,2143,9673,-,1670,-
令和元,2019,13204,4,三鷹市,Mitaka-shi,71926,493,8490,36992,3599,157,188,511,6060,2199,7981,9,5159,88
令和元,2019,13205,5,青梅市,Ome-shi,51015,407,5668,25486,4743,11,361,420,3612,1716,5253,280,3058,-
令和元,2019,13206,6,府中市,Fuchu-shi,102998,527,15093,51234,6231,590,160,690,7915,2936,13435,124,4063,-
令和元,2019,13207,7,昭島市,Akishima-shi,45183,336,5692,21461,3654,371,45,280,2168,1651,7352,48,2125,-
令和元,2019,13208,8,調布市,Chofu-shi,92992,499,12998,46446,5149,314,113,816,10910,2803,9482,69,3394,-
令和元,2019,13209,9,町田市,Machida-shi,154324,679,14120,76558,14724,338,338,1758,13994,4961,19797,131,6925,-
令和元,2019,13210,10,小金井市,Koganei-shi,44760,366,5528,21778,4420,280,35,368,4481,1487,3641,-,2375,-
令和元,2019,13211,11,小平市,Kodaira-shi,65568,452,6585,34573,5570,210,203,260,4533,2281,7401,6,3493,-
令和元,2019,13212,12,日野市,Hino-shi,71606,401,7770,33186,8608,275,128,801,7781,2244,7127,47,3238,-
令和元,2019,13213,13,東村山市,Higashimurayama-shi,54840,351,4838,29058,3684,395,150,121,5018,1808,5404,18,3996,-
令和元,2019,13214,14,国分寺市,Kokubunji-shi,47125,308,4730,21775,4159,182,79,299,6426,1555,5681,10,1920,-
令和元,2019,13215,15,国立市,Kunitachi-shi,30285,299,2786,15609,1891,167,58,232,3430,1148,3059,53,1551,-
令和元,2019,13218,16,福生市,Fussa-shi,24679,269,2743,12022,2288,227,50,235,1859,882,3333,12,758,-
令和元,2019,13219,17,狛江市,Komae-shi,28876,306,2890,15494,1947,77,38,187,1963,1129,3045,-,1797,-
令和元,2019,13220,18,東大和市,Higashiyamato-shi,31934,292,4092,17344,2272,38,54,245,1650,1405,2874,50,1618,-
令和元,2019,13221,19,清瀬市,Kiyose-shi,30980,290,4758,16400,1752,120,58,131,1226,994,3360,15,1877,-
令和元,2019,13222,20,東久留米市,Higashikurume-shi,42329,308,4953,22382,3033,200,69,71,2527,1580,4935,-,2270,-
令和元,2019,13223,21,武蔵村山市,Musashimurayama-shi,28166,265,3027,14980,2033,55,41,276,2274,1025,2946,0,1244,-
令和元,2019,13224,22,多摩市,Tama-shi,55962,383,7012,26816,4299,299,60,322,3441,2042,9203,35,2050,-
令和元,2019,13225,23,稲城市,Inagi-shi,33006,307,2975,15035,2879,103,70,368,3217,1184,4860,65,1942,-
令和元,2019,13227,24,羽村市,Hamura-shi,22486,246,2629,10615,1956,140,35,326,2275,852,2390,25,998,-
令和元,2019,13228,25,あきる野市,Akiruno-shi,30812,277,2777,13461,3178,185,293,445,3000,1669,2896,135,2495,-
令和元,2019,13229,26,西東京市,Nishitokyo-shi,70781,449,7981,38269,4933,363,122,204,2880,2329,7688,-,5563,-
平成29,2017,13300,,郡部,All gun,33512,465,5286,10600,3106,334,1748,776,5338,1382,3091,5,1382,-
平成30,2018,13300,,郡部,All gun,33937,465,5928,10489,3022,333,1713,922,5261,1431,2978,55,1338,-
令和元,2019,13300,,郡部,All gun,36779,461,8026,11108,2976,362,1711,766,4959,1700,2964,387,1358,-
令和元,2019,13303,1,瑞穂町,Mizuho-machi,17030,167,4762,5237,1474,144,66,92,2606,665,1320,-,498,-
令和元,2019,13305,2,日の出町,Hinode-machi,9053,129,1485,3797,749,91,170,134,639,354,901,55,549,-
令和元,2019,13307,3,檜原村,Hinohara-mura,3603,71,807,678,250,72,565,87,517,227,204,27,97,-
令和元,2019,13308,4,奥多摩町,Okutama-machi,7093,95,972,1396,503,55,911,452,1198,453,539,305,214,-
平成29,2017,13350,,島部,All islands,38112,411,9355,5599,6550,403,2689,1895,3499,1100,3265,177,2969,201
平成30,2018,13350,,島部,All islands,35716,415,7961,5471,6799,394,2033,1847,3830,1661,2582,37,2517,168
令和元,2019,13350,,島部,All islands,36275,422,7473,5490,5447,416,2216,1913,4082,1391,3735,959,2598,132
令和元,2019,13361,1,大島町,Oshima-machi,9422,77,1489,1432,1068,66,520,499,1216,263,1407,539,826,20
令和元,2019,13362,2,利島村,Toshima-mura,1264,17,349,156,172,33,180,129,40,19,95,31,42,-
令和元,2019,13363,3,新島村,Niijima-mura,4169,52,832,794,318,62,310,291,525,292,286,150,257,-
令和元,2019,13364,4,神津島村,Kouzushima-mura,2802,39,554,423,269,60,196,284,316,56,438,41,127,-
令和元,2019,13381,5,三宅村,Miyake-mura,4117,53,678,484,823,53,208,253,511,324,369,81,242,37
令和元,2019,13382,6,御蔵島村,Mikurajima-mura,1537,15,854,96,102,-,96,70,179,9,58,-,57,-
令和元,2019,13401,7,八丈町,Hachijo-machi,7378,87,967,1336,1282,143,563,213,825,371,743,37,736,75
令和元,2019,13402,8,青ヶ島村,Aogashima-mura,951,19,510,44,107,-,48,16,116,7,66,-,20,-
令和元,2019,13421,9,小笠原村,Ogasawara-mura,4635,62,1241,725,1307,-,94,159,352,50,272,81,291,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成29～令和元年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2017-2019),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
