年次,Year,月次 ,Month,総数 Total,立会市場 Auction Trades／計 Total,立会市場 Auction Trades／普通取引 Regular way,立会市場 Auction Trades／発行日取引 When-issued,立会市場 Auction Trades／立会外分売 Off-floor sell,ToSTNeT市場 ToSTNeT
平成27,2015,総数,Total,620005885,559687618,559671699,-,15591,60318266
平成28,2016,総数,Total,593610396,525501808,525492865,-,8853,68108588
平成29,2017,総数,Total,490384220,434513271,434498737,-,14492,55870949
平成30,2018,総数,Total,406069774,359244889,359200603,-,12062,46824885
平成31･令和元,2019,総数,Total,331759774,288378504,288371301,-,7030,43381270
平成31,2019,1,Jan.,27545866,24112473,24112249,-,80,3433393
平成31,2019,2,Feb.,26997552,23726832,23726080,-,750,3270720
平成31,2019,3,Mar.,28939984,24874196,24873660,-,536,4065787
平成31,2019,4,Apr.,26373106,23195212,23193696,-,1500,3177894
令和元,2019,5,May,30033136,26516291,26515119,-,1172,3516845
令和元,2019,6,June,25072547,22120458,22120318,-,140,2952088
令和元,2019,7,July,25827352,22421012,22421011,-,-,3406339
令和元,2019,8,Aug.,27119512,23843299,23842340,-,959,3276212
令和元,2019,9,Sept.,28196119,24219096,24218511,-,577,3977023
令和元,2019,10,Oct.,29626134,24890456,24890331,-,122,4735677
令和元,2019,11,Nov.,29631599,25555069,25554076,-,992,4076529
令和元,2019,12,Dec.,26396864,22904106,22903906,-,200,3492758
,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (1) 第一部 (平成27～平成31・令和元年) 15-7  SALES VOLUME BY TYPE OF TRADING (1) THE 1st SECTION ( 2015-2019 ）,,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
注) 立会市場の計及びToSTNeT市場には，それぞれの過誤訂正分を含む。,,,,,,,,,
Note: Figures in the ToSTNeT and Auction Trades (total) columns include corrections.,,,,,,,,,
資料：(株)東京証券取引所情報サービス部 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
