年次,Year,月次 ,Month,立会日数 Trading days,上場会社数 (年・月末) Number of listed companies (End of y.& m.),時価総額 (年・月末）(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数 (千株) Daily average trading volume (thousand shares),売買回転率 (%) Turnover ratio (%),東証第二部株価指数平均 TSE Second section stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り(%) Average yield (%)
平成27,2015,総数,Total,244,543,6340105,149921,251.81,4731.85,,1.65
平成27,2015,1~9,Jan. - Sept.,,,,,,,231.6,
平成27,2015,9~12,Sept. - Dec.,,,,,,,2102.7,
平成28,2016,総数,Total,245,531, ,104506,158.47,4415.37,1819.45,1.94
平成29,2017,総数,Total,247,517,10130247,187728,263.14,6217.55,1991.49,1.66
平成30,2018,総数,Total,245,493,7196606,124989,232.63,7216.71,1731.9,1.63
平成31･令和元,2019,総数,Total,241,488,7693510,76383,203.37,6717.52,1320.21,2.05
平成31,2019,1,Jan.,19,492,7452001,52086,11.06,6524.98,1294.45,1.99
平成31,2019,2,Feb.,19,492,7614719,49806,10.56,6738.06,1333.01,1.93
平成31,2019,3,Mar.,20,493,7556517,50494,11.35,6828.26,1338.88,1.92
平成31,2019,4,Apr.,20,491,7511344,52801,11.93,6897.34,1333.98,1.92
令和元,2019,5,May,19,491,7140006,45259,9.64,6699.81,1289.92,2.06
令和元,2019,6,June,20,489,7141392,43961,9.83,6527.25,1279.65,2.16
令和元,2019,7,July,22,486,7103540,106405,26.35,6666.61,1309.77,2.12
令和元,2019,8,Aug.,21,485,6776790,111253,26.01,6385.22,1273.02,2.19
令和元,2019,9,Sept.,19,484,6915619,66757,13.93,6465.04,1279.91,2.17
令和元,2019,10,Oct.,21,486,7198428,82653,19.04,6724.67,1316.79,2.11
令和元,2019,11,Nov.,20,485,7579190,128340,28.17,6907.77,1367.37,2.04
令和元,2019,12,Dec.,21,488,7693510,115199,26.5,7219.39,1420.16,1.96
,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (2) 第二部  (平成27～平成31・令和元年) 15-6  TRANSACTIONS OF STOCK (2) THE 2nd SECTION ( 2015-2019 ）,,,,,,,,,,,
この表については， 数値の単位未満を切り捨てているため （ただし， 平均値は， 四捨五入），合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注 1) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
2) 2015年9月24日から，株価平均等算出上の株価等の取扱いを変更した。(調整基準を1000株から100株へ変更),,,,,,,,,,,
Note: 1) Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
2) On September 24， 2015， the handling of stock prices， etc. for calculation of stock price averages， etc. changed.(The number of shares per Share Unit used in calculation formulas changed from 1，000 to 100 shares.),,,,,,,,,,,
資料：(株)東京証券取引所情報サービス部 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
