年次,Year,委員総会 General committee meetings,公益委員会議 Public utilities commission conferences,委員・あっせん員の会合 Meeting of members and mediators／総数 Total,委員・あっせん員の会合 Meeting of members and mediators／調整 Adjustment,委員・あっせん員の会合 Meeting of members and mediators／不当労働行為 Unfair labor practice,委員・あっせん員の会合 Meeting of members and mediators／資格審査 Examination of qualification,取扱新規件数 Number of new cases／総数Total,取扱新規件数 Number of new cases／調整 Adjustment,取扱新規件数 Number of new cases／不当労働行為 Unfair labor practice,取扱新規件数 Number of new cases／資格審査 Examination of qualification
平成27,2015,25,24,1196,352,844,-,359,87,117,155
平成28,2016,24,24,1154,412,742,-,311,87,97,127
平成29,2017,25,24,1004,287,717,-,323,73,105,145
平成30,2018,24,24,1073,246,827,-,287,60,97,130
平成31･令和元,2019,25,24,1037,204,833,-,275,48,95,132
,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　7  労働 7  LABOR,,,,,,,,,,,
7-6  東京都労働委員会活動状況 (平成27～平成31・令和元年) 7-6  ACTIVITIES OF THE TOKYO LABOR RELATIONS COMMISSION ( 2015-2019 ),,,,,,,,,,,
資料：都労働委員会事務局総務課 Source: Secretariat to Labor Relations Commission， TMG　　　　　,,,,,,,,,,,
