年次,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 G/T,内航商船 Coasters／隻数 Number,内航商船 Coasters／総トン数 G/T,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／総トン数 G/T
平成27,2015,総数,Total,22757,18113590,9569,17335425,13188,778165
平成28,2016,総数,Total,24776,19930909,9814,19531893,14962,399016
平成29,2017,総数,Total,26172,20540350,9824,19878652,16348,661698
平成30,2018,総数,Total,27704,18397023,10470,17874823,17234,522200
平成31･令和元,2019,総数,Total,26997,18850312,10630,17691176,16367,1159136
平成31･令和元,2019,元町港,Motomachi Harbor,1887,1033063,1884,1030937,3,2126
平成31･令和元,2019,岡田港,Okada Harbor,3054,3264989,3038,3247742,16,17247
平成31･令和元,2019,波浮港,Habu Harbor,604,147824,388,114483,216,33341
平成31･令和元,2019,利島港,Toshima Harbor,1313,2544814,1113,2449662,200,95152
平成31･令和元,2019,新島港,Niijima Harbor,1452,2958839,1203,2838815,249,120024
平成31･令和元,2019,式根島港,Shikinejima Harbor,1480,11381,-,-,1480,11381
平成31･令和元,2019,神津島港,Kozushima Harbor,3991,918867,522,824002,3469,94865
平成31･令和元,2019,三池港,Miike Harbor,342,1542232,342,1542232,-,-
平成31･令和元,2019,御蔵島港,Mikurajima Harbor,484,2164295,484,2164295,-,-
平成31･令和元,2019,神湊港,Kaminato Harbor,637,2019996,608,1949124,29,70872
平成31･令和元,2019,八重根港,Yaene Harbor,39,49364,39,49364,-,-
平成31･令和元,2019,青ヶ島港,Aogashima Harbor,266,107877,264,106879,2,998
平成31･令和元,2019,二見港,Futami Harbor,8783,1936368,438,1238962,8345,697406
平成31･令和元,2019,沖港,Oki Harbor,2665,150403,307,134679,2358,15724
,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成27～平成31･令和元年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2015-2019 )( Harbors of Islands ),,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
