税目階層,税目,Tax item,平成27年度 FY 2015,平成28年度 FY 2016,平成29年度 FY 2017,平成30年度 FY 2018,令和元年度 FY 2019
0,総額,Total,5183569,5236011,5273012,5446357,5631801
1,現年課税分,Current-year taxes,5154066,5211281,5250893,5425883,5612290
2,都民税,Metropolitan inhabitant tax,1769249,1718754,1756561,1879507,1925339
2,個人,For individuals,863542,862977,907524,917072,946858
2,法人,For corporations,869373,847654,839953,952817,971479
2,利子割,For interest income ,36334,8123,9083,9619,7002
2,事業税,Business tax,940893,1092892,1059753,1142358,1260021
2,個人,For individuals,48774,49902,51029,52465,53303
2,法人,For corporations,892119,1042990,1008724,1089894,1206718
2,繰入地方消費税,Final local consumption tax,700423,632652,647365,552271,528588
2,不動産取得税,Real estate acquisition tax,76265,81047,82292,83155,81897
2,都たばこ税,Prefectural tobacco tax,17858,17244,16380,16217,16192
2,ゴルフ場利用税,Golf course utilization tax,644,652,632,632,630
2,自動車取得税,Automobile acquisition tax,13835,14347,17317,18130,9266
2,軽油引取税,Gas oil delivery tax,39328,39295,39395,38782,37922
2,自動車税,Motor vehicle tax,105253,104345,104343,104649,107994
2,鉱区税,Mine production tax,2,2,2,2,2
2,固定資産税,Fixed assets tax,1162855,1177680,1189961,1240080,1282679
2,特別土地保有税,Special land possession tax,1,-,-,-,-
2,狩猟税,Hunting tax,4,4,4,4,4
2,事業所税,Establishment tax,100851,102554,104706,107466,110900
2,都市計画税,City planning tax,224526,227595,229824,239961,248149
2,宿泊税,Accommodation tax,2076,2217,2361,2667,2708
2,旧法による税,Taxes based on former laws,-,-,-,-,-
1,滞納繰越分,Arrears brought forward,29503,24731,22118,20474,19511
,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-7  都税収入済額 (1) 税目別 (平成27～令和元年度）21-7  METROPOLITAN TAXES COLLECTED (1) BY TAX ITEM ( Fiscal Years 2015-2019 ) ,,,,,,,
この表の税額は，各年度とも決算額（還付未済額を含む。）による。 ,,,,,,,
Each fiscal year's tax amounts noted in this table are based on the settlement (including unpaid refunds).,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,
税目階層（0:総額　1:現年課税分・滞納繰越分　2:税目）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
