年次,Year,月次 ,Month,件数 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／計 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人 (業種別) of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人 (業種別) of which corporation (by industry)／小売 Retail,件数 Total／うち法人 (業種別) of which corporation (by industry)／建設 Construction,件数 Total／うち法人 (業種別) of which corporation (by industry)／サービス Services,件数 Total／うち法人 (業種別) of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人 (業種別) of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人 (業種別) of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成27,2015,総数,Total,318,303,3,16,21,9,54,62,31,40,14,7,15,31,740,5086292
平成28,2016,総数,Total,310,292,6,22,18,2,42,74,25,41,28,6,13,15,759,1485389
平成29,2017,総数,Total,229,211,3,12,5,3,41,45,22,28,26,6,3,17,458,757581
平成30,2018,総数,Total,182,164,1,12,11,6,35,32,23,28,6,1,1,8,467,1107425
平成31･令和元,2019,総数,Total,180,174,-,11,7,4,32,54,16,25,2,4,4,15,416,657066
平成31,2019,1,Jan.,15,15,-,-,-,-,1,1,2,6,1,2,1,1,28,59189
平成31,2019,2,Feb.,6,6,-,1,-,-,1,1,1,1,-,-,-,1,10,15929
平成31,2019,3,Mar.,13,13,-,-,-,1,2,5,3,1,-,1,-,-,25,18129
平成31,2019,4,Apr.,20,19,-,1,-,-,3,11,1,2,-,-,-,1,43,74836
令和元,2019,5,May,13,12,-,1,-,1,3,4,-,3,-,-,-,-,25,23846
令和元,2019,6,June,21,21,-,3,1,1,3,5,1,1,-,-,3,3,38,54689
令和元,2019,7,July,12,10,-,1,-,-,3,2,1,2,-,-,-,1,24,19326
令和元,2019,8,Aug.,17,17,-,-,1,-,5,7,1,1,1,-,-,1,43,58661
令和元,2019,9,Sept.,19,17,-,1,1,-,4,6,1,3,-,-,-,1,105,187370
令和元,2019,10,Oct.,20,20,-,1,2,1,4,4,1,3,-,1,-,3,36,73645
令和元,2019,11,Nov.,13,13,-,2,2,-,2,4,1,1,-,-,-,1,20,23262
令和元,2019,12,Dec.,11,11,-,-,-,-,1,4,3,1,-,-,-,2,19,48184
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成27～平成31・令和元年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2015-2019 )  ,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,
