年次,Year,地域階層,地域コード,区分1,Classification 1,項番1 Item number 1,構造及び地域,Structure and district,項番2 Item number 2,区分2,Classification 2,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 （指定区間外） General national highways (outside designated sections)／橋数 Number,一般国道 （指定区間外） General national highways (outside designated sections)／橋長 Length,一般国道 （指定区間外） General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area
平成28,2016,0,13000,総数,Tokyo-to,,,,,,,1226,77124,1181471,48,4384,49506,557,45188,707631,621,27551,424334
平成29,2017,0,13000,総数,Tokyo-to,,,,,,,1226,77102,1180871,48,4384,49506,556,45162,707010,622,27556,424355
平成30,2018,0,13000,総数,Tokyo-to,,,,,,,1226,77101,1180871,48,4384,49506,556,45161,707010,622,27556,424355
平成31,2019,0,13000,総数,Tokyo-to,,,,,,,1225,77520,1186976,48,4384,49506,557,45499,713429,620,27637,424041
令和2,2020,0,13000,総数,Tokyo-to,,,,,,,1221,77454,1186611,48,4384,49506,553,45433,713064,620,27637,424041
令和2,2020,0,13000,構造・橋長別, By structure and length,,,,1,15ｍ未満,less than 15ｍ,536,3880,56683,13,99,2034,204,1640,35883,319,2141,18766
令和2,2020,0,13000,構造・橋長別, By structure and length,,,,2,15～30ｍ未満,less than 15-30ｍ,226,5038,75411,6,94,1437,111,2353,31550,109,2591,42424
令和2,2020,0,13000,構造・橋長別, By structure and length,,,,3,30～100ｍ未満,less than 30-100ｍ,252,13607,221251,21,1446,16135,105,5655,113893,126,6506,91223
令和2,2020,0,13000,構造・橋長別, By structure and length,,,,4,100ｍ以上,100ｍ and over,207,54929,833266,8,2745,29900,133,35785,531738,66,16399,271628
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,,,,501,50351,745728,36,4128,44698,265,32312,439154,200,13911,261876
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,1,15ｍ未満,less than 15ｍ,68,680,8767,6,60,209,28,307,2522,34,313,6036
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,2,15～30ｍ未満,less than 15-30ｍ,113,2447,17259,3,42,614,73,1663,6080,37,742,10565
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,3,30～100ｍ未満,less than 30-100ｍ,171,9050,148088,19,1281,13975,71,3106,71452,81,4663,62661
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,4,100ｍ以上,100ｍ and over,149,38174,571614,8,2745,29900,93,27236,359100,48,8193,182614
令和2,2020,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,,,,652,14808,236587,12,256,4808,248,6335,111472,392,8217,120307
令和2,2020,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,1,15ｍ未満,less than 15ｍ,462,3157,47285,7,39,1825,174,1313,33222,281,1805,12238
令和2,2020,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,2,15～30ｍ未満,less than 15-30ｍ,102,2351,42594,3,52,823,32,573,14331,67,1726,27440
令和2,2020,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,3,30～100ｍ未満,less than 30-100ｍ,65,3604,57350,2,165,2160,24,2035,34145,39,1404,21045
令和2,2020,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,4,100ｍ以上,100ｍ and over,23,5696,89358,-,-,-,18,2414,29774,5,3282,59584
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,,,,68,12295,204296,-,-,-,40,6786,162438,28,5509,41858
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,1,15ｍ未満,less than 15ｍ,6,43,631,-,-,-,2,20,139,4,23,492
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,2,15～30ｍ未満,less than 15-30ｍ,11,240,15558,-,-,-,6,117,11139,5,123,4419
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,3,30～100ｍ未満,less than 30-100ｍ,16,953,15813,-,-,-,10,514,8296,6,439,7517
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,4,100ｍ以上,100ｍ and over,35,11059,172294,-,-,-,22,6135,142864,13,4924,29430
令和2,2020,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,,,,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,1,15ｍ未満,less than 15ｍ,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,2,15～30ｍ未満,less than 15-30ｍ,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,3,30～100ｍ未満,less than 30-100ｍ,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,4,100ｍ以上,100ｍ and over,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋又はコンクリート橋と木橋又は石橋との混合物,Steel-wood， steel-stone， concrete-wood， concrete-stone composite bridges ,,,,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋又はコンクリート橋と木橋又は石橋との混合物,Steel-wood， steel-stone， concrete-wood， concrete-stone composite bridges ,1,15ｍ未満,less than 15ｍ,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋又はコンクリート橋と木橋又は石橋との混合物,Steel-wood， steel-stone， concrete-wood， concrete-stone composite bridges ,2,15～30ｍ未満,less than 15-30ｍ,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋又はコンクリート橋と木橋又は石橋との混合物,Steel-wood， steel-stone， concrete-wood， concrete-stone composite bridges ,3,30～100ｍ未満,less than 30-100ｍ,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,0,13000,構造・橋長別, By structure and length,,鋼橋又はコンクリート橋と木橋又は石橋との混合物,Steel-wood， steel-stone， concrete-wood， concrete-stone composite bridges ,4,100ｍ以上,100ｍ and over,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,1,13100,地域別, By district,,区部,All ku,,,,459,46867,823919,14,2387,26306,290,30442,525304,155,14038,272309
令和2,2020,2,13101,地域別, By district,1,千代田区,Chiyoda-ku,,,,10,314,9587,-,-,-,6,160,5163,4,154,4424
令和2,2020,2,13102,地域別, By district,2,中央区,Chuo-ku,,,,26,3731,95833,-,-,-,11,1203,32892,15,2528,62941
令和2,2020,2,13103,地域別, By district,3,港区,Minato-ku,,,,26,1840,36878,1,55,1139,15,936,17755,10,849,17984
令和2,2020,2,13104,地域別, By district,4,新宿区,Shinjuku-ku,,,,16,1571,43703,-,-,-,10,356,8342,6,1215,35361
令和2,2020,2,13105,地域別, By district,5,文京区,Bunkyo-ku,,,,2,49,1467,-,-,-,1,22,657,1,27,810
令和2,2020,2,13106,地域別, By district,6,台東区,Taito-ku,,,,7,1153,24045,-,-,-,4,750,15502,3,403,8543
令和2,2020,2,13107,地域別, By district,7,墨田区,Sumida-ku,,,,17,1272,20264,-,-,-,14,940,15053,3,332,5211
令和2,2020,2,13108,地域別, By district,8,江東区,Koto-ku,,,,44,6072,121613,-,-,-,24,3107,63966,20,2965,57647
令和2,2020,2,13109,地域別, By district,9,品川区,Shinagawa-ku,,,,24,1675,27557,-,-,-,17,923,14675,7,752,12882
令和2,2020,2,13110,地域別, By district,10,目黒区,Meguro-ku,,,,13,508,7921,-,-,-,11,491,7501,2,17,420
令和2,2020,2,13111,地域別, By district,11,大田区,Ota-ku,,,,29,3597,68342,5,108,2464,24,3489,65878,-,-,-
令和2,2020,2,13112,地域別, By district,12,世田谷区,Setagaya-ku,,,,35,1508,21082,3,491,6148,17,830,13394,15,187,1540
令和2,2020,2,13113,地域別, By district,13,渋谷区,Shibuya-ku,,,,13,448,8278,-,-,-,9,348,5835,4,100,2443
令和2,2020,2,13114,地域別, By district,14,中野区,Nakano-ku,,,,19,486,7608,-,-,-,12,432,6791,7,54,817
令和2,2020,2,13115,地域別, By district,15,杉並区,Suginami-ku,,,,28,2342,24018,-,-,-,19,2235,23066,9,107,952
令和2,2020,2,13116,地域別, By district,16,豊島区,Toshima-ku,,,,7,282,7966,-,-,-,7,282,7966,-,-,-
令和2,2020,2,13117,地域別, By district,17,北区,Kita-ku,,,,17,3428,43118,3,1597,15098,9,940,15478,5,891,12542
令和2,2020,2,13118,地域別, By district,18,荒川区,Arakawa-ku,,,,7,1576,22605,-,-,-,3,611,9438,4,965,13167
令和2,2020,2,13119,地域別, By district,19,板橋区,Itabashi-ku,,,,13,1115,15707,-,-,-,8,609,10338,5,506,5369
令和2,2020,2,13120,地域別, By district,20,練馬区,Nerima-ku,,,,20,1513,20691,-,-,-,13,1394,19382,7,119,1309
令和2,2020,2,13121,地域別, By district,21,足立区,Adachi-ku,,,,21,4322,67137,-,-,-,9,3184,46045,12,1138,21092
令和2,2020,2,13122,地域別, By district,22,葛飾区,Katsushika-ku,,,,39,4020,66831,-,-,-,23,3291,59976,16,729,6855
令和2,2020,2,13123,地域別, By district,23,江戸川区,Edogawa-ku,,,,26,4045,61668,2,136,1457,24,3909,60211,-,-,-
令和2,2020,1,,地域別, By district,,市郡部,All shi and gun,,,,634,27433,333024,34,1997,23200,263,14992,187760,337,10444,122064
令和2,2020,1,13350,地域別, By district,,島部,All islands,,,,128,3155,29668,-,-,-,-,-,-,128,3155,29668
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,
4-5　構造， 地域， 道路の種類別橋梁数， 橋長及び橋面積(平成28～令和2年） 4-5　NUMBER， LENGTH， AND AREA OF BRIDGES BY STRUCTUREDISTRICT， AND TYPE OF ROADS ( 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,,
この表は， 知事管理道路についての数値である。 各年4月1日現在,,,,,,,,,,,,,,,,,,,,,,,
Figures refer only to roads under the jurisdiction of the Tokyo governor. Figures are as of Apr. 1,,,,,,,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部保全課 Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:総数　1:区部・市郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,
