年次,Year,地域階層,地域コード,項番 Item number,地域,District,木造家屋 Wooden buildings／総数 Total／棟数 Number,木造家屋 Wooden buildings／総数 Total／床面積 Floor space (m2)　,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／棟数 Number,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／床面積 Floor space  (m2),木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／棟数 Number,木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／床面積 Floor space (m2),木造家屋 Wooden buildings／アパート Apartment houses／棟数 Number,木造家屋 Wooden buildings／アパート Apartment houses／床面積 Floor space (m2),木造家屋 Wooden buildings／その他 Others／棟数 Number,木造家屋 Wooden buildings／その他 Others／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／総数 Total／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／総数 Total／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／床面積(m2) Floor space,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc.／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc.／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc.／うち劇場，娯楽場等 of which， Theaters， amusement & entertainment places／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc.／うち劇場，娯楽場等 of which， Theaters， amusement & entertainment places／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／床面積 Floor space (m2) ,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／その他 Others／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／その他 Others／床面積 Floor space (m2)
平成28,2016,0,13000,,総数,Tokyo-to,1935288,197954571,1562734,150416929,94463,14312751,184926,27957552,93165,5267339,825315,487422635,80913,132685043,639546,299241196,4295,10951354,73789,41330064,26772,3214978,…,…,29677,138323038,287904,208165678,270819,109401602,214539,30409645,21967,1105674,409,16998
平成29,2017,0,13000,,総数,Tokyo-to,1968857,199073634,1564793,151818895,131441,13940323,178994,28137928,93629,5176488,832099,492564127,83516,135190918,628832,302559918,4400,11144058,85896,39541757,29455,4127476,…,…,30486,137481511,286446,211957144,274762,111171985,218903,30859032,21092,1077039,410,17416
平成30,2018,0,13000,,総数,Tokyo-to,1974732,200149088,1575568,153120633,127728,13553734,179265,28365365,92171,5109356,838814,497263430,83511,135830855,636145,306151509,4491,11463612,85368,39692273,29299,4125181,…,…,30317,137703188,289284,214798561,277347,112477298,220822,31221949,20653,1049087,391,13347
平成31,2019,0,13000,,総数,Tokyo-to,1980031,201103648,1586013,154347698,124167,13188929,179030,28510299,90821,5056722,841383,502101920,83503,136817567,639114,309756244,4595,11728977,84985,39671858,29186,4127274,…,…,30165,137788941,290025,217628404,278082,114114584,222414,31529274,20306,1027345,391,13372
令和2,2020,0,13000,,総数,Tokyo-to,1983384,201868493,1595734,155511612,120440,12804924,178115,28563368,89095,4988589,843149,506939561,83322,137665670,641490,313290600,4723,12056729,84770,39795912,28844,4130650,103,547208,29946,137408888,292115,220290252,276888,116390996,223928,31831457,19879,1004666,393,13302
令和2,2020,1,13100,,区部,All ku,1138253,115427988,872690,82629174,94860,9849971,134980,20528014,35723,2420829,611599,401399402,59352,116947463,488797,246974344,3266,9562663,51653,26239099,8531,1675833,103,547208,27006,124022956,226675,170017059,223302,88624126,123674,18222577,10942,512684,-,-
令和2,2020,2,13101,1,千代田区,Chiyoda-ku,1529,132211,498,40812,513,45334,12,1645,506,44420,9793,24820407,5146,19331141,3972,4117028,120,1029837,517,316438,38,25964,5,22196,2428,14377745,4006,4525401,2990,5884915,234,22642,135,9704,-,-
令和2,2020,2,13102,2,中央区,Chuo-ku,4116,315935,2222,153543,1355,110365,99,9842,440,42185,11590,22935274,5506,14239171,5446,7382353,176,657255,451,629074,11,27421,1,3548,2842,11919843,4188,6710020,4190,4256739,281,40244,89,8429,-,-
令和2,2020,2,13103,3,港区,Minato-ku,7697,813995,5448,558475,912,95244,715,110331,622,49945,17961,37182766,5204,20022473,11462,14681845,196,1572234,1019,833848,80,72366,9,54455,2863,18418404,9535,12325288,4344,6276252,975,141709,244,21113,-,-
令和2,2020,2,13104,4,新宿区,Shinjuku-ku,25835,2638288,18006,1702359,2334,236307,4597,633735,898,65887,25216,23512982,4052,9548054,19490,12416524,302,1014156,1183,470799,189,63449,8,40737,2145,10428085,12846,9755671,6907,2877632,2935,423446,383,28148,-,-
令和2,2020,2,13105,5,文京区,Bunkyo-ku,19470,2001893,15008,1480634,2014,202564,1978,280556,470,38139,16574,10746081,1396,2528313,14301,7599904,64,269715,695,224598,118,123551,4,114957,1249,4078108,7275,4688713,5751,1662923,2043,300341,256,15997,-,-
令和2,2020,2,13106,6,台東区,Taito-ku,16475,1470740,8741,713134,5810,546090,796,106200,1128,105316,21959,12511754,3118,3569573,17337,8018462,422,600697,1038,314168,44,8854,7,4724,1715,3742991,7126,5263106,11662,3343768,1135,131768,321,30122,-,-
令和2,2020,2,13107,7,墨田区,Sumida-ku,25956,2227377,17563,1386067,5562,533080,1453,183720,1378,124510,21590,11681030,1456,2052155,17786,8516176,108,203324,2177,858589,63,50786,2,37312,975,3174907,4979,4489386,12727,3656165,2624,344772,285,15800,-,-
令和2,2020,2,13108,8,江東区,Koto-ku,26330,2289148,19350,1576944,3871,381437,1849,238201,1260,92566,24527,28692900,2156,6559869,18401,15932960,91,415376,3727,5593779,152,190916,7,19167,1338,9973916,5254,10414864,15014,7990354,2486,300548,435,13218,-,-
令和2,2020,2,13109,9,品川区,Shinagawa-ku,39996,3866999,29320,2605468,4402,458287,5283,728019,991,75225,23015,19776551,2009,6264162,18824,11272275,106,425583,1751,1764531,325,50000,3,10577,1183,7085978,9339,8247183,8096,3859345,4001,567586,396,16458,-,-
令和2,2020,2,13110,10,目黒区,Meguro-ku,33781,3869765,25565,2704432,2106,237945,5465,872625,645,54763,21747,9705551,1349,1532586,19382,7732248,45,253556,763,162515,208,24646,3,11535,507,1876719,12215,5737152,4625,1419834,4148,658399,252,13448,-,-
令和2,2020,2,13111,11,大田区,Ota-ku,94997,9623603,73027,6845887,8132,892881,11202,1705671,2636,179164,49297,26972673,2779,4152358,40421,16676551,215,318370,5117,5723055,765,102339,5,24049,1050,5711330,19096,12695211,17285,6916543,10987,1620625,879,28965,-,-
令和2,2020,2,13112,12,世田谷区,Setagaya-ku,126346,14347585,100412,10599808,5179,582242,18392,3023045,2363,142490,61292,24212693,2777,2640469,54219,20824855,103,139101,2947,493892,1246,114375,5,6452,607,2233489,32419,15857254,11316,3555406,16029,2529149,921,37394,-,-
令和2,2020,2,13113,13,渋谷区,Shibuya-ku,17586,1886986,12513,1250883,1263,135615,3101,457193,709,43295,21541,18635364,4106,7677513,16277,10204349,145,458401,776,195231,237,99870,13,84943,1603,6782468,12505,8735074,5086,2792601,2005,307963,342,17257,-,-
令和2,2020,2,13114,14,中野区,Nakano-ku,44659,4626377,31882,3011491,2652,267108,9331,1296006,794,51772,22060,9083056,1151,1335746,19735,7537433,43,91155,909,100363,222,18359,3,2263,469,1543370,9757,5019835,6216,1702220,5250,797635,368,19996,-,-
令和2,2020,2,13115,15,杉並区,Suginami-ku,92702,10184284,71398,7326104,4229,473948,15025,2278138,2050,106094,36562,12845668,1853,1370269,31867,10935310,70,151912,1932,321108,840,67069,4,19820,530,1428745,16114,7511929,7141,2079721,11866,1780041,911,45233,-,-
令和2,2020,2,13116,16,豊島区,Toshima-ku,31673,3182942,22235,2048995,2888,300960,5804,779383,746,53604,20671,12975504,2167,3962458,17284,8277641,231,461766,903,221294,86,52345,8,37266,1304,4477467,8195,5781606,7396,2190133,3418,492630,358,33668,-,-
令和2,2020,2,13117,17,北区,Kita-ku,43546,4093146,32703,2866287,3699,378001,6002,772196,1142,76662,20294,10225179,1374,1301493,16779,7912536,79,151565,1838,786938,224,72647,2,15647,574,2254289,5761,4587251,9323,2797210,4175,563462,461,22966,-,-
令和2,2020,2,13118,18,荒川区,Arakawa-ku,27155,2453002,19391,1613624,4433,444437,2166,291877,1165,103064,13903,6780339,810,700486,11488,5469133,85,119647,1427,434445,93,56628,2,2099,510,1596931,2968,2803167,8326,2119299,1843,246618,256,14324,-,-
令和2,2020,2,13119,19,板橋区,Itabashi-ku,63469,6339067,48263,4474955,4993,518887,8268,1208574,1945,136651,31998,17104961,1956,1601815,25288,13394800,123,269818,3907,1742130,724,96398,-,-,726,3226873,11926,9046285,11359,3791552,7090,1006963,897,33288,-,-
令和2,2020,2,13120,20,練馬区,Nerima-ku,117543,12342844,97157,9653765,5433,598959,11924,1920596,3029,169524,37732,15557766,2054,1520244,31441,13274693,106,183596,3179,486081,952,93152,7,27173,513,1942582,14041,8766139,8819,2768117,13520,2047170,839,33759,-,-
令和2,2020,2,13121,21,足立区,Adachi-ku,104991,10078598,83422,7587869,9107,962234,7466,1224277,4996,304218,38906,17628676,2923,2042528,28201,12914837,203,384947,6848,2143617,731,142747,2,4014,569,2314390,5746,6918764,21118,6815405,10679,1558047,794,22070,-,-
令和2,2020,2,13122,22,葛飾区,Katsushika-ku,77429,7305813,61138,5439182,7414,746633,5838,929579,3039,190419,27339,10611046,1718,1181610,21219,8456650,106,166007,3846,761467,450,45312,2,980,309,1244694,4637,4383071,14346,3900414,7474,1066397,573,16469,-,-
令和2,2020,2,13123,23,江戸川区,Edogawa-ku,94972,9337390,77428,6988456,6559,701413,8214,1476605,2771,170916,36032,17201181,2292,1812977,28177,13425781,127,224645,4703,1661139,733,76639,1,3294,997,4189632,6747,5754689,19265,5967578,8476,1274422,547,14858,-,-
