年次,Year,月次 ,Month,事業所数 (店) Number of Establishments (stores),営業日数 (日) Business Days  (days),従業者数 (人) Number of Employees (persons),売場面積 Sales Floor Area (1000m2),販売額 Sales／総額 Total,販売額 Sales／紳士服・洋品 Men's Clothes,販売額 Sales／婦人・子供服・洋品 Women's and Children's Clothes,販売額 Sales／その他の衣料品 Other Clothing,販売額 Sales／身の回り品 Accessories,販売額 Sales／飲食料品 Food and Beverages,販売額 Sales／家具 Furniture,販売額 Sales／家庭用電気機械器具 Household Electric Appliances,販売額 Sales／家庭用品 Household Equipment,販売額 Sales／その他の商品 Others,販売額 Sales／食堂・喫茶 Restaurants and Cafe,商品券 Gift Certificate
平成27,2015,総数,Total,326,363.1,37471,1395,1190351,25430,55132,10841,22658,813702,4398,18287,29382,209391,1130,3029
平成28,2016,総数,Total,328,364.9,37578,1395,1179574,24151,52573,9930,20836,834936,3003,17735,23068,192076,1266,2928
平成29,2017,総数,Total,334,363.9,37896,1419,1214833,23152,49650,9436,20459,850470,2455,18325,22367,217142,1375,2813
平成30,2018,総数,Total,345,363.5,38251,1404,1246362,22105,47472,8771,19577,880396,2373,18428,20601,225248,1392,2773
平成31･令和元,2019,総数,Total,344,363.7,38199,1391,1241477,20551,44460,8614,17579,888335,2029,18247,19978,220466,1220,2650
平成31,2019,1,Jan.,345,30.4,37203,1404,100745,1804,3524,713,1442,72213,191,1649,1589,17513,107,242
平成31,2019,2,Feb.,346,27.9,36091,1402,91595,1131,2777,477,1077,67921,126,1250,1333,15405,98,196
平成31,2019,3,Mar.,345,31,36895,1401,106783,1605,4090,632,1603,75274,168,1544,1706,20045,116,290
平成31,2019,4,Apr.,345,29.9,36482,1400,100344,1678,3907,596,1573,71335,149,1364,1599,18032,110,203
令和元,2019,5,May,343,31,36576,1392,103238,1918,4226,709,1655,73336,162,1394,1678,18060,100,176
令和元,2019,6,June,343,30,36626,1392,103224,1925,3977,716,1705,73685,157,1396,1608,17956,100,221
令和元,2019,7,July,343,31,36993,1392,103075,1662,3913,769,1492,73894,151,1529,1610,17954,102,219
令和元,2019,8,Aug.,343,30.9,37233,1393,101307,1494,3467,667,1457,72731,145,1545,1621,18074,107,181
令和元,2019,9,Sept.,343,30,36848,1393,105936,1342,3305,794,1474,74084,183,1749,1929,20971,106,210
令和元,2019,10,Oct.,343,30.7,36713,1389,99294,1569,3318,657,1253,73076,160,1363,1567,16247,85,159
令和元,2019,11,Nov.,343,29.9,36885,1389,101499,2192,4024,892,1343,72433,200,1443,1552,17333,88,212
令和元,2019,12,Dec.,344,31,38199,1391,124436,2232,3932,992,1506,88351,235,2023,2186,22876,103,340
平成31･令和元,2019,区部(再掲),All ku ( Relisted ),228,363.6,24502,864,840978,13892,29557,6326,11600,587708,1545,13102,14155,162066,1028,1908
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-3  大型小売店販売額 (2) スーパー (平成27～平成31・令和元年) 12-3  LARGE-SCALE RETAIL STORE SALES (2) SUPERMARKETS ( 2015-2019 ),,,,,,,,,,,,,,,,,,,
「大型小売店」とは，従業者50人以上の百貨店及びスーパーをいう。 ,,,,,,,,,,,,,,,,,,,
売場面積の50％以上についてセルフサービス方式を採用している事業所であって，売場面積が1，500m2以上の事業所をいう。 ,,,,,,,,,,,,,,,,,,,
Large-scale retail stores refer to department stores and supermarkets with 50 or more employees.,,,,,,,,,,,,,,,,,,,
Supermarkets are establishments adopting a self-service system on 50 percent or more of their floor space and have a floor space of 1，500m2 or more.,,,,,,,,,,,,,,,,,,,
注) 年計の事業所数，  従業者及び売場面積の数値は， 12月末の数である。,,,,,,,,,,,,,,,,,,,
Note: Annual figures for the number of establishments， employees， and sales floor space are year-end numbers.,,,,,,,,,,,,,,,,,,,
資料：経済産業省 「商業動態統計年報」 Source: Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
