年次,Year,月次 ,Month,月間有効求職者数 Monthly active applications (A)／総数Total,月間有効求職者数 Monthly active applications (A)／男 Male,月間有効求職者数 Monthly active applications (A)／女 Female,新規求職申込件数 New applications (B)／総数Total,新規求職申込件数 New applications (B)／男Male,新規求職申込件数 New applications (B)／女 Female,月間有効求人数 Monthly active job openings (C),新規求人数 New job openings (D),就職件数 Persons who found employment (E)／総数Total,就職件数 Persons who found employment (E)／男 Male,就職件数 Persons who found employment (E)／女Female,充足数 Sufficiency (F),充足数 Sufficiency (F)／うち他県から of which from other prefectures,有効求人倍率 Active job openings-to-applicants ratio (C／A),就職率 Ratio of persons who found employment  (E／B) (%),充足率 Sufficiency ratio (F／D) (%)
平成27,2015,総数,Total,1723155,963437,756669,375066,205918,168465,2529484,884579,87251,52567,34580,117482,45137,1.47,23.3,13.3
平成28,2016,総数,Total,1591553,886855,702142,345103,188138,156451,2706676,941433,78919,46358,32485,109859,44452,1.7,22.9,11.7
平成29,2017,総数,Total,1528462,839293,686080,334248,178533,155028,2761341,957021,72211,42023,30100,101300,41625,1.81,21.6,10.6
平成30,2018,総数,Total,1434111,785602,645083,307206,163531,143042,2708706,924091,67214,38570,28543,92250,36787,1.89,21.9,10
平成31･令和元,2019,総数,Total,1403151,765175,634367,293333,154376,138280,2650882,910414,58516,33337,25094,82234,33592,1.89,19.9,9
平成31,2019,1,Jan.,111657,61149,50268,27155,13994,13116,225925,80524,4607,2649,1949,6009,2183,2.02,17,7.5
平成31,2019,2,Feb.,113565,61945,51356,24829,13055,11716,227489,78177,5177,2785,2389,7301,2916,2,20.9,9.3
平成31,2019,3,Mar.,118443,64536,53636,25506,13519,11940,229329,75954,5773,3142,2620,8285,3486,1.94,22.6,10.9
平成31,2019,4,Apr.,123628,67221,56099,30989,16053,14850,220517,72980,5365,3080,2276,7581,3236,1.78,17.3,10.4
令和元,2019,5,May,123023,66617,56079,25058,13093,11898,216234,73383,5011,2871,2130,6927,2833,1.76,20,9.4
令和元,2019,6,June,119321,64913,54094,23653,12444,11148,217143,76877,4964,2860,2095,6932,2844,1.82,21,9
令和元,2019,7,July,120037,65296,54430,26143,13887,12194,220900,74426,4955,2924,2029,7019,2897,1.84,19,9.4
令和元,2019,8,Aug.,118290,64119,53851,22253,11548,10645,218881,74668,4533,2595,1936,6425,2641,1.85,20.4,8.6
令和元,2019,9,Sept.,116658,63333,52999,23314,12235,11018,217283,73115,4553,2667,1881,6449,2626,1.86,19.5,8.8
令和元,2019,10,Oct.,117042,63895,52835,24550,13229,11282,220006,80187,4970,2838,2126,7019,2830,1.88,20.2,8.8
令和元,2019,11,Nov.,113402,62294,50782,20865,11099,9706,218326,71729,4466,2635,1821,6309,2596,1.93,21.4,8.8
令和元,2019,12,Dec.,108085,59857,47938,19018,10220,8767,218849,78394,4142,2291,1842,5978,2504,2.02,21.8,7.6
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-1  一般職業紹介状況 (平成27～平成31・令和元年) 7-1  EMPLOYMENT REFERRALS FOR GENERAL WORKERS ( 2015-2019 ),,,,,,,,,,,,,,,,,,,
「一般」とは常用労働者，臨時労働者及び季節労働者の計をいう。 ただし 「新規学卒」と「パートタイム」は除く。,,,,,,,,,,,,,,,,,,,
“General workers”  refer to the regular， casual and seasonal workers， excluding new school graduates and part-timers.,,,,,,,,,,,,,,,,,,,
注) 求職申込書における「性別」欄の記載が任意になったことに伴い，男女別の合計は総数と必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
Note: Total figures may not always equal the combined number of men and women because specification of gender on the application has become voluntary.,,,,,,,,,,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,,,,,,,,,,
