年次,Year,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received／計 Total,受理 Received／新受 Newly received／検察官からの送致 Referred by public prosecutors,受理 Received／新受 Newly received／司法警察員からの送致 Referred by judicial police officers,受理 Received／新受 Newly received／知事又は児童相談所長からの送致 Referred by governors or chiefs of child guidance offices／強制措置を要するもの Requires enforcement measures,受理 Received／新受 Newly received／知事又は児童相談所長からの送致 Referred by governors or chiefs of child guidance offices／強制措置を要しないもの Enforcement measures not required,受理 Received／新受 Newly received／少年調査官の報告 Reported by juvenile examiners,受理 Received／新受 Newly received／通告 Notification／一般人から From civilians,受理 Received／新受 Newly received／通告 Notification／保護観察所長から From chiefs of probation offices,受理 Received／新受 Newly received／抗告審からの移送差もどし Remanded from second instance,受理 Received／新受 Newly received／法第55条による移送 Transferred under Art. 55 of Juvenile Act,受理 Received／新受 Newly received／他の家庭裁判所からの移送回付 Referred by other family courts,既済 Disposed／総数 Total,既済 Disposed／検察官へ送致 Referred to public prosecutors／法20条，23条1項 Under Art. 20， Art. 23 (1) of Juvenile Act,既済 Disposed／検察官へ送致 Referred to public prosecutors／法19条 2項，23条 3項 Under Art. 19 (2)， Art. 23 (3) of Juvenile Act,既済 Disposed／保護処分 Protective measures／保護観察所の保護観察 Probation (Probation Office),既済 Disposed／保護処分 Protective measures／児童自立支援施設又は児童養護施設送致 a),既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／第1種 Type 1,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／第2種 Type 2,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／第3種 Type 3,既済 Disposed／知事又は児童相談所長へ送致 Referred to governors or chiefs of child guidance offices／強制措置を要するもの Enforcement measures required,既済 Disposed／知事又は児童相談所長へ送致 Referred to governors or chiefs of child guidance offices／強制措置を要しないもの Enforcement measures not required,既済 Disposed／不処分 Dismissal after hearing,既済 Disposed／審判不開始 Dismissal without hearing,既済 Disposed／他の家庭裁判所へ送致回付 Referred to other family courts,既済 Disposed／併合 Joinder,未済 Pending
平成29,2017,総数,Total,7015,931,6084,5209,395,2,19,8,-,-,1,-,450,6198,131,110,1007,9,147,2,4,1,10,1030,2694,686,367,817
平成30,2018,総数,Total,6362,817,5545,4774,290,6,19,3,-,1,-,-,452,5555,152,91,958,7,180,1,2,6,12,942,2036,752,416,807
平成31･令和元,2019,総数,Total,5694,807,4887,4203,257,5,18,2,-,-,1,-,401,4810,131,64,765,8,164,3,4,3,11,826,1856,661,314,884
平成31･令和元,2019,一般保護事件,General cases,4898,730,4168,3680,112,5,18,2,-,-,1,-,350,4097,21,49,587,8,162,3,4,3,11,772,1602,586,289,801
平成31･令和元,2019,道路交通事件,Road traffic cases,796,77,719,523,145,-,-,-,-,-,-,-,51,713,110,15,178,-,2,-,-,-,-,54,254,75,25,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-9  少年保護事件 (1)種類別人員（平成29～平成31･令和元年） 20-9  JUVENILE PROTECTION CASES (1)  JUVENILES BY KIND ( 2017-2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Referral to a children's self-reliance support facility or foster home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
